Sex,Age,Smoking habits,Year,percent
Females,18-79,Stopped smoking,1994,0.256
Females,18-79,Smoke less than daily,1994,0.037
Females,18-79,Smoke daily,1994,0.271
Females,18-89,Have never smoked,1994,0.44
Females,18-89,Stopped smoking,1994,0.256
Females,18-89,Smoke less than daily,1994,0.036
Females,18-89,Smoke daily,1994,0.268
Total,18-29,Have never smoked,1995,0.546
Total,18-29,Stopped smoking,1995,0.123
Total,18-29,Smoke less than daily,1995,0.073
Total,18-29,Smoke daily,1995,0.258
Total,30-39,Have never smoked,1995,0.367
Total,30-39,Stopped smoking,1995,0.253
Total,30-39,Smoke less than daily,1995,0.061
Total,30-39,Smoke daily,1995,0.32
Total,40-49,Have never smoked,1995,0.319
Total,40-49,Stopped smoking,1995,0.299
Total,40-49,Smoke less than daily,1995,0.062
Total,40-49,Smoke daily,1995,0.319
Total,50-59,Have never smoked,1995,0.29
Total,50-59,Stopped smoking,1995,0.365
Total,50-59,Smoke less than daily,1995,0.044
Total,50-59,Smoke daily,1995,0.3
Total,60-69,Have never smoked,1995,0.381
Total,60-69,Stopped smoking,1995,0.368
Total,60-69,Smoke less than daily,1995,0.058
Total,60-69,Smoke daily,1995,0.192
Total,70-89,Have never smoked,1995,0.448
Total,70-89,Stopped smoking,1995,0.344
Total,70-89,Smoke less than daily,1995,0.014
Total,70-89,Smoke daily,1995,0.194
Total,18-69,Have never smoked,1995,0.396
Total,18-69,Stopped smoking,1995,0.258
Total,18-69,Smoke less than daily,1995,0.062
Total,18-69,Smoke daily,1995,0.284
Total,18-79,Have never smoked,1995,0.398
Total,18-79,Stopped smoking,1995,0.268
Total,18-79,Smoke less than daily,1995,0.057
Total,18-79,Smoke daily,1995,0.277
Total,18-89,Have never smoked,1995,0.402
Total,18-89,Stopped smoking,1995,0.268
Total,18-89,Smoke less than daily,1995,0.056
Total,18-89,Smoke daily,1995,0.274
Males,18-29,Have never smoked,1995,0.597
Males,18-29,Stopped smoking,1995,0.098
Males,18-29,Smoke less than daily,1995,0.07
Males,18-29,Smoke daily,1995,0.235
Males,30-39,Have never smoked,1995,0.368
Males,30-39,Stopped smoking,1995,0.244
Males,30-39,Smoke less than daily,1995,0.069
Males,30-39,Smoke daily,1995,0.32
Males,40-49,Have never smoked,1995,0.325
Males,40-49,Stopped smoking,1995,0.282
Males,40-49,Smoke less than daily,1995,0.063
Males,40-49,Smoke daily,1995,0.329
Males,50-59,Have never smoked,1995,0.197
Males,50-59,Stopped smoking,1995,0.453
Males,50-59,Smoke less than daily,1995,0.04
Males,50-59,Smoke daily,1995,0.309
Males,60-69,Have never smoked,1995,0.281
Males,60-69,Stopped smoking,1995,0.459
Males,60-69,Smoke less than daily,1995,0.062
Males,60-69,Smoke daily,1995,0.199
Males,70-89,Have never smoked,1995,0.289
Males,70-89,Stopped smoking,1995,0.509
Males,70-89,Smoke less than daily,1995,0.006
Males,70-89,Smoke daily,1995,0.195
Males,18-69,Have never smoked,1995,0.384
Males,18-69,Stopped smoking,1995,0.272
Males,18-69,Smoke less than daily,1995,0.062
Males,18-69,Smoke daily,1995,0.282
Males,18-79,Have never smoked,1995,0.372
Males,18-79,Stopped smoking,1995,0.295
Males,18-79,Smoke less than daily,1995,0.058
Males,18-79,Smoke daily,1995,0.276
Males,18-89,Have never smoked,1995,0.373
Males,18-89,Stopped smoking,1995,0.298
Males,18-89,Smoke less than daily,1995,0.056
Males,18-89,Smoke daily,1995,0.272
Females,18-29,Have never smoked,1995,0.496
Females,18-29,Stopped smoking,1995,0.147
Females,18-29,Smoke less than daily,1995,0.076
Females,18-29,Smoke daily,1995,0.28
Females,30-39,Have never smoked,1995,0.366
Females,30-39,Stopped smoking,1995,0.261
Females,30-39,Smoke less than daily,1995,0.052
Females,30-39,Smoke daily,1995,0.321
Females,40-49,Have never smoked,1995,0.314
Females,40-49,Stopped smoking,1995,0.314
Females,40-49,Smoke less than daily,1995,0.061
Females,40-49,Smoke daily,1995,0.31
Females,50-59,Have never smoked,1995,0.392
Females,50-59,Stopped smoking,1995,0.27
Females,50-59,Smoke less than daily,1995,0.049
Females,50-59,Smoke daily,1995,0.289
Females,60-69,Have never smoked,1995,0.483
Females,60-69,Stopped smoking,1995,0.276
Females,60-69,Smoke less than daily,1995,0.055
Females,60-69,Smoke daily,1995,0.186
Females,70-89,Have never smoked,1995,0.583
Females,70-89,Stopped smoking,1995,0.203
Females,70-89,Smoke less than daily,1995,0.021
Females,70-89,Smoke daily,1995,0.193
Females,18-69,Have never smoked,1995,0.408
Females,18-69,Stopped smoking,1995,0.244
Females,18-69,Smoke less than daily,1995,0.061
Females,18-69,Smoke daily,1995,0.287
Females,18-79,Have never smoked,1995,0.424
Females,18-79,Stopped smoking,1995,0.241
Females,18-79,Smoke less than daily,1995,0.057
Females,18-79,Smoke daily,1995,0.278
Females,18-89,Have never smoked,1995,0.431
Females,18-89,Stopped smoking,1995,0.239
Females,18-89,Smoke less than daily,1995,0.056
Females,18-89,Smoke daily,1995,0.275
Total,18-29,Have never smoked,1996,0.514
Total,18-29,Stopped smoking,1996,0.125
Total,18-29,Smoke less than daily,1996,0.047
Total,18-29,Smoke daily,1996,0.314
Total,30-39,Have never smoked,1996,0.378
Total,30-39,Stopped smoking,1996,0.242
Total,30-39,Smoke less than daily,1996,0.041
Total,30-39,Smoke daily,1996,0.338
Total,40-49,Have never smoked,1996,0.318
Total,40-49,Stopped smoking,1996,0.315
Total,40-49,Smoke less than daily,1996,0.027
Total,40-49,Smoke daily,1996,0.34
Total,50-59,Have never smoked,1996,0.32
Total,50-59,Stopped smoking,1996,0.392
Total,50-59,Smoke less than daily,1996,0.026
Total,50-59,Smoke daily,1996,0.262
Total,60-69,Have never smoked,1996,0.389
Total,60-69,Stopped smoking,1996,0.392
Total,60-69,Smoke less than daily,1996,0.02
Total,60-69,Smoke daily,1996,0.199
Total,70-89,Have never smoked,1996,0.37
Total,70-89,Stopped smoking,1996,0.479
Total,70-89,Smoke less than daily,1996,0.03
Total,70-89,Smoke daily,1996,0.122
Total,18-69,Have never smoked,1996,0.395
Total,18-69,Stopped smoking,1996,0.265
Total,18-69,Smoke less than daily,1996,0.035
Total,18-69,Smoke daily,1996,0.304
Total,18-79,Have never smoked,1996,0.394
Total,18-79,Stopped smoking,1996,0.28
Total,18-79,Smoke less than daily,1996,0.034
Total,18-79,Smoke daily,1996,0.293
Total,18-89,Have never smoked,1996,0.392
Total,18-89,Stopped smoking,1996,0.289
Total,18-89,Smoke less than daily,1996,0.034
Total,18-89,Smoke daily,1996,0.284
Males,18-29,Have never smoked,1996,0.54
Males,18-29,Stopped smoking,1996,0.093
Males,18-29,Smoke less than daily,1996,0.045
Males,18-29,Smoke daily,1996,0.322
Males,30-39,Have never smoked,1996,0.403
Males,30-39,Stopped smoking,1996,0.224
Males,30-39,Smoke less than daily,1996,0.031
Males,30-39,Smoke daily,1996,0.341
Males,40-49,Have never smoked,1996,0.313
Males,40-49,Stopped smoking,1996,0.335
Males,40-49,Smoke less than daily,1996,0.025
Males,40-49,Smoke daily,1996,0.327
Males,50-59,Have never smoked,1996,0.231
Males,50-59,Stopped smoking,1996,0.48
Males,50-59,Smoke less than daily,1996,0.029
Males,50-59,Smoke daily,1996,0.26
Males,60-69,Have never smoked,1996,0.315
Males,60-69,Stopped smoking,1996,0.476
Males,60-69,Smoke less than daily,1996,0.028
Males,60-69,Smoke daily,1996,0.182
Males,70-89,Have never smoked,1996,0.24
Males,70-89,Stopped smoking,1996,0.623
Males,70-89,Smoke less than daily,1996,0.014
Males,70-89,Smoke daily,1996,0.123
Males,18-69,Have never smoked,1996,0.386
Males,18-69,Stopped smoking,1996,0.279
Males,18-69,Smoke less than daily,1996,0.033
Males,18-69,Smoke daily,1996,0.303
Males,18-79,Have never smoked,1996,0.375
Males,18-79,Stopped smoking,1996,0.302
Males,18-79,Smoke less than daily,1996,0.032
Males,18-79,Smoke daily,1996,0.29
Males,18-89,Have never smoked,1996,0.37
Males,18-89,Stopped smoking,1996,0.316
Males,18-89,Smoke less than daily,1996,0.031
Males,18-89,Smoke daily,1996,0.284
Females,18-29,Have never smoked,1996,0.488
Females,18-29,Stopped smoking,1996,0.157
Females,18-29,Smoke less than daily,1996,0.049
Females,18-29,Smoke daily,1996,0.305
Females,30-39,Have never smoked,1996,0.353
Females,30-39,Stopped smoking,1996,0.26
Females,30-39,Smoke less than daily,1996,0.051
Females,30-39,Smoke daily,1996,0.336
Females,40-49,Have never smoked,1996,0.324
Females,40-49,Stopped smoking,1996,0.295
Females,40-49,Smoke less than daily,1996,0.029
Females,40-49,Smoke daily,1996,0.353
Females,50-59,Have never smoked,1996,0.409
Females,50-59,Stopped smoking,1996,0.304
Females,50-59,Smoke less than daily,1996,0.023
Females,50-59,Smoke daily,1996,0.263
Females,60-69,Have never smoked,1996,0.458
Females,60-69,Stopped smoking,1996,0.314
Females,60-69,Smoke less than daily,1996,0.013
Females,60-69,Smoke daily,1996,0.216
Females,70-89,Have never smoked,1996,0.49
Females,70-89,Stopped smoking,1996,0.344
Females,70-89,Smoke less than daily,1996,0.045
Females,70-89,Smoke daily,1996,0.121
Females,18-69,Have never smoked,1996,0.405
Females,18-69,Stopped smoking,1996,0.252
Females,18-69,Smoke less than daily,1996,0.037
Females,18-69,Smoke daily,1996,0.306
Females,18-79,Have never smoked,1996,0.412
Females,18-79,Stopped smoking,1996,0.257
Females,18-79,Smoke less than daily,1996,0.037
Females,18-79,Smoke daily,1996,0.295
Females,18-89,Have never smoked,1996,0.414
Females,18-89,Stopped smoking,1996,0.262
Females,18-89,Smoke less than daily,1996,0.038
Females,18-89,Smoke daily,1996,0.285
Total,18-29,Have never smoked,1997,0.527
Total,18-29,Stopped smoking,1997,0.148
Total,18-29,Smoke less than daily,1997,0.048
Total,18-29,Smoke daily,1997,0.277
Total,30-39,Have never smoked,1997,0.391
Total,30-39,Stopped smoking,1997,0.221
Total,30-39,Smoke less than daily,1997,0.043
Total,30-39,Smoke daily,1997,0.345
Total,40-49,Have never smoked,1997,0.329
Total,40-49,Stopped smoking,1997,0.316
Total,40-49,Smoke less than daily,1997,0.036
Total,40-49,Smoke daily,1997,0.319
Total,50-59,Have never smoked,1997,0.314
Total,50-59,Stopped smoking,1997,0.363
Total,50-59,Smoke less than daily,1997,0.041
Total,50-59,Smoke daily,1997,0.282
Total,60-69,Have never smoked,1997,0.416
Total,60-69,Stopped smoking,1997,0.389
Total,60-69,Smoke less than daily,1997,0.02
Total,60-69,Smoke daily,1997,0.176
Total,70-89,Have never smoked,1997,0.455
Total,70-89,Stopped smoking,1997,0.36
Total,70-89,Smoke less than daily,1997,0.021
Total,70-89,Smoke daily,1997,0.164
Total,18-69,Have never smoked,1997,0.405
Total,18-69,Stopped smoking,1997,0.264
Total,18-69,Smoke less than daily,1997,0.04
Total,18-69,Smoke daily,1997,0.291
Total,18-79,Have never smoked,1997,0.408
Total,18-79,Stopped smoking,1997,0.27
Total,18-79,Smoke less than daily,1997,0.038
Total,18-79,Smoke daily,1997,0.283
Total,18-89,Have never smoked,1997,0.41
Total,18-89,Stopped smoking,1997,0.275
Total,18-89,Smoke less than daily,1997,0.038
Total,18-89,Smoke daily,1997,0.277
Males,18-29,Have never smoked,1997,0.516
Males,18-29,Stopped smoking,1997,0.132
Males,18-29,Smoke less than daily,1997,0.058
Males,18-29,Smoke daily,1997,0.294
Males,30-39,Have never smoked,1997,0.396
Males,30-39,Stopped smoking,1997,0.189
Males,30-39,Smoke less than daily,1997,0.025
Males,30-39,Smoke daily,1997,0.389
Males,40-49,Have never smoked,1997,0.358
Males,40-49,Stopped smoking,1997,0.296
Males,40-49,Smoke less than daily,1997,0.035
Males,40-49,Smoke daily,1997,0.312
Males,50-59,Have never smoked,1997,0.262
Males,50-59,Stopped smoking,1997,0.439
Males,50-59,Smoke less than daily,1997,0.027
Males,50-59,Smoke daily,1997,0.273
Males,60-69,Have never smoked,1997,0.313
Males,60-69,Stopped smoking,1997,0.49
Males,60-69,Smoke less than daily,1997,0.027
Males,60-69,Smoke daily,1997,0.17
Males,70-89,Have never smoked,1997,0.322
Males,70-89,Stopped smoking,1997,0.496
Males,70-89,Smoke less than daily,1997,0.033
Males,70-89,Smoke daily,1997,0.149
Males,18-69,Have never smoked,1997,0.388
Males,18-69,Stopped smoking,1997,0.274
Males,18-69,Smoke less than daily,1997,0.036
Males,18-69,Smoke daily,1997,0.302
Males,18-79,Have never smoked,1997,0.385
Males,18-79,Stopped smoking,1997,0.287
Males,18-79,Smoke less than daily,1997,0.036
Males,18-79,Smoke daily,1997,0.292
Males,18-89,Have never smoked,1997,0.382
Males,18-89,Stopped smoking,1997,0.295
Males,18-89,Smoke less than daily,1997,0.036
Males,18-89,Smoke daily,1997,0.288
Females,18-29,Have never smoked,1997,0.536
Females,18-29,Stopped smoking,1997,0.164
Females,18-29,Smoke less than daily,1997,0.039
Females,18-29,Smoke daily,1997,0.261
Females,30-39,Have never smoked,1997,0.387
Females,30-39,Stopped smoking,1997,0.25
Females,30-39,Smoke less than daily,1997,0.06
Females,30-39,Smoke daily,1997,0.303
Females,40-49,Have never smoked,1997,0.301
Females,40-49,Stopped smoking,1997,0.335
Females,40-49,Smoke less than daily,1997,0.038
Females,40-49,Smoke daily,1997,0.327
Females,50-59,Have never smoked,1997,0.368
Females,50-59,Stopped smoking,1997,0.286
Females,50-59,Smoke less than daily,1997,0.055
Females,50-59,Smoke daily,1997,0.291
Females,60-69,Have never smoked,1997,0.517
Females,60-69,Stopped smoking,1997,0.289
Females,60-69,Smoke less than daily,1997,0.013
Females,60-69,Smoke daily,1997,0.181
Females,70-89,Have never smoked,1997,0.55
Females,70-89,Stopped smoking,1997,0.263
Females,70-89,Smoke less than daily,1997,0.012
Females,70-89,Smoke daily,1997,0.175
Females,18-69,Have never smoked,1997,0.421
Females,18-69,Stopped smoking,1997,0.255
Females,18-69,Smoke less than daily,1997,0.043
Females,18-69,Smoke daily,1997,0.28
Females,18-79,Have never smoked,1997,0.43
Females,18-79,Stopped smoking,1997,0.255
Females,18-79,Smoke less than daily,1997,0.041
Females,18-79,Smoke daily,1997,0.274
Females,18-89,Have never smoked,1997,0.437
Females,18-89,Stopped smoking,1997,0.256
Females,18-89,Smoke less than daily,1997,0.039
Females,18-89,Smoke daily,1997,0.268
Total,18-29,Have never smoked,1998,0.513
Total,18-29,Stopped smoking,1998,0.146
Total,18-29,Smoke less than daily,1998,0.058
Total,18-29,Smoke daily,1998,0.283
Total,30-39,Have never smoked,1998,0.373
Total,30-39,Stopped smoking,1998,0.273
Total,30-39,Smoke less than daily,1998,0.052
Total,30-39,Smoke daily,1998,0.303
Total,40-49,Have never smoked,1998,0.301
Total,40-49,Stopped smoking,1998,0.345
Total,40-49,Smoke less than daily,1998,0.042
Total,40-49,Smoke daily,1998,0.311
Total,50-59,Have never smoked,1998,0.294
Total,50-59,Stopped smoking,1998,0.39
Total,50-59,Smoke less than daily,1998,0.053
Total,50-59,Smoke daily,1998,0.263
Total,60-69,Have never smoked,1998,0.37
Total,60-69,Stopped smoking,1998,0.463
Total,60-69,Smoke less than daily,1998,0.024
Total,60-69,Smoke daily,1998,0.142
Total,70-89,Have never smoked,1998,0.457
Total,70-89,Stopped smoking,1998,0.406
Total,70-89,Smoke less than daily,1998,0.033
Total,70-89,Smoke daily,1998,0.105
Total,18-69,Have never smoked,1998,0.39
Total,18-69,Stopped smoking,1998,0.285
Total,18-69,Smoke less than daily,1998,0.049
Total,18-69,Smoke daily,1998,0.277
Total,18-79,Have never smoked,1998,0.395
Total,18-79,Stopped smoking,1998,0.295
Total,18-79,Smoke less than daily,1998,0.047
Total,18-79,Smoke daily,1998,0.263
Total,18-89,Have never smoked,1998,0.397
Total,18-89,Stopped smoking,1998,0.297
Total,18-89,Smoke less than daily,1998,0.047
Total,18-89,Smoke daily,1998,0.259
Males,18-29,Have never smoked,1998,0.534
Males,18-29,Stopped smoking,1998,0.134
Males,18-29,Smoke less than daily,1998,0.05
Males,18-29,Smoke daily,1998,0.283
Males,30-39,Have never smoked,1998,0.385
Males,30-39,Stopped smoking,1998,0.276
Males,30-39,Smoke less than daily,1998,0.053
Males,30-39,Smoke daily,1998,0.286
Males,40-49,Have never smoked,1998,0.302
Males,40-49,Stopped smoking,1998,0.368
Males,40-49,Smoke less than daily,1998,0.031
Males,40-49,Smoke daily,1998,0.298
Males,50-59,Have never smoked,1998,0.195
Males,50-59,Stopped smoking,1998,0.456
Males,50-59,Smoke less than daily,1998,0.071
Males,50-59,Smoke daily,1998,0.278
Males,60-69,Have never smoked,1998,0.235
Males,60-69,Stopped smoking,1998,0.574
Males,60-69,Smoke less than daily,1998,0.052
Males,60-69,Smoke daily,1998,0.139
Males,70-89,Have never smoked,1998,0.32
Males,70-89,Stopped smoking,1998,0.531
Males,70-89,Smoke less than daily,1998,0.047
Males,70-89,Smoke daily,1998,0.102
Males,18-69,Have never smoked,1998,0.368
Males,18-69,Stopped smoking,1998,0.31
Males,18-69,Smoke less than daily,1998,0.05
Males,18-69,Smoke daily,1998,0.272
Males,18-79,Have never smoked,1998,0.364
Males,18-79,Stopped smoking,1998,0.326
Males,18-79,Smoke less than daily,1998,0.049
Males,18-79,Smoke daily,1998,0.261
Males,18-89,Have never smoked,1998,0.363
Males,18-89,Stopped smoking,1998,0.332
Males,18-89,Smoke less than daily,1998,0.049
Males,18-89,Smoke daily,1998,0.255
Females,18-29,Have never smoked,1998,0.495
Females,18-29,Stopped smoking,1998,0.156
Females,18-29,Smoke less than daily,1998,0.065
Females,18-29,Smoke daily,1998,0.284
Females,30-39,Have never smoked,1998,0.362
Females,30-39,Stopped smoking,1998,0.27
Females,30-39,Smoke less than daily,1998,0.051
Females,30-39,Smoke daily,1998,0.317
Females,40-49,Have never smoked,1998,0.3
Females,40-49,Stopped smoking,1998,0.321
Females,40-49,Smoke less than daily,1998,0.054
Females,40-49,Smoke daily,1998,0.325
Females,50-59,Have never smoked,1998,0.403
Females,50-59,Stopped smoking,1998,0.318
Females,50-59,Smoke less than daily,1998,0.032
Females,50-59,Smoke daily,1998,0.247
Females,60-69,Have never smoked,1998,0.489
Females,60-69,Stopped smoking,1998,0.366
Females,60-69,Smoke less than daily,1998,0.0
Females,60-69,Smoke daily,1998,0.145
Females,70-89,Have never smoked,1998,0.574
Females,70-89,Stopped smoking,1998,0.297
Females,70-89,Smoke less than daily,1998,0.02
Females,70-89,Smoke daily,1998,0.108
Females,18-69,Have never smoked,1998,0.41
Females,18-69,Stopped smoking,1998,0.261
Females,18-69,Smoke less than daily,1998,0.048
Females,18-69,Smoke daily,1998,0.281
Females,18-79,Have never smoked,1998,0.424
Females,18-79,Stopped smoking,1998,0.265
Females,18-79,Smoke less than daily,1998,0.045
Females,18-79,Smoke daily,1998,0.266
Females,18-89,Have never smoked,1998,0.428
Females,18-89,Stopped smoking,1998,0.265
Females,18-89,Smoke less than daily,1998,0.045
Females,18-89,Smoke daily,1998,0.262
Total,18-29,Have never smoked,1999,0.509
Total,18-29,Stopped smoking,1999,0.152
Total,18-29,Smoke less than daily,1999,0.063
Total,18-29,Smoke daily,1999,0.277
Total,30-39,Have never smoked,1999,0.422
Total,30-39,Stopped smoking,1999,0.233
Total,30-39,Smoke less than daily,1999,0.072
Total,30-39,Smoke daily,1999,0.273
Total,40-49,Have never smoked,1999,0.327
Total,40-49,Stopped smoking,1999,0.323
Total,40-49,Smoke less than daily,1999,0.048
Total,40-49,Smoke daily,1999,0.301
Total,50-59,Have never smoked,1999,0.354
Total,50-59,Stopped smoking,1999,0.338
Total,50-59,Smoke less than daily,1999,0.057
Total,50-59,Smoke daily,1999,0.251
Total,60-69,Have never smoked,1999,0.367
Total,60-69,Stopped smoking,1999,0.407
Total,60-69,Smoke less than daily,1999,0.022
Total,60-69,Smoke daily,1999,0.204
Total,70-89,Have never smoked,1999,0.397
Total,70-89,Stopped smoking,1999,0.413
Total,70-89,Smoke less than daily,1999,0.024
Total,70-89,Smoke daily,1999,0.167
Total,18-69,Have never smoked,1999,0.406
Total,18-69,Stopped smoking,1999,0.267
Total,18-69,Smoke less than daily,1999,0.057
Total,18-69,Smoke daily,1999,0.27
Total,18-79,Have never smoked,1999,0.405
Total,18-79,Stopped smoking,1999,0.28
Total,18-79,Smoke less than daily,1999,0.054
Total,18-79,Smoke daily,1999,0.262
Total,18-89,Have never smoked,1999,0.405
Total,18-89,Stopped smoking,1999,0.282
Total,18-89,Smoke less than daily,1999,0.053
Total,18-89,Smoke daily,1999,0.259
Males,18-29,Have never smoked,1999,0.526
Males,18-29,Stopped smoking,1999,0.139
Males,18-29,Smoke less than daily,1999,0.056
Males,18-29,Smoke daily,1999,0.279
Males,30-39,Have never smoked,1999,0.441
Males,30-39,Stopped smoking,1999,0.217
Males,30-39,Smoke less than daily,1999,0.087
Males,30-39,Smoke daily,1999,0.255
Males,40-49,Have never smoked,1999,0.309
Males,40-49,Stopped smoking,1999,0.354
Males,40-49,Smoke less than daily,1999,0.053
Males,40-49,Smoke daily,1999,0.284
Males,50-59,Have never smoked,1999,0.313
Males,50-59,Stopped smoking,1999,0.374
Males,50-59,Smoke less than daily,1999,0.046
Males,50-59,Smoke daily,1999,0.267
Males,60-69,Have never smoked,1999,0.331
Males,60-69,Stopped smoking,1999,0.43
Males,60-69,Smoke less than daily,1999,0.025
Males,60-69,Smoke daily,1999,0.215
Males,70-89,Have never smoked,1999,0.338
Males,70-89,Stopped smoking,1999,0.496
Males,70-89,Smoke less than daily,1999,0.008
Males,70-89,Smoke daily,1999,0.158
Males,18-69,Have never smoked,1999,0.399
Males,18-69,Stopped smoking,1999,0.278
Males,18-69,Smoke less than daily,1999,0.058
Males,18-69,Smoke daily,1999,0.265
Males,18-79,Have never smoked,1999,0.393
Males,18-79,Stopped smoking,1999,0.295
Males,18-79,Smoke less than daily,1999,0.053
Males,18-79,Smoke daily,1999,0.259
Males,18-89,Have never smoked,1999,0.393
Males,18-89,Stopped smoking,1999,0.301
Males,18-89,Smoke less than daily,1999,0.052
Males,18-89,Smoke daily,1999,0.254
Females,18-29,Have never smoked,1999,0.491
Females,18-29,Stopped smoking,1999,0.164
Females,18-29,Smoke less than daily,1999,0.07
Females,18-29,Smoke daily,1999,0.275
Females,30-39,Have never smoked,1999,0.405
Females,30-39,Stopped smoking,1999,0.248
Females,30-39,Smoke less than daily,1999,0.058
Females,30-39,Smoke daily,1999,0.289
Females,40-49,Have never smoked,1999,0.345
Females,40-49,Stopped smoking,1999,0.294
Females,40-49,Smoke less than daily,1999,0.043
Females,40-49,Smoke daily,1999,0.318
Females,50-59,Have never smoked,1999,0.401
Females,50-59,Stopped smoking,1999,0.297
Females,50-59,Smoke less than daily,1999,0.07
Females,50-59,Smoke daily,1999,0.233
Females,60-69,Have never smoked,1999,0.41
Females,60-69,Stopped smoking,1999,0.381
Females,60-69,Smoke less than daily,1999,0.019
Females,60-69,Smoke daily,1999,0.19
Females,70-89,Have never smoked,1999,0.462
Females,70-89,Stopped smoking,1999,0.319
Females,70-89,Smoke less than daily,1999,0.042
Females,70-89,Smoke daily,1999,0.176
Females,18-69,Have never smoked,1999,0.413
Females,18-69,Stopped smoking,1999,0.257
Females,18-69,Smoke less than daily,1999,0.056
Females,18-69,Smoke daily,1999,0.274
Females,18-79,Have never smoked,1999,0.416
Females,18-79,Stopped smoking,1999,0.265
Females,18-79,Smoke less than daily,1999,0.054
Females,18-79,Smoke daily,1999,0.264
Females,18-89,Have never smoked,1999,0.418
Females,18-89,Stopped smoking,1999,0.263
Females,18-89,Smoke less than daily,1999,0.054
Females,18-89,Smoke daily,1999,0.265
Total,18-29,Have never smoked,2000,0.567
Total,18-29,Stopped smoking,2000,0.155
Total,18-29,Smoke less than daily,2000,0.04
Total,18-29,Smoke daily,2000,0.237
Total,30-39,Have never smoked,2000,0.468
Total,30-39,Stopped smoking,2000,0.244
Total,30-39,Smoke less than daily,2000,0.031
Total,30-39,Smoke daily,2000,0.257
Total,40-49,Have never smoked,2000,0.35
Total,40-49,Stopped smoking,2000,0.31
Total,40-49,Smoke less than daily,2000,0.04
Total,40-49,Smoke daily,2000,0.3
Total,50-59,Have never smoked,2000,0.384
Total,50-59,Stopped smoking,2000,0.349
Total,50-59,Smoke less than daily,2000,0.038
Total,50-59,Smoke daily,2000,0.23
Total,60-69,Have never smoked,2000,0.374
Total,60-69,Stopped smoking,2000,0.414
Total,60-69,Smoke less than daily,2000,0.034
Total,60-69,Smoke daily,2000,0.177
Total,70-89,Have never smoked,2000,0.491
Total,70-89,Stopped smoking,2000,0.371
Total,70-89,Smoke less than daily,2000,0.029
Total,70-89,Smoke daily,2000,0.109
Total,18-69,Have never smoked,2000,0.448
Total,18-69,Stopped smoking,2000,0.266
Total,18-69,Smoke less than daily,2000,0.037
Total,18-69,Smoke daily,2000,0.25
Total,18-79,Have never smoked,2000,0.45
Total,18-79,Stopped smoking,2000,0.275
Total,18-79,Smoke less than daily,2000,0.036
Total,18-79,Smoke daily,2000,0.239
Total,18-89,Have never smoked,2000,0.453
Total,18-89,Stopped smoking,2000,0.278
Total,18-89,Smoke less than daily,2000,0.036
Total,18-89,Smoke daily,2000,0.234
Males,18-29,Have never smoked,2000,0.559
Males,18-29,Stopped smoking,2000,0.145
Males,18-29,Smoke less than daily,2000,0.054
Males,18-29,Smoke daily,2000,0.242
Males,30-39,Have never smoked,2000,0.446
Males,30-39,Stopped smoking,2000,0.245
Males,30-39,Smoke less than daily,2000,0.034
Males,30-39,Smoke daily,2000,0.275
Males,40-49,Have never smoked,2000,0.352
Males,40-49,Stopped smoking,2000,0.318
Males,40-49,Smoke less than daily,2000,0.049
Males,40-49,Smoke daily,2000,0.28
Males,50-59,Have never smoked,2000,0.36
Males,50-59,Stopped smoking,2000,0.378
Males,50-59,Smoke less than daily,2000,0.043
Males,50-59,Smoke daily,2000,0.22
Males,60-69,Have never smoked,2000,0.23
Males,60-69,Stopped smoking,2000,0.49
Males,60-69,Smoke less than daily,2000,0.04
Males,60-69,Smoke daily,2000,0.24
Males,70-89,Have never smoked,2000,0.369
Males,70-89,Stopped smoking,2000,0.525
Males,70-89,Smoke less than daily,2000,0.016
Males,70-89,Smoke daily,2000,0.09
Males,18-69,Have never smoked,2000,0.421
Males,18-69,Stopped smoking,2000,0.279
Males,18-69,Smoke less than daily,2000,0.045
Males,18-69,Smoke daily,2000,0.255
Males,18-79,Have never smoked,2000,0.416
Males,18-79,Stopped smoking,2000,0.298
Males,18-79,Smoke less than daily,2000,0.043
Males,18-79,Smoke daily,2000,0.243
Males,18-89,Have never smoked,2000,0.415
Males,18-89,Stopped smoking,2000,0.304
Males,18-89,Smoke less than daily,2000,0.042
Males,18-89,Smoke daily,2000,0.238
Females,18-29,Have never smoked,2000,0.575
Females,18-29,Stopped smoking,2000,0.165
Females,18-29,Smoke less than daily,2000,0.028
Females,18-29,Smoke daily,2000,0.232
Females,30-39,Have never smoked,2000,0.488
Females,30-39,Stopped smoking,2000,0.244
Females,30-39,Smoke less than daily,2000,0.028
Females,30-39,Smoke daily,2000,0.24
Females,40-49,Have never smoked,2000,0.347
Females,40-49,Stopped smoking,2000,0.302
Females,40-49,Smoke less than daily,2000,0.029
Females,40-49,Smoke daily,2000,0.322
Females,50-59,Have never smoked,2000,0.409
Females,50-59,Stopped smoking,2000,0.318
Females,50-59,Smoke less than daily,2000,0.032
Females,50-59,Smoke daily,2000,0.24
Females,60-69,Have never smoked,2000,0.515
Females,60-69,Stopped smoking,2000,0.34
Females,60-69,Smoke less than daily,2000,0.029
Females,60-69,Smoke daily,2000,0.117
Females,70-89,Have never smoked,2000,0.588
Females,70-89,Stopped smoking,2000,0.248
Females,70-89,Smoke less than daily,2000,0.039
