"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2006Q4","Total","Males and females","16-74",80.1,3.7,2.5
"2006Q4","Total","Males and females","16-24",69.7,10.4,7.0
"2006Q4","Total","Males and females","25-54",89.5,2.5,1.7
"2006Q4","Total","Males and females","55-74",63.4,2.3,1.3
"2006Q4","Total","Males and females","16-64",84.8,3.8,2.5
"2006Q4","Total","Males and females","25-64",88.5,2.6,1.5
"2006Q4","Total","Males","16-74",84.7,2.3,2.5
"2006Q4","Total","Males","16-24",68.8,11.5,8.2
"2006Q4","Total","Males","25-54",94.3,0.6,1.5
"2006Q4","Total","Males","55-74",71.2,1.4,1.1
"2006Q4","Total","Males","16-64",88.5,2.4,2.5
"2006Q4","Total","Males","25-64",93.3,0.8,1.4
"2006Q4","Total","Females","16-74",75.2,5.4,2.5
"2006Q4","Total","Females","16-24",70.7,9.2,5.8
"2006Q4","Total","Females","25-54",84.2,4.9,1.9
"2006Q4","Total","Females","55-74",55.7,3.6,1.5
"2006Q4","Total","Females","16-64",80.8,5.5,2.4
"2006Q4","Total","Females","25-64",83.2,4.7,1.7
"2006Q4","Capital region","Males and females","16-74",79.8,3.4,2.6
"2006Q4","Capital region","Males and females","16-24",69.8,8.8,6.8
"2006Q4","Capital region","Males and females","25-54",89.6,2.4,1.9
"2006Q4","Capital region","Males and females","55-74",61.3,2.1,1.4
"2006Q4","Capital region","Males and females","16-64",84.7,3.5,2.6
"2006Q4","Capital region","Males and females","25-64",88.5,2.4,1.7
"2006Q4","Capital region","Males","16-74",83.9,2.2,2.5
"2006Q4","Capital region","Males","16-24",69.1,10.5,7.4
"2006Q4","Capital region","Males","25-54",93.3,0.5,1.7
"2006Q4","Capital region","Males","55-74",69.1,1.2,1.3
"2006Q4","Capital region","Males","16-64",87.6,2.2,2.5
"2006Q4","Capital region","Males","25-64",92.2,0.7,1.5
"2006Q4","Capital region","Females","16-74",75.5,4.8,2.8
"2006Q4","Capital region","Females","16-24",70.5,7.1,6.3
"2006Q4","Capital region","Females","25-54",85.4,4.6,2.1
"2006Q4","Capital region","Females","55-74",54.0,3.2,1.6
"2006Q4","Capital region","Females","16-64",81.6,4.9,2.7
"2006Q4","Capital region","Females","25-64",84.5,4.4,1.9
"2006Q4","Outside Capital region","Males and females","16-74",80.6,4.3,2.2
"2006Q4","Outside Capital region","Males and females","16-24",69.5,14.1,7.5
"2006Q4","Outside Capital region","Males and females","25-54",89.2,2.8,1.4
"2006Q4","Outside Capital region","Males and females","55-74",66.9,2.7,1.0
"2006Q4","Outside Capital region","Males and females","16-64",85.0,4.5,2.2
"2006Q4","Outside Capital region","Males and females","25-64",88.3,2.9,1.2
"2006Q4","Outside Capital region","Males","16-74",86.1,2.6,2.4
"2006Q4","Outside Capital region","Males","16-24",68.2,13.8,9.8
"2006Q4","Outside Capital region","Males","25-54",96.0,0.7,1.3
"2006Q4","Outside Capital region","Males","55-74",74.5,1.6,0.8
"2006Q4","Outside Capital region","Males","16-64",90.3,2.8,2.5
"2006Q4","Outside Capital region","Males","25-64",95.2,1.0,1.3
"2006Q4","Outside Capital region","Females","16-74",74.5,6.5,1.9
"2006Q4","Outside Capital region","Females","16-24",71.1,14.4,4.6
"2006Q4","Outside Capital region","Females","25-54",81.9,5.4,1.5
"2006Q4","Outside Capital region","Females","55-74",58.7,4.2,1.2
"2006Q4","Outside Capital region","Females","16-64",79.2,6.7,1.7
"2006Q4","Outside Capital region","Females","25-64",80.8,5.3,1.2
"2007Q1","Total","Males and females","16-74",80.7,4.3,2.0
"2007Q1","Total","Males and females","16-24",69.9,12.5,6.7
"2007Q1","Total","Males and females","25-54",89.5,2.9,1.1
"2007Q1","Total","Males and females","55-74",65.8,2.8,0.9
"2007Q1","Total","Males and females","16-64",85.3,4.4,1.9
"2007Q1","Total","Males and females","25-64",89.0,2.8,1.0
"2007Q1","Total","Males","16-74",84.4,2.5,2.0
"2007Q1","Total","Males","16-24",68.5,10.7,6.6
"2007Q1","Total","Males","25-54",93.6,0.9,1.2
"2007Q1","Total","Males","55-74",72.2,1.6,1.2
"2007Q1","Total","Males","16-64",88.4,2.5,1.9
"2007Q1","Total","Males","25-64",93.2,1.0,1.0
"2007Q1","Total","Females","16-74",76.7,6.5,1.9
"2007Q1","Total","Females","16-24",71.3,14.3,6.8
"2007Q1","Total","Females","25-54",85.1,5.2,1.0
"2007Q1","Total","Females","55-74",59.4,4.3,0.5
"2007Q1","Total","Females","16-64",81.9,6.6,2.0
"2007Q1","Total","Females","25-64",84.5,5.0,0.9
"2007Q1","Capital region","Males and females","16-74",81.2,4.2,2.0
"2007Q1","Capital region","Males and females","16-24",70.7,11.8,5.9
"2007Q1","Capital region","Males and females","25-54",90.0,2.7,1.4
"2007Q1","Capital region","Males and females","55-74",65.6,2.7,0.7
"2007Q1","Capital region","Males and females","16-64",85.6,4.2,2.0
"2007Q1","Capital region","Males and females","25-64",89.5,2.6,1.2
"2007Q1","Capital region","Males","16-74",84.4,2.5,1.8
"2007Q1","Capital region","Males","16-24",68.2,10.5,5.0
"2007Q1","Capital region","Males","25-54",94.2,0.9,1.3
"2007Q1","Capital region","Males","55-74",71.0,1.9,0.7
"2007Q1","Capital region","Males","16-64",88.3,2.5,1.7
"2007Q1","Capital region","Males","25-64",93.4,1.0,1.0
"2007Q1","Capital region","Females","16-74",77.8,6.1,2.3
"2007Q1","Capital region","Females","16-24",73.2,13.0,6.7
"2007Q1","Capital region","Females","25-54",85.7,4.9,1.5
"2007Q1","Capital region","Females","55-74",60.1,3.7,0.8
"2007Q1","Capital region","Females","16-64",82.8,6.1,2.4
"2007Q1","Capital region","Females","25-64",85.3,4.5,1.4
"2007Q1","Outside Capital region","Males and females","16-74",79.8,4.6,1.8
"2007Q1","Outside Capital region","Males and females","16-24",68.0,14.0,8.5
"2007Q1","Outside Capital region","Males and females","25-54",88.6,3.2,0.5
"2007Q1","Outside Capital region","Males and females","55-74",66.1,2.9,1.1
"2007Q1","Outside Capital region","Males and females","16-64",84.5,4.8,1.8
"2007Q1","Outside Capital region","Males and females","25-64",88.0,3.3,0.6
"2007Q1","Outside Capital region","Males","16-74",84.5,2.4,2.5
"2007Q1","Outside Capital region","Males","16-24",69.3,11.0,9.8
"2007Q1","Outside Capital region","Males","25-54",92.7,1.0,1.0
"2007Q1","Outside Capital region","Males","55-74",74.2,1.0,2.0
"2007Q1","Outside Capital region","Males","16-64",88.4,2.5,2.4
"2007Q1","Outside Capital region","Males","25-64",92.8,1.1,1.0
"2007Q1","Outside Capital region","Females","16-74",74.5,7.4,1.0
"2007Q1","Outside Capital region","Females","16-24",66.5,17.9,6.9
"2007Q1","Outside Capital region","Females","25-54",83.8,5.9,0.0
"2007Q1","Outside Capital region","Females","55-74",58.3,5.2,0.0
"2007Q1","Outside Capital region","Females","16-64",80.1,7.6,1.0
"2007Q1","Outside Capital region","Females","25-64",82.8,5.9,0.0
"2007Q2","Total","Males and females","16-74",82.4,4.4,3.2
"2007Q2","Total","Males and females","16-24",77.5,11.2,10.2
"2007Q2","Total","Males and females","25-54",90.2,3.0,1.7
"2007Q2","Total","Males and females","55-74",65.7,3.1,1.3
"2007Q2","Total","Males and females","16-64",86.9,4.5,3.2
"2007Q2","Total","Males and females","25-64",89.2,3.0,1.6
"2007Q2","Total","Males","16-74",86.1,2.6,3.4
"2007Q2","Total","Males","16-24",76.2,8.9,12.6
"2007Q2","Total","Males","25-54",94.1,1.3,1.5
"2007Q2","Total","Males","55-74",71.9,1.5,1.1
"2007Q2","Total","Males","16-64",90.1,2.5,3.4
"2007Q2","Total","Males","25-64",93.5,1.2,1.4
"2007Q2","Total","Females","16-74",78.5,6.6,2.8
"2007Q2","Total","Females","16-24",78.9,13.5,7.6
"2007Q2","Total","Females","25-54",85.9,5.1,1.8
"2007Q2","Total","Females","55-74",59.5,5.0,1.5
"2007Q2","Total","Females","16-64",83.4,6.8,2.9
"2007Q2","Total","Females","25-64",84.5,5.2,1.8
"2007Q2","Capital region","Males and females","16-74",83.2,3.8,3.3
"2007Q2","Capital region","Males and females","16-24",77.8,10.0,10.5
"2007Q2","Capital region","Males and females","25-54",90.8,2.4,1.7
"2007Q2","Capital region","Males and females","55-74",66.7,2.7,1.0
"2007Q2","Capital region","Males and females","16-64",87.4,3.8,3.3
"2007Q2","Capital region","Males and females","25-64",89.8,2.4,1.6
"2007Q2","Capital region","Males","16-74",86.8,2.7,3.6
"2007Q2","Capital region","Males","16-24",76.9,9.1,12.6
"2007Q2","Capital region","Males","25-54",94.6,1.5,1.8
"2007Q2","Capital region","Males","55-74",72.4,1.1,0.6
"2007Q2","Capital region","Males","16-64",90.3,2.6,3.6
"2007Q2","Capital region","Males","25-64",93.8,1.3,1.5
"2007Q2","Capital region","Females","16-74",79.3,5.0,2.9
"2007Q2","Capital region","Females","16-24",78.9,11.0,8.1
"2007Q2","Capital region","Females","25-54",86.5,3.4,1.6
"2007Q2","Capital region","Females","55-74",61.3,4.5,1.5
"2007Q2","Capital region","Females","16-64",84.1,5.1,3.0
"2007Q2","Capital region","Females","25-64",85.5,3.7,1.7
"2007Q2","Outside Capital region","Males and females","16-74",81.0,5.6,2.9
"2007Q2","Outside Capital region","Males and females","16-24",76.7,13.9,9.5
"2007Q2","Outside Capital region","Males and females","25-54",89.1,4.2,1.5
"2007Q2","Outside Capital region","Males and females","55-74",63.9,3.8,1.8
"2007Q2","Outside Capital region","Males and females","16-64",85.9,5.9,2.9
"2007Q2","Outside Capital region","Males and females","25-64",88.0,4.3,1.5
"2007Q2","Outside Capital region","Males","16-74",84.7,2.2,3.0
"2007Q2","Outside Capital region","Males","16-24",74.6,8.7,12.4
"2007Q2","Outside Capital region","Males","25-54",92.9,0.8,1.0
"2007Q2","Outside Capital region","Males","55-74",71.0,2.2,2.0
"2007Q2","Outside Capital region","Males","16-64",89.7,2.3,3.0
"2007Q2","Outside Capital region","Males","25-64",93.0,1.2,1.1
"2007Q2","Outside Capital region","Females","16-74",77.1,9.7,2.7
"2007Q2","Outside Capital region","Females","16-24",79.0,18.9,6.4
"2007Q2","Outside Capital region","Females","25-54",85.0,8.3,2.1
"2007Q2","Outside Capital region","Females","55-74",56.2,5.9,1.4
"2007Q2","Outside Capital region","Females","16-64",82.0,10.0,2.8
"2007Q2","Outside Capital region","Females","25-64",82.6,8.1,2.0
"2007Q3","Total","Males and females","16-74",82.5,2.5,2.0
"2007Q3","Total","Males and females","16-24",78.9,4.3,5.2
"2007Q3","Total","Males and females","25-54",90.2,2.2,1.3
"2007Q3","Total","Males and females","55-74",64.5,1.8,1.3
"2007Q3","Total","Males and females","16-64",87.0,2.5,2.1
"2007Q3","Total","Males and females","25-64",88.9,2.1,1.4
"2007Q3","Total","Males","16-74",86.8,0.9,1.6
"2007Q3","Total","Males","16-24",79.7,1.7,4.7
"2007Q3","Total","Males","25-54",94.9,0.8,0.8
"2007Q3","Total","Males","55-74",69.9,0.4,1.6
"2007Q3","Total","Males","16-64",90.9,0.9,1.6
"2007Q3","Total","Males","25-64",93.6,0.7,0.9
"2007Q3","Total","Females","16-74",77.7,4.4,2.5
"2007Q3","Total","Females","16-24",78.2,7.1,5.8
"2007Q3","Total","Females","25-54",85.0,3.9,2.0
"2007Q3","Total","Females","55-74",59.0,3.5,1.0
"2007Q3","Total","Females","16-64",82.7,4.5,2.6
"2007Q3","Total","Females","25-64",83.8,3.9,1.9
"2007Q3","Capital region","Males and females","16-74",83.2,2.8,2.1
"2007Q3","Capital region","Males and females","16-24",78.6,4.9,5.3
"2007Q3","Capital region","Males and females","25-54",90.8,2.3,1.4
"2007Q3","Capital region","Males and females","55-74",65.5,2.5,1.4
"2007Q3","Capital region","Males and females","16-64",87.7,2.8,2.1
"2007Q3","Capital region","Males and females","25-64",90.1,2.3,1.4
"2007Q3","Capital region","Males","16-74",87.1,1.4,1.6
"2007Q3","Capital region","Males","16-24",79.4,2.5,5.3
"2007Q3","Capital region","Males","25-54",95.2,1.2,0.5
"2007Q3","Capital region","Males","55-74",67.8,0.7,2.1
"2007Q3","Capital region","Males","16-64",91.2,1.3,1.5
"2007Q3","Capital region","Males","25-64",94.1,1.0,0.7
"2007Q3","Capital region","Females","16-74",78.9,4.5,2.7
"2007Q3","Capital region","Females","16-24",77.7,7.5,5.4
"2007Q3","Capital region","Females","25-54",85.4,3.7,2.4
"2007Q3","Capital region","Females","55-74",63.4,4.2,0.7
"2007Q3","Capital region","Females","16-64",83.8,4.6,2.8
"2007Q3","Capital region","Females","25-64",85.5,3.8,2.1
"2007Q3","Outside Capital region","Males and females","16-74",81.1,1.9,1.9
"2007Q3","Outside Capital region","Males and females","16-24",79.7,2.8,5.0
"2007Q3","Outside Capital region","Males and females","25-54",89.2,2.1,1.3
"2007Q3","Outside Capital region","Males and females","55-74",62.9,0.7,1.2
"2007Q3","Outside Capital region","Males and females","16-64",85.6,2.0,2.0
"2007Q3","Outside Capital region","Males and females","25-64",86.8,1.8,1.4
"2007Q3","Outside Capital region","Males","16-74",86.3,0.0,1.6
"2007Q3","Outside Capital region","Males","16-24",80.1,0.0,3.3
"2007Q3","Outside Capital region","Males","25-54",94.3,0.0,1.5
"2007Q3","Outside Capital region","Males","55-74",73.0,0.0,0.9
"2007Q3","Outside Capital region","Males","16-64",90.3,0.0,1.7
"2007Q3","Outside Capital region","Males","25-64",92.6,0.0,1.4
"2007Q3","Outside Capital region","Females","16-74",75.7,4.1,2.2
"2007Q3","Outside Capital region","Females","16-24",79.2,6.1,6.9
"2007Q3","Outside Capital region","Females","25-54",84.3,4.3,1.2
"2007Q3","Outside Capital region","Females","55-74",51.4,1.7,1.7
"2007Q3","Outside Capital region","Females","16-64",80.7,4.3,2.3
"2007Q3","Outside Capital region","Females","25-64",80.9,3.9,1.4
"2007Q4","Total","Males and females","16-74",80.2,3.7,1.9
"2007Q4","Total","Males and females","16-24",70.9,11.1,6.2
"2007Q4","Total","Males and females","25-54",88.2,2.5,1.2
"2007Q4","Total","Males and females","55-74",66.2,1.5,0.8
"2007Q4","Total","Males and females","16-64",84.4,3.8,1.9
"2007Q4","Total","Males and females","25-64",87.6,2.4,1.1
"2007Q4","Total","Males","16-74",84.9,2.4,2.1
"2007Q4","Total","Males","16-24",70.0,9.7,7.6
"2007Q4","Total","Males","25-54",94.2,1.2,1.1
"2007Q4","Total","Males","55-74",71.7,0.8,0.9
"2007Q4","Total","Males","16-64",88.6,2.4,2.2
"2007Q4","Total","Males","25-64",93.1,1.1,1.1
"2007Q4","Total","Females","16-74",75.1,5.3,1.8
"2007Q4","Total","Females","16-24",72.0,12.5,4.6
"2007Q4","Total","Females","25-54",81.7,4.3,1.3
"2007Q4","Total","Females","55-74",60.8,2.4,0.8
"2007Q4","Total","Females","16-64",79.7,5.5,1.7
"2007Q4","Total","Females","25-64",81.6,4.0,1.0
"2007Q4","Capital region","Males and females","16-74",81.4,3.2,1.7
"2007Q4","Capital region","Males and females","16-24",72.4,9.4,5.4
"2007Q4","Capital region","Males and females","25-54",89.5,2.2,1.0
"2007Q4","Capital region","Males and females","55-74",67.0,1.4,0.6
"2007Q4","Capital region","Males and females","16-64",85.8,3.3,1.7
"2007Q4","Capital region","Males and females","25-64",89.3,2.0,0.9
"2007Q4","Capital region","Males","16-74",85.6,2.4,1.7
"2007Q4","Capital region","Males","16-24",72.6,8.6,6.7
"2007Q4","Capital region","Males","25-54",94.3,1.2,0.7
"2007Q4","Capital region","Males","55-74",71.3,1.3,0.7
"2007Q4","Capital region","Males","16-64",89.5,2.3,1.8
"2007Q4","Capital region","Males","25-64",93.6,1.2,0.8
"2007Q4","Capital region","Females","16-74",76.7,4.3,1.6
"2007Q4","Capital region","Females","16-24",72.2,10.2,4.0
"2007Q4","Capital region","Females","25-54",83.8,3.5,1.2
"2007Q4","Capital region","Females","55-74",62.8,1.5,0.6
"2007Q4","Capital region","Females","16-64",81.7,4.5,1.6
"2007Q4","Capital region","Females","25-64",84.3,3.2,1.0
"2007Q4","Outside Capital region","Males and females","16-74",78.0,4.6,2.5
"2007Q4","Outside Capital region","Males and females","16-24",67.9,14.9,7.8
"2007Q4","Outside Capital region","Males and females","25-54",85.9,3.2,1.6
"2007Q4","Outside Capital region","Males and females","55-74",65.0,1.8,1.1
"2007Q4","Outside Capital region","Males and females","16-64",81.7,4.8,2.4
"2007Q4","Outside Capital region","Males and females","25-64",84.6,3.0,1.5
"2007Q4","Outside Capital region","Males","16-74",83.6,2.4,2.8
"2007Q4","Outside Capital region","Males","16-24",65.1,12.2,9.3
"2007Q4","Outside Capital region","Males","25-54",93.9,1.1,1.8
"2007Q4","Outside Capital region","Males","55-74",72.3,0.0,1.1
"2007Q4","Outside Capital region","Males","16-64",87.0,2.5,2.9
"2007Q4","Outside Capital region","Males","25-64",92.3,0.8,1.7
"2007Q4","Outside Capital region","Females","16-74",72.3,7.2,2.0
"2007Q4","Outside Capital region","Females","16-24",71.5,18.0,6.1
"2007Q4","Outside Capital region","Females","25-54",78.3,5.7,1.4
"2007Q4","Outside Capital region","Females","55-74",57.2,4.2,1.1
"2007Q4","Outside Capital region","Females","16-64",76.2,7.4,1.9
"2007Q4","Outside Capital region","Females","25-64",77.1,5.6,1.1
"2008Q1","Total","Males and females","16-74",79.3,3.6,2.3
"2008Q1","Total","Males and females","16-24",69.2,12.2,6.5
"2008Q1","Total","Males and females","25-54",87.7,2.1,1.6
"2008Q1","Total","Males and females","55-74",64.9,1.9,1.2
"2008Q1","Total","Males and females","16-64",83.4,3.7,2.3
"2008Q1","Total","Males and females","25-64",86.9,2.1,1.5
"2008Q1","Total","Males","16-74",83.4,2.1,2.5
"2008Q1","Total","Males","16-24",67.4,9.8,6.1
"2008Q1","Total","Males","25-54",92.8,0.8,1.9
"2008Q1","Total","Males","55-74",70.6,1.1,1.4
"2008Q1","Total","Males","16-64",87.1,2.2,2.5
"2008Q1","Total","Males","25-64",91.9,0.9,1.8
"2008Q1","Total","Females","16-74",74.9,5.4,2.1
"2008Q1","Total","Females","16-24",71.0,14.7,7.0
"2008Q1","Total","Females","25-54",82.2,3.6,1.2
"2008Q1","Total","Females","55-74",59.2,2.9,0.9
"2008Q1","Total","Females","16-64",79.4,5.5,2.1
"2008Q1","Total","Females","25-64",81.5,3.5,1.1
"2008Q1","Capital region","Males and females","16-74",79.6,3.2,2.0
"2008Q1","Capital region","Males and females","16-24",69.8,9.3,4.7
"2008Q1","Capital region","Males and females","25-54",88.2,2.2,1.5
"2008Q1","Capital region","Males and females","55-74",64.4,1.7,1.3
"2008Q1","Capital region","Males and females","16-64",83.9,3.3,1.9
"2008Q1","Capital region","Males and females","25-64",87.5,2.1,1.4
"2008Q1","Capital region","Males","16-74",82.4,2.3,2.4
"2008Q1","Capital region","Males","16-24",67.7,9.5,5.7
"2008Q1","Capital region","Males","25-54",91.6,1.0,1.9
"2008Q1","Capital region","Males","55-74",68.3,1.2,1.7
"2008Q1","Capital region","Males","16-64",86.3,2.4,2.4
"2008Q1","Capital region","Males","25-64",90.8,1.1,1.8
"2008Q1","Capital region","Females","16-74",76.5,4.3,1.4
"2008Q1","Capital region","Females","16-24",72.0,9.1,3.8
"2008Q1","Capital region","Females","25-54",84.2,3.6,1.0
"2008Q1","Capital region","Females","55-74",60.3,2.2,0.7
"2008Q1","Capital region","Females","16-64",81.2,4.4,1.4
"2008Q1","Capital region","Females","25-64",83.7,3.3,0.8
"2008Q1","Outside Capital region","Males and females","16-74",78.7,4.3,3.0
"2008Q1","Outside Capital region","Males and females","16-24",67.9,18.3,10.2
"2008Q1","Outside Capital region","Males and females","25-54",86.9,1.9,1.8
"2008Q1","Outside Capital region","Males and females","55-74",65.9,2.2,1.0
"2008Q1","Outside Capital region","Males and females","16-64",82.6,4.5,3.1
"2008Q1","Outside Capital region","Males and females","25-64",85.8,2.1,1.7
"2008Q1","Outside Capital region","Males","16-74",85.4,1.8,2.5
"2008Q1","Outside Capital region","Males","16-24",66.9,10.3,7.1
"2008Q1","Outside Capital region","Males","25-54",95.1,0.3,2.0
"2008Q1","Outside Capital region","Males","55-74",74.8,0.8,0.8
"2008Q1","Outside Capital region","Males","16-64",88.7,1.9,2.6
"2008Q1","Outside Capital region","Males","25-64",93.9,0.5,1.8
"2008Q1","Outside Capital region","Females","16-74",72.0,7.3,3.5
"2008Q1","Outside Capital region","Females","16-24",69.0,27.3,13.4
"2008Q1","Outside Capital region","Females","25-54",78.8,3.8,1.5
"2008Q1","Outside Capital region","Females","55-74",57.4,4.0,1.3
"2008Q1","Outside Capital region","Females","16-64",76.3,7.6,3.6
"2008Q1","Outside Capital region","Females","25-64",77.8,4.0,1.5
"2008Q2","Total","Males and females","16-74",81.7,3.0,3.1
"2008Q2","Total","Males and females","16-24",75.8,9.1,10.8
"2008Q2","Total","Males and females","25-54",89.8,1.8,1.4
"2008Q2","Total","Males and females","55-74",65.3,1.8,1.1
"2008Q2","Total","Males and females","16-64",86.3,3.1,3.2
"2008Q2","Total","Males and females","25-64",88.9,1.9,1.4
"2008Q2","Total","Males","16-74",86.4,2.2,3.2
"2008Q2","Total","Males","16-24",76.2,8.1,12.0
"2008Q2","Total","Males","25-54",94.9,0.9,1.1
"2008Q2","Total","Males","55-74",71.2,1.6,2.1
"2008Q2","Total","Males","16-64",90.3,2.2,3.3
"2008Q2","Total","Males","25-64",93.7,1.1,1.3
"2008Q2","Total","Females","16-74",76.7,4.1,2.9
"2008Q2","Total","Females","16-24",75.3,10.3,9.4
"2008Q2","Total","Females","25-54",84.1,3.0,1.7
"2008Q2","Total","Females","55-74",59.4,2.0,0.0
"2008Q2","Total","Females","16-64",82.0,4.2,3.0
"2008Q2","Total","Females","25-64",83.6,2.9,1.4
"2008Q2","Capital region","Males and females","16-74",81.6,2.9,2.9
"2008Q2","Capital region","Males and females","16-24",75.0,9.1,10.1
"2008Q2","Capital region","Males and females","25-54",90.1,1.8,1.4
"2008Q2","Capital region","Males and females","55-74",63.6,1.1,0.7
"2008Q2","Capital region","Males and females","16-64",86.1,3.0,3.0
"2008Q2","Capital region","Males and females","25-64",89.0,1.7,1.3
"2008Q2","Capital region","Males","16-74",86.1,2.6,3.0
"2008Q2","Capital region","Males","16-24",77.7,9.6,9.7
"2008Q2","Capital region","Males","25-54",93.9,1.2,1.5
"2008Q2","Capital region","Males","55-74",71.8,1.2,1.2
"2008Q2","Capital region","Males","16-64",89.9,2.8,3.1
"2008Q2","Capital region","Males","25-64",93.2,1.2,1.5
"2008Q2","Capital region","Females","16-74",76.7,3.3,2.8
"2008Q2","Capital region","Females","16-24",71.9,8.5,10.6
"2008Q2","Capital region","Females","25-54",86.1,2.5,1.3
"2008Q2","Capital region","Females","55-74",55.4,0.9,0.0
"2008Q2","Capital region","Females","16-64",82.0,3.4,2.9
"2008Q2","Capital region","Females","25-64",84.5,2.3,1.1
"2008Q2","Outside Capital region","Males and females","16-74",82.0,3.2,3.3
"2008Q2","Outside Capital region","Males and females","16-24",77.4,9.2,12.2
"2008Q2","Outside Capital region","Males and females","25-54",89.0,1.8,1.3
"2008Q2","Outside Capital region","Males and females","55-74",68.2,3.0,1.8
"2008Q2","Outside Capital region","Males and females","16-64",86.7,3.3,3.4
"2008Q2","Outside Capital region","Males and females","25-64",88.8,2.2,1.5
"2008Q2","Outside Capital region","Males","16-74",86.8,1.3,3.6
"2008Q2","Outside Capital region","Males","16-24",72.9,4.6,17.2
"2008Q2","Outside Capital region","Males","25-54",96.6,0.3,0.3
"2008Q2","Outside Capital region","Males","55-74",70.3,2.4,3.6
"2008Q2","Outside Capital region","Males","16-64",91.0,1.3,3.7
"2008Q2","Outside Capital region","Males","25-64",94.8,0.8,1.1
"2008Q2","Outside Capital region","Females","16-74",76.8,5.7,3.1
"2008Q2","Outside Capital region","Females","16-24",81.9,13.3,7.4
"2008Q2","Outside Capital region","Females","25-54",80.0,4.0,2.7
"2008Q2","Outside Capital region","Females","55-74",66.1,3.6,0.0
"2008Q2","Outside Capital region","Females","16-64",81.9,5.8,3.1
"2008Q2","Outside Capital region","Females","25-64",81.9,4.0,2.0
"2008Q3","Total","Males and females","16-74",81.9,2.2,2.5
"2008Q3","Total","Males and females","16-24",79.2,5.4,4.8
"2008Q3","Total","Males and females","25-54",89.0,1.5,2.0
"2008Q3","Total","Males and females","55-74",65.4,1.3,1.9
"2008Q3","Total","Males and females","16-64",86.1,2.2,2.6
"2008Q3","Total","Males and females","25-64",87.8,1.5,2.1
"2008Q3","Total","Males","16-74",86.0,1.2,2.6
"2008Q3","Total","Males","16-24",79.1,4.6,4.3
"2008Q3","Total","Males","25-54",93.3,0.3,2.0
"2008Q3","Total","Males","55-74",71.7,1.1,3.0
"2008Q3","Total","Males","16-64",89.7,1.1,2.6
"2008Q3","Total","Males","25-64",92.3,0.4,2.2
"2008Q3","Total","Females","16-74",77.5,3.3,2.4
"2008Q3","Total","Females","16-24",79.3,6.3,5.3
"2008Q3","Total","Females","25-54",84.3,3.0,2.1
"2008Q3","Total","Females","55-74",58.9,1.5,0.5
"2008Q3","Total","Females","16-64",82.1,3.5,2.5
"2008Q3","Total","Females","25-64",82.8,2.8,1.8
"2008Q3","Capital region","Males and females","16-74",82.4,1.9,2.8
"2008Q3","Capital region","Males and females","16-24",80.0,4.0,5.1
"2008Q3","Capital region","Males and females","25-54",89.2,1.5,2.4
"2008Q3","Capital region","Males and females","55-74",65.3,1.0,2.1
"2008Q3","Capital region","Males and females","16-64",86.3,1.9,2.9
"2008Q3","Capital region","Males and females","25-64",87.9,1.4,2.3
"2008Q3","Capital region","Males","16-74",85.7,0.8,2.7
"2008Q3","Capital region","Males","16-24",80.9,3.0,3.5
"2008Q3","Capital region","Males","25-54",92.4,0.3,2.5
"2008Q3","Capital region","Males","55-74",70.6,0.5,3.0
"2008Q3","Capital region","Males","16-64",89.5,0.8,2.8
"2008Q3","Capital region","Males","25-64",91.7,0.3,2.6
"2008Q3","Capital region","Females","16-74",78.7,3.1,2.9
"2008Q3","Capital region","Females","16-24",79.0,5.1,6.8
"2008Q3","Capital region","Females","25-54",85.7,2.9,2.2
"2008Q3","Capital region","Females","55-74",59.8,1.5,0.8
"2008Q3","Capital region","Females","16-64",82.7,3.2,3.0
"2008Q3","Capital region","Females","25-64",83.6,2.8,2.0
"2008Q3","Outside Capital region","Males and females","16-74",81.0,2.8,1.9
"2008Q3","Outside Capital region","Males and females","16-24",77.7,8.4,4.3
"2008Q3","Outside Capital region","Males and females","25-54",88.5,1.6,1.4
"2008Q3","Outside Capital region","Males and females","55-74",65.4,1.7,1.7
"2008Q3","Outside Capital region","Males and females","16-64",85.6,2.8,2.0
"2008Q3","Outside Capital region","Males and females","25-64",87.5,1.6,1.5
"2008Q3","Outside Capital region","Males","16-74",86.5,1.9,2.2
"2008Q3","Outside Capital region","Males","16-24",75.6,8.1,6.2
"2008Q3","Outside Capital region","Males","25-54",95.0,0.4,1.0
"2008Q3","Outside Capital region","Males","55-74",73.5,2.0,3.0
"2008Q3","Outside Capital region","Males","16-64",90.2,1.8,2.3
"2008Q3","Outside Capital region","Males","25-64",93.7,0.6,1.6
"2008Q3","Outside Capital region","Females","16-74",75.5,3.8,1.6
"2008Q3","Outside Capital region","Females","16-24",79.9,8.7,2.3
"2008Q3","Outside Capital region","Females","25-54",81.9,3.1,1.9
"2008Q3","Outside Capital region","Females","55-74",57.5,1.4,0.0
"2008Q3","Outside Capital region","Females","16-64",81.0,3.9,1.6
"2008Q3","Outside Capital region","Females","25-64",81.3,2.8,1.5
"2008Q4","Total","Males and females","16-74",78.4,4.7,4.0
"2008Q4","Total","Males and females","16-24",64.7,12.9,10.8
"2008Q4","Total","Males and females","25-54",87.5,3.5,2.9
