"Year","Reason","Health services","Sex","Income quintiles","Proportion of individuals (%)","Proportion lower bounds (%)","Proportion upper bounds (%)"
"2010","Total","Dentist","Total","Fourth quintile 61-80%",8.2,6.2,10.7
"2010","Total","Dentist","Total","Top quintile 81-100%",4.5,3.2,6.5
"2010","Total","Dentist","Females","Total",6.8,5.6,8.1
"2010","Total","Dentist","Females","Bottom quintile 1-20%",10.6,7.6,14.5
"2010","Total","Dentist","Females","Second quintile 21-40%",7.0,4.6,10.5
"2010","Total","Dentist","Females","Third quintile 41-60%",4.0,2.2,7.1
"2010","Total","Dentist","Females","Fourth quintile 61-80%",6.7,4.3,10.2
"2010","Total","Dentist","Females","Top quintile 81-100%",5.1,3.1,8.2
"2010","Total","Dentist","Males","Total",7.4,6.2,9.0
"2010","Total","Dentist","Males","Bottom quintile 1-20%",11.4,7.8,16.4
"2010","Total","Dentist","Males","Second quintile 21-40%",7.1,4.6,11.0
"2010","Total","Dentist","Males","Third quintile 41-60%",6.4,4.0,10.0
"2010","Total","Dentist","Males","Fourth quintile 61-80%",9.5,6.6,13.5
"2010","Total","Dentist","Males","Top quintile 81-100%",4.1,2.4,6.9
"2010","Total","Doctor or medical specialist","Total","Total",12.2,11.1,13.5
"2010","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",20.6,17.4,24.2
"2010","Total","Doctor or medical specialist","Total","Second quintile 21-40%",13.7,11.1,16.8
"2010","Total","Doctor or medical specialist","Total","Third quintile 41-60%",13.0,10.5,16.0
"2010","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",8.9,6.8,11.4
"2010","Total","Doctor or medical specialist","Total","Top quintile 81-100%",5.9,4.3,8.0
"2010","Total","Doctor or medical specialist","Females","Total",12.9,11.3,14.7
"2010","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",21.5,17.4,26.3
"2010","Total","Doctor or medical specialist","Females","Second quintile 21-40%",15.7,12.0,20.2
"2010","Total","Doctor or medical specialist","Females","Third quintile 41-60%",12.1,8.8,16.4
"2010","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",8.2,5.5,12.1
"2010","Total","Doctor or medical specialist","Females","Top quintile 81-100%",5.8,3.6,9.4
"2010","Total","Doctor or medical specialist","Males","Total",11.5,9.9,13.3
"2010","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",19.4,14.7,25.1
"2010","Total","Doctor or medical specialist","Males","Second quintile 21-40%",11.5,8.1,16.1
"2010","Total","Doctor or medical specialist","Males","Third quintile 41-60%",13.9,10.3,18.5
"2010","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",9.4,6.6,13.3
"2010","Total","Doctor or medical specialist","Males","Top quintile 81-100%",5.9,3.9,9.0
"2010","Too expensive","Dentist","Total","Total",2.5,2.0,3.2
"2010","Too expensive","Dentist","Total","Bottom quintile 1-20%",5.1,3.5,7.3
"2010","Too expensive","Dentist","Total","Second quintile 21-40%",2.4,1.5,4.0
"2010","Too expensive","Dentist","Total","Third quintile 41-60%",2.2,1.3,3.9
"2010","Too expensive","Dentist","Total","Fourth quintile 61-80%",2.5,1.5,4.2
"2010","Too expensive","Dentist","Total","Top quintile 81-100%",0.7,0.3,1.8
"2010","Too expensive","Dentist","Females","Total",3.0,2.3,4.1
"2010","Too expensive","Dentist","Females","Bottom quintile 1-20%",5.6,3.5,8.8
"2010","Too expensive","Dentist","Females","Second quintile 21-40%",3.0,1.6,5.4
"2010","Too expensive","Dentist","Females","Third quintile 41-60%",2.7,1.3,5.6
"2010","Too expensive","Dentist","Females","Fourth quintile 61-80%",3.0,1.6,5.8
"2010","Too expensive","Dentist","Females","Top quintile 81-100%",0.6,0.2,2.5
"2010","Too expensive","Dentist","Males","Total",2.0,1.4,2.9
"2010","Too expensive","Dentist","Males","Bottom quintile 1-20%",4.4,2.4,8.1
"2010","Too expensive","Dentist","Males","Second quintile 21-40%",1.8,0.7,4.2
"2010","Too expensive","Dentist","Males","Third quintile 41-60%",1.7,0.7,4.1
"2010","Too expensive","Dentist","Males","Fourth quintile 61-80%",2.0,0.9,4.5
"2010","Too expensive","Dentist","Males","Top quintile 81-100%",0.8,0.3,2.6
"2010","Too expensive","Doctor or medical specialist","Total","Total",9.4,8.3,10.5
"2010","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",15.7,12.9,19.0
"2010","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",12.2,9.7,15.2
"2010","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",9.8,7.6,12.6
"2010","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",6.4,4.6,8.6
"2010","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",3.5,2.3,5.3
"2010","Too expensive","Doctor or medical specialist","Females","Total",10.9,9.4,12.6
"2010","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",17.1,13.4,21.5
"2010","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",14.6,11.1,19.0
"2010","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",10.8,7.7,14.9
"2010","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",7.2,4.7,10.9
"2010","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",3.8,2.0,6.9
"2010","Too expensive","Doctor or medical specialist","Males","Total",7.8,6.5,9.3
"2010","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",13.9,10.0,19.1
"2010","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",9.4,6.3,13.8
"2010","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",8.9,6.1,12.9
"2010","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",5.5,3.4,8.8
"2010","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",3.3,1.9,5.8
"2010","Other reasons","Dentist","Total","Total",4.5,3.8,5.3
"2010","Other reasons","Dentist","Total","Bottom quintile 1-20%",5.6,4.0,8.0
"2010","Other reasons","Dentist","Total","Second quintile 21-40%",4.6,3.2,6.8
"2010","Other reasons","Dentist","Total","Third quintile 41-60%",3.0,1.8,4.8
"2010","Other reasons","Dentist","Total","Fourth quintile 61-80%",5.7,4.0,7.9
"2010","Other reasons","Dentist","Total","Top quintile 81-100%",3.6,2.4,5.4
"2010","Other reasons","Dentist","Females","Total",3.7,2.9,4.8
"2010","Other reasons","Dentist","Females","Bottom quintile 1-20%",5.0,3.1,8.0
"2010","Other reasons","Dentist","Females","Second quintile 21-40%",4.0,2.3,7.0
"2010","Other reasons","Dentist","Females","Third quintile 41-60%",1.3,0.5,3.4
"2010","Other reasons","Dentist","Females","Fourth quintile 61-80%",3.6,2.0,6.5
"2010","Other reasons","Dentist","Females","Top quintile 81-100%",4.5,2.7,7.4
"2010","Other reasons","Dentist","Males","Total",5.3,4.2,6.6
"2010","Other reasons","Dentist","Males","Bottom quintile 1-20%",6.5,3.9,10.8
"2010","Other reasons","Dentist","Males","Second quintile 21-40%",5.3,3.2,8.9
"2010","Other reasons","Dentist","Males","Third quintile 41-60%",4.7,2.7,7.9
"2010","Other reasons","Dentist","Males","Fourth quintile 61-80%",7.5,5.0,11.2
"2010","Other reasons","Dentist","Males","Top quintile 81-100%",3.0,1.6,5.5
"2010","Other reasons","Doctor or medical specialist","Total","Total",2.8,2.2,3.5
"2010","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",4.9,3.3,7.1
"2010","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",1.4,0.7,2.7
"2010","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",2.9,1.8,4.7
"2010","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",2.5,1.5,4.1
"2010","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",2.4,1.4,3.9
"2010","Other reasons","Doctor or medical specialist","Females","Total",2.0,1.4,2.9
"2010","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",4.4,2.6,7.4
"2010","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",1.1,0.3,3.4
"2010","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",1.3,0.5,3.5
"2010","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",1.0,0.3,3.1
"2010","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",2.1,0.9,4.6
"2010","Other reasons","Doctor or medical specialist","Males","Total",3.5,2.7,4.7
"2010","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",5.5,3.1,9.5
"2010","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",1.7,0.7,4.0
"2010","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",4.5,2.6,7.7
"2010","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",3.9,2.2,6.8
"2010","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",2.6,1.3,4.9
"2011","Total","Dentist","Total","Total",7.4,6.5,8.4
"2011","Total","Dentist","Total","Bottom quintile 1-20%",11.2,8.8,14.2
"2011","Total","Dentist","Total","Second quintile 21-40%",8.1,6.1,10.6
"2011","Total","Dentist","Total","Third quintile 41-60%",7.3,5.4,9.7
"2011","Total","Dentist","Total","Fourth quintile 61-80%",6.4,4.7,8.7
"2011","Total","Dentist","Total","Top quintile 81-100%",4.5,3.2,6.4
"2011","Total","Dentist","Females","Total",6.8,5.7,8.2
"2011","Total","Dentist","Females","Bottom quintile 1-20%",10.0,7.0,13.9
"2011","Total","Dentist","Females","Second quintile 21-40%",8.7,6.1,12.2
"2011","Total","Dentist","Females","Third quintile 41-60%",5.8,3.6,9.2
"2011","Total","Dentist","Females","Fourth quintile 61-80%",6.3,4.1,9.6
"2011","Total","Dentist","Females","Top quintile 81-100%",3.2,1.7,5.9
"2011","Total","Dentist","Males","Total",8.0,6.7,9.6
"2011","Total","Dentist","Males","Bottom quintile 1-20%",12.7,9.1,17.5
"2011","Total","Dentist","Males","Second quintile 21-40%",7.4,4.7,11.3
"2011","Total","Dentist","Males","Third quintile 41-60%",8.6,5.9,12.5
"2011","Total","Dentist","Males","Fourth quintile 61-80%",6.6,4.2,10.1
"2011","Total","Dentist","Males","Top quintile 81-100%",5.6,3.6,8.6
"2011","Total","Doctor or medical specialist","Total","Total",13.8,12.6,15.1
"2011","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",21.6,18.4,25.3
"2011","Total","Doctor or medical specialist","Total","Second quintile 21-40%",18.7,15.7,22.1
"2011","Total","Doctor or medical specialist","Total","Third quintile 41-60%",12.1,9.7,15.0
"2011","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",11.3,9.0,14.1
"2011","Total","Doctor or medical specialist","Total","Top quintile 81-100%",6.6,4.9,8.8
"2011","Total","Doctor or medical specialist","Females","Total",14.0,12.4,15.9
"2011","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",20.1,16.0,25.0
"2011","Total","Doctor or medical specialist","Females","Second quintile 21-40%",17.9,14.1,22.6
"2011","Total","Doctor or medical specialist","Females","Third quintile 41-60%",12.8,9.4,17.2
"2011","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",13.1,9.8,17.4
"2011","Total","Doctor or medical specialist","Females","Top quintile 81-100%",5.8,3.7,9.1
"2011","Total","Doctor or medical specialist","Males","Total",13.5,11.9,15.4
"2011","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",23.4,18.5,29.1
"2011","Total","Doctor or medical specialist","Males","Second quintile 21-40%",19.6,15.1,25.0
"2011","Total","Doctor or medical specialist","Males","Third quintile 41-60%",11.4,8.2,15.6
"2011","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",9.4,6.6,13.4
"2011","Total","Doctor or medical specialist","Males","Top quintile 81-100%",7.2,4.9,10.5
"2011","Too expensive","Dentist","Total","Total",3.4,2.8,4.1
"2011","Too expensive","Dentist","Total","Bottom quintile 1-20%",6.6,4.8,9.1
"2011","Too expensive","Dentist","Total","Second quintile 21-40%",5.0,3.5,7.1
"2011","Too expensive","Dentist","Total","Third quintile 41-60%",2.2,1.3,3.7
"2011","Too expensive","Dentist","Total","Fourth quintile 61-80%",1.9,1.1,3.3
"2011","Too expensive","Dentist","Total","Top quintile 81-100%",1.6,0.9,3.0
"2011","Too expensive","Dentist","Females","Total",3.8,3.0,4.9
"2011","Too expensive","Dentist","Females","Bottom quintile 1-20%",6.4,4.1,9.9
"2011","Too expensive","Dentist","Females","Second quintile 21-40%",4.9,3.0,7.9
"2011","Too expensive","Dentist","Females","Third quintile 41-60%",3.1,1.6,5.9
"2011","Too expensive","Dentist","Females","Fourth quintile 61-80%",2.7,1.4,5.2
"2011","Too expensive","Dentist","Females","Top quintile 81-100%",1.9,0.8,4.2
"2011","Too expensive","Dentist","Males","Total",2.9,2.1,3.9
"2011","Too expensive","Dentist","Males","Bottom quintile 1-20%",6.8,4.3,10.8
"2011","Too expensive","Dentist","Males","Second quintile 21-40%",5.1,3.0,8.6
"2011","Too expensive","Dentist","Males","Third quintile 41-60%",1.3,0.5,3.5
"2011","Too expensive","Dentist","Males","Fourth quintile 61-80%",1.0,0.3,3.2
"2011","Too expensive","Dentist","Males","Top quintile 81-100%",1.4,0.6,3.4
"2011","Too expensive","Doctor or medical specialist","Total","Total",11.2,10.1,12.4
"2011","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",19.1,16.0,22.6
"2011","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",15.9,13.1,19.2
"2011","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",10.0,7.8,12.7
"2011","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",7.5,5.6,9.9
"2011","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",4.7,3.3,6.6
"2011","Too expensive","Doctor or medical specialist","Females","Total",12.0,10.5,13.7
"2011","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",18.5,14.5,23.3
"2011","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",16.2,12.5,20.7
"2011","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",10.8,7.7,14.9
"2011","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",9.9,7.0,13.8
"2011","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",4.4,2.6,7.5
"2011","Too expensive","Doctor or medical specialist","Males","Total",10.3,8.9,12.0
"2011","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",19.8,15.2,25.3
"2011","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",15.6,11.6,20.7
"2011","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",9.2,6.4,13.2
"2011","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",5.0,3.0,8.2
"2011","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",4.9,3.0,7.8
"2011","Other reasons","Dentist","Total","Total",4.0,3.4,4.8
"2011","Other reasons","Dentist","Total","Bottom quintile 1-20%",4.4,3.0,6.5
"2011","Other reasons","Dentist","Total","Second quintile 21-40%",3.1,2.0,4.8
"2011","Other reasons","Dentist","Total","Third quintile 41-60%",5.1,3.6,7.3
"2011","Other reasons","Dentist","Total","Fourth quintile 61-80%",4.5,3.1,6.6
"2011","Other reasons","Dentist","Total","Top quintile 81-100%",2.9,1.8,4.5
"2011","Other reasons","Dentist","Females","Total",2.9,2.2,3.9
"2011","Other reasons","Dentist","Females","Bottom quintile 1-20%",3.2,1.7,5.8
"2011","Other reasons","Dentist","Females","Second quintile 21-40%",3.7,2.2,6.4
"2011","Other reasons","Dentist","Females","Third quintile 41-60%",2.7,1.4,5.4
"2011","Other reasons","Dentist","Females","Fourth quintile 61-80%",3.6,2.0,6.3
"2011","Other reasons","Dentist","Females","Top quintile 81-100%",1.3,0.5,3.4
"2011","Other reasons","Dentist","Males","Total",5.1,4.1,6.4
"2011","Other reasons","Dentist","Males","Bottom quintile 1-20%",5.9,3.5,9.6
"2011","Other reasons","Dentist","Males","Second quintile 21-40%",2.3,1.0,5.0
"2011","Other reasons","Dentist","Males","Third quintile 41-60%",7.3,4.8,11.0
"2011","Other reasons","Dentist","Males","Fourth quintile 61-80%",5.5,3.4,8.9
"2011","Other reasons","Dentist","Males","Top quintile 81-100%",4.2,2.5,6.9
"2011","Other reasons","Doctor or medical specialist","Total","Total",2.5,2.0,3.2
"2011","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",2.5,1.5,4.2
"2011","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",2.4,1.4,4.1
"2011","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",2.1,1.2,3.6
"2011","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",3.8,2.5,5.7
"2011","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",1.9,1.1,3.3
"2011","Other reasons","Doctor or medical specialist","Females","Total",2.0,1.4,2.8
"2011","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",1.6,0.7,3.9
"2011","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",1.8,0.8,3.9
"2011","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",2.0,0.9,4.5
"2011","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",3.2,1.7,5.9
"2011","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",1.4,0.6,3.4
"2011","Other reasons","Doctor or medical specialist","Males","Total",3.1,2.3,4.1
"2011","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",3.6,1.8,6.7
"2011","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",3.2,1.6,6.4
"2011","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",2.1,1.0,4.5
"2011","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",4.4,2.5,7.5
"2011","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",2.3,1.2,4.6
"2012","Total","Dentist","Total","Total",7.4,6.5,8.4
"2012","Total","Dentist","Total","Bottom quintile 1-20%",10.8,8.5,13.7
"2012","Total","Dentist","Total","Second quintile 21-40%",8.0,6.1,10.5
"2012","Total","Dentist","Total","Third quintile 41-60%",7.9,6.0,10.4
"2012","Total","Dentist","Total","Fourth quintile 61-80%",6.5,4.8,8.6
"2012","Total","Dentist","Total","Top quintile 81-100%",4.0,2.7,5.8
"2012","Total","Dentist","Females","Total",7.8,6.5,9.2
"2012","Total","Dentist","Females","Bottom quintile 1-20%",11.0,7.9,15.1
"2012","Total","Dentist","Females","Second quintile 21-40%",8.9,6.3,12.5
"2012","Total","Dentist","Females","Third quintile 41-60%",8.1,5.4,11.9
"2012","Total","Dentist","Females","Fourth quintile 61-80%",6.8,4.6,10.1
"2012","Total","Dentist","Females","Top quintile 81-100%",4.1,2.4,7.0
"2012","Total","Dentist","Males","Total",7.0,5.8,8.4
"2012","Total","Dentist","Males","Bottom quintile 1-20%",10.6,7.4,15.1
"2012","Total","Dentist","Males","Second quintile 21-40%",6.9,4.3,10.9
"2012","Total","Dentist","Males","Third quintile 41-60%",7.8,5.2,11.4
"2012","Total","Dentist","Males","Fourth quintile 61-80%",6.1,3.9,9.4
"2012","Total","Dentist","Males","Top quintile 81-100%",3.9,2.2,6.6
"2012","Total","Doctor or medical specialist","Total","Total",12.6,11.5,13.8
"2012","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",15.8,13.0,19.1
"2012","Total","Doctor or medical specialist","Total","Second quintile 21-40%",17.5,14.6,20.9
"2012","Total","Doctor or medical specialist","Total","Third quintile 41-60%",13.3,10.8,16.2
"2012","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",9.7,7.6,12.2
"2012","Total","Doctor or medical specialist","Total","Top quintile 81-100%",7.5,5.7,9.8
"2012","Total","Doctor or medical specialist","Females","Total",12.3,10.8,14.1
"2012","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",15.1,11.4,19.7
"2012","Total","Doctor or medical specialist","Females","Second quintile 21-40%",15.8,12.2,20.3
"2012","Total","Doctor or medical specialist","Females","Third quintile 41-60%",14.2,10.7,18.5
"2012","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",9.4,6.7,13.2
"2012","Total","Doctor or medical specialist","Females","Top quintile 81-100%",6.7,4.4,10.1
"2012","Total","Doctor or medical specialist","Males","Total",12.9,11.3,14.7
"2012","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",16.6,12.5,21.7
"2012","Total","Doctor or medical specialist","Males","Second quintile 21-40%",19.6,15.1,25.1
"2012","Total","Doctor or medical specialist","Males","Third quintile 41-60%",12.4,9.1,16.7
"2012","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",9.9,7.0,13.8
"2012","Total","Doctor or medical specialist","Males","Top quintile 81-100%",8.1,5.6,11.5
"2012","Too expensive","Dentist","Total","Total",3.7,3.1,4.5
"2012","Too expensive","Dentist","Total","Bottom quintile 1-20%",6.6,4.8,9.0
"2012","Too expensive","Dentist","Total","Second quintile 21-40%",4.2,2.8,6.2
"2012","Too expensive","Dentist","Total","Third quintile 41-60%",3.8,2.5,5.7
"2012","Too expensive","Dentist","Total","Fourth quintile 61-80%",2.7,1.7,4.3
"2012","Too expensive","Dentist","Total","Top quintile 81-100%",1.7,0.9,3.2
"2012","Too expensive","Dentist","Females","Total",4.4,3.5,5.6
"2012","Too expensive","Dentist","Females","Bottom quintile 1-20%",8.2,5.5,11.9
"2012","Too expensive","Dentist","Females","Second quintile 21-40%",3.9,2.3,6.7
"2012","Too expensive","Dentist","Females","Third quintile 41-60%",5.1,3.1,8.4
"2012","Too expensive","Dentist","Females","Fourth quintile 61-80%",3.7,2.1,6.4
"2012","Too expensive","Dentist","Females","Top quintile 81-100%",1.1,0.4,3.5
"2012","Too expensive","Dentist","Males","Total",3.1,2.3,4.1
"2012","Too expensive","Dentist","Males","Bottom quintile 1-20%",4.9,2.8,8.3
"2012","Too expensive","Dentist","Males","Second quintile 21-40%",4.5,2.5,8.0
"2012","Too expensive","Dentist","Males","Third quintile 41-60%",2.5,1.3,5.0
"2012","Too expensive","Dentist","Males","Fourth quintile 61-80%",1.7,0.7,4.1
"2012","Too expensive","Dentist","Males","Top quintile 81-100%",2.2,1.0,4.6
"2012","Too expensive","Doctor or medical specialist","Total","Total",10.0,9.0,11.1
"2012","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",13.6,10.9,16.7
"2012","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",14.4,11.7,17.5
"2012","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",10.7,8.5,13.5
"2012","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",7.6,5.7,9.9
"2012","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",4.6,3.3,6.6
"2012","Too expensive","Doctor or medical specialist","Females","Total",10.1,8.7,11.7
"2012","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",13.2,9.8,17.6
"2012","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",13.1,9.8,17.3
"2012","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",12.2,9.0,16.4
"2012","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",8.0,5.5,11.6
"2012","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",3.6,2.1,6.3
"2012","Too expensive","Doctor or medical specialist","Males","Total",9.9,8.5,11.5
"2012","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",13.9,10.2,18.8
"2012","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",16.0,11.9,21.2
"2012","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",9.3,6.5,13.2
"2012","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",7.2,4.7,10.7
"2012","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",5.5,3.5,8.5
"2012","Other reasons","Dentist","Total","Total",3.6,3.0,4.4
"2012","Other reasons","Dentist","Total","Bottom quintile 1-20%",4.2,2.8,6.3
"2012","Other reasons","Dentist","Total","Second quintile 21-40%",3.8,2.5,5.7
"2012","Other reasons","Dentist","Total","Third quintile 41-60%",4.1,2.8,6.1
"2012","Other reasons","Dentist","Total","Fourth quintile 61-80%",3.8,2.5,5.5
"2012","Other reasons","Dentist","Total","Top quintile 81-100%",2.3,1.4,3.7
"2012","Other reasons","Dentist","Females","Total",3.4,2.6,4.4
"2012","Other reasons","Dentist","Females","Bottom quintile 1-20%",2.8,1.5,5.4
"2012","Other reasons","Dentist","Females","Second quintile 21-40%",4.9,3.1,7.8
"2012","Other reasons","Dentist","Females","Third quintile 41-60%",3.0,1.5,5.7
"2012","Other reasons","Dentist","Females","Fourth quintile 61-80%",3.1,1.7,5.6
"2012","Other reasons","Dentist","Females","Top quintile 81-100%",3.0,1.6,5.5
"2012","Other reasons","Dentist","Males","Total",3.9,3.0,5.0
"2012","Other reasons","Dentist","Males","Bottom quintile 1-20%",5.8,3.4,9.6
"2012","Other reasons","Dentist","Males","Second quintile 21-40%",2.4,1.1,5.2
"2012","Other reasons","Dentist","Males","Third quintile 41-60%",5.2,3.2,8.5
"2012","Other reasons","Dentist","Males","Fourth quintile 61-80%",4.4,2.6,7.3
"2012","Other reasons","Dentist","Males","Top quintile 81-100%",1.7,0.7,3.7
"2012","Other reasons","Doctor or medical specialist","Total","Total",2.6,2.1,3.2
"2012","Other reasons","Doctor or medical specialist","Total","Bottom quintile 1-20%",2.2,1.3,3.9
"2012","Other reasons","Doctor or medical specialist","Total","Second quintile 21-40%",3.1,2.0,4.9
"2012","Other reasons","Doctor or medical specialist","Total","Third quintile 41-60%",2.5,1.5,4.1
"2012","Other reasons","Doctor or medical specialist","Total","Fourth quintile 61-80%",2.1,1.2,3.5
"2012","Other reasons","Doctor or medical specialist","Total","Top quintile 81-100%",2.8,1.8,4.4
"2012","Other reasons","Doctor or medical specialist","Females","Total",2.2,1.6,3.1
"2012","Other reasons","Doctor or medical specialist","Females","Bottom quintile 1-20%",1.9,0.8,4.5
"2012","Other reasons","Doctor or medical specialist","Females","Second quintile 21-40%",2.7,1.4,5.2
"2012","Other reasons","Doctor or medical specialist","Females","Third quintile 41-60%",2.0,0.9,4.1
"2012","Other reasons","Doctor or medical specialist","Females","Fourth quintile 61-80%",1.4,0.6,3.4
"2012","Other reasons","Doctor or medical specialist","Females","Top quintile 81-100%",3.0,1.6,5.8
"2012","Other reasons","Doctor or medical specialist","Males","Total",3.0,2.2,4.0
"2012","Other reasons","Doctor or medical specialist","Males","Bottom quintile 1-20%",2.7,1.3,5.6
"2012","Other reasons","Doctor or medical specialist","Males","Second quintile 21-40%",3.6,1.9,6.9
"2012","Other reasons","Doctor or medical specialist","Males","Third quintile 41-60%",3.1,1.6,5.9
"2012","Other reasons","Doctor or medical specialist","Males","Fourth quintile 61-80%",2.7,1.4,5.2
"2012","Other reasons","Doctor or medical specialist","Males","Top quintile 81-100%",2.6,1.4,5.0
"2013","Total","Dentist","Total","Total",7.2,6.3,8.2
"2013","Total","Dentist","Total","Bottom quintile 1-20%",12.0,9.5,15.0
"2013","Total","Dentist","Total","Second quintile 21-40%",9.1,7.0,11.8
"2013","Total","Dentist","Total","Third quintile 41-60%",5.7,4.1,7.9
"2013","Total","Dentist","Total","Fourth quintile 61-80%",5.9,4.2,8.1
"2013","Total","Dentist","Total","Top quintile 81-100%",4.0,2.7,5.8
"2013","Total","Dentist","Females","Total",7.4,6.2,8.8
"2013","Total","Dentist","Females","Bottom quintile 1-20%",12.5,9.2,16.7
"2013","Total","Dentist","Females","Second quintile 21-40%",9.7,6.8,13.6
