Degree,Year,field,Total,Males,Females
Associate & diploma degree,1998,Law,0,0,0
Associate & diploma degree,1998,Life science,0,0,0
Associate & diploma degree,1998,Physical science,0,0,0
Associate & diploma degree,1998,Mathematics and statistics,0,0,0
Associate & diploma degree,1998,Computing,0,0,0
Associate & diploma degree,1998,"Science, not specified",0,0,0
Associate & diploma degree,1998,Engineering and engineering trades,0,0,0
Associate & diploma degree,1998,Manufacturing and processing,0,0,0
Associate & diploma degree,1998,Architecture and building,0,0,0
Associate & diploma degree,1998,"Certified trades, not specified",0,0,0
Associate & diploma degree,1998,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,1998,Veterinary,0,0,0
Associate & diploma degree,1998,Health,0,0,0
Associate & diploma degree,1998,Social services,0,0,0
Associate & diploma degree,1998,Personal services,0,0,0
Associate & diploma degree,1998,Transport services,0,0,0
Associate & diploma degree,1998,Environmental protection,0,0,0
Associate & diploma degree,1998,Security services,0,0,0
Associate & diploma degree,1998,Unknown,0,0,0
Associate & diploma degree,1999,Total,355,109,246
Associate & diploma degree,1999,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,1999,Literacy and numeracy,0,0,0
Associate & diploma degree,1999,Personal skills,0,0,0
Associate & diploma degree,1999,Teacher training and educational science,0,0,0
Associate & diploma degree,1999,Arts,0,0,0
Associate & diploma degree,1999,Humanities,61,12,49
Associate & diploma degree,1999,Social and behavioural science,6,4,2
Associate & diploma degree,1999,Journalism and information,0,0,0
Associate & diploma degree,1999,Business and administration,129,46,83
Associate & diploma degree,1999,Law,0,0,0
Associate & diploma degree,1999,Life science,0,0,0
Associate & diploma degree,1999,Physical science,0,0,0
Associate & diploma degree,1999,Mathematics and statistics,0,0,0
Associate & diploma degree,1999,Computing,30,26,4
Associate & diploma degree,1999,"Science, not specified",0,0,0
Associate & diploma degree,1999,Engineering and engineering trades,0,0,0
Associate & diploma degree,1999,Manufacturing and processing,0,0,0
Associate & diploma degree,1999,Architecture and building,0,0,0
Associate & diploma degree,1999,"Certified trades, not specified",0,0,0
Associate & diploma degree,1999,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,1999,Veterinary,0,0,0
Associate & diploma degree,1999,Health,0,0,0
Associate & diploma degree,1999,Social services,0,0,0
Associate & diploma degree,1999,Personal services,129,21,108
Associate & diploma degree,1999,Transport services,0,0,0
Associate & diploma degree,1999,Environmental protection,0,0,0
Associate & diploma degree,1999,Security services,0,0,0
Associate & diploma degree,1999,Unknown,0,0,0
Associate & diploma degree,2000,Total,396,111,285
Associate & diploma degree,2000,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2000,Literacy and numeracy,0,0,0
Associate & diploma degree,2000,Personal skills,0,0,0
Associate & diploma degree,2000,Teacher training and educational science,0,0,0
Associate & diploma degree,2000,Arts,0,0,0
Associate & diploma degree,2000,Humanities,79,12,67
Associate & diploma degree,2000,Social and behavioural science,5,5,0
Associate & diploma degree,2000,Journalism and information,0,0,0
Associate & diploma degree,2000,Business and administration,150,44,106
Associate & diploma degree,2000,Law,11,0,11
Associate & diploma degree,2000,Life science,0,0,0
Associate & diploma degree,2000,Physical science,0,0,0
Associate & diploma degree,2000,Mathematics and statistics,0,0,0
Associate & diploma degree,2000,Computing,45,38,7
Associate & diploma degree,2000,"Science, not specified",0,0,0
Associate & diploma degree,2000,Engineering and engineering trades,0,0,0
Associate & diploma degree,2000,Manufacturing and processing,0,0,0
Associate & diploma degree,2000,Architecture and building,0,0,0
Associate & diploma degree,2000,"Certified trades, not specified",0,0,0
Associate & diploma degree,2000,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2000,Veterinary,0,0,0
Associate & diploma degree,2000,Health,0,0,0
Associate & diploma degree,2000,Social services,0,0,0
Associate & diploma degree,2000,Personal services,106,12,94
Associate & diploma degree,2000,Transport services,0,0,0
Associate & diploma degree,2000,Environmental protection,0,0,0
Associate & diploma degree,2000,Security services,0,0,0
Associate & diploma degree,2000,Unknown,0,0,0
Associate & diploma degree,2001,Total,390,113,277
Associate & diploma degree,2001,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2001,Literacy and numeracy,0,0,0
Associate & diploma degree,2001,Personal skills,0,0,0
Associate & diploma degree,2001,Teacher training and educational science,0,0,0
Associate & diploma degree,2001,Arts,0,0,0
Associate & diploma degree,2001,Humanities,73,14,59
Associate & diploma degree,2001,Social and behavioural science,5,4,1
Associate & diploma degree,2001,Journalism and information,0,0,0
Associate & diploma degree,2001,Business and administration,196,65,131
Associate & diploma degree,2001,Law,16,1,15
Associate & diploma degree,2001,Life science,0,0,0
Associate & diploma degree,2001,Physical science,0,0,0
Associate & diploma degree,2001,Mathematics and statistics,0,0,0
Associate & diploma degree,2001,Computing,30,20,10
Associate & diploma degree,2001,"Science, not specified",0,0,0
Associate & diploma degree,2001,Engineering and engineering trades,0,0,0
Associate & diploma degree,2001,Manufacturing and processing,0,0,0
Associate & diploma degree,2001,Architecture and building,0,0,0
Associate & diploma degree,2001,"Certified trades, not specified",0,0,0
Associate & diploma degree,2001,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2001,Veterinary,0,0,0
Associate & diploma degree,2001,Health,0,0,0
Associate & diploma degree,2001,Social services,0,0,0
Associate & diploma degree,2001,Personal services,70,9,61
Associate & diploma degree,2001,Transport services,0,0,0
Associate & diploma degree,2001,Environmental protection,0,0,0
Associate & diploma degree,2001,Security services,0,0,0
Associate & diploma degree,2001,Unknown,0,0,0
Associate & diploma degree,2002,Total,364,107,257
Associate & diploma degree,2002,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2002,Literacy and numeracy,0,0,0
Associate & diploma degree,2002,Personal skills,0,0,0
Associate & diploma degree,2002,Teacher training and educational science,0,0,0
Associate & diploma degree,2002,Arts,0,0,0
Associate & diploma degree,2002,Humanities,77,16,61
Associate & diploma degree,2002,Social and behavioural science,4,3,1
Associate & diploma degree,2002,Journalism and information,0,0,0
Associate & diploma degree,2002,Business and administration,204,70,134
Associate & diploma degree,2002,Law,24,2,22
Associate & diploma degree,2002,Life science,0,0,0
Associate & diploma degree,2002,Physical science,0,0,0
Associate & diploma degree,2002,Mathematics and statistics,0,0,0
Associate & diploma degree,2002,Computing,16,12,4
Associate & diploma degree,2002,"Science, not specified",0,0,0
Associate & diploma degree,2002,Engineering and engineering trades,0,0,0
Associate & diploma degree,2002,Manufacturing and processing,0,0,0
Associate & diploma degree,2002,Architecture and building,0,0,0
Associate & diploma degree,2002,"Certified trades, not specified",0,0,0
Associate & diploma degree,2002,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2002,Veterinary,0,0,0
Associate & diploma degree,2002,Health,0,0,0
Associate & diploma degree,2002,Social services,0,0,0
Associate & diploma degree,2002,Personal services,39,4,35
Associate & diploma degree,2002,Transport services,0,0,0
Associate & diploma degree,2002,Environmental protection,0,0,0
Associate & diploma degree,2002,Security services,0,0,0
Associate & diploma degree,2002,Unknown,0,0,0
Associate & diploma degree,2003,Total,305,87,218
Associate & diploma degree,2003,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2003,Literacy and numeracy,0,0,0
Associate & diploma degree,2003,Personal skills,0,0,0
Associate & diploma degree,2003,Teacher training and educational science,0,0,0
Associate & diploma degree,2003,Arts,0,0,0
Associate & diploma degree,2003,Humanities,74,12,62
Associate & diploma degree,2003,Social and behavioural science,5,3,2
Associate & diploma degree,2003,Journalism and information,0,0,0
Associate & diploma degree,2003,Business and administration,156,60,96
Associate & diploma degree,2003,Law,18,2,16
Associate & diploma degree,2003,Life science,0,0,0
Associate & diploma degree,2003,Physical science,0,0,0
Associate & diploma degree,2003,Mathematics and statistics,0,0,0
Associate & diploma degree,2003,Computing,10,7,3
Associate & diploma degree,2003,"Science, not specified",0,0,0
Associate & diploma degree,2003,Engineering and engineering trades,0,0,0
Associate & diploma degree,2003,Manufacturing and processing,0,0,0
Associate & diploma degree,2003,Architecture and building,0,0,0
Associate & diploma degree,2003,"Certified trades, not specified",0,0,0
Associate & diploma degree,2003,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2003,Veterinary,0,0,0
Associate & diploma degree,2003,Health,0,0,0
Associate & diploma degree,2003,Social services,0,0,0
Associate & diploma degree,2003,Personal services,42,3,39
Associate & diploma degree,2003,Transport services,0,0,0
Associate & diploma degree,2003,Environmental protection,0,0,0
Associate & diploma degree,2003,Security services,0,0,0
Associate & diploma degree,2003,Unknown,0,0,0
Associate & diploma degree,2004,Total,228,64,164
Associate & diploma degree,2004,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2004,Literacy and numeracy,0,0,0
Associate & diploma degree,2004,Personal skills,0,0,0
Associate & diploma degree,2004,Teacher training and educational science,0,0,0
Associate & diploma degree,2004,Arts,2,0,2
Associate & diploma degree,2004,Humanities,61,11,50
Associate & diploma degree,2004,Social and behavioural science,2,1,1
Associate & diploma degree,2004,Journalism and information,0,0,0
Associate & diploma degree,2004,Business and administration,128,45,83
Associate & diploma degree,2004,Law,9,1,8
Associate & diploma degree,2004,Life science,0,0,0
Associate & diploma degree,2004,Physical science,0,0,0
Associate & diploma degree,2004,Mathematics and statistics,0,0,0
Associate & diploma degree,2004,Computing,5,3,2
Associate & diploma degree,2004,"Science, not specified",0,0,0
Associate & diploma degree,2004,Engineering and engineering trades,0,0,0
Associate & diploma degree,2004,Manufacturing and processing,0,0,0
Associate & diploma degree,2004,Architecture and building,0,0,0
Associate & diploma degree,2004,"Certified trades, not specified",0,0,0
Associate & diploma degree,2004,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2004,Veterinary,0,0,0
Associate & diploma degree,2004,Health,0,0,0
Associate & diploma degree,2004,Social services,0,0,0
Associate & diploma degree,2004,Personal services,21,3,18
Associate & diploma degree,2004,Transport services,0,0,0
Associate & diploma degree,2004,Environmental protection,0,0,0
Associate & diploma degree,2004,Security services,0,0,0
Associate & diploma degree,2004,Unknown,0,0,0
Associate & diploma degree,2005,Total,243,89,154
Associate & diploma degree,2005,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2005,Literacy and numeracy,0,0,0
Associate & diploma degree,2005,Personal skills,0,0,0
Associate & diploma degree,2005,Teacher training and educational science,0,0,0
Associate & diploma degree,2005,Arts,5,1,4
Associate & diploma degree,2005,Humanities,34,7,27
Associate & diploma degree,2005,Social and behavioural science,0,0,0
Associate & diploma degree,2005,Journalism and information,0,0,0
Associate & diploma degree,2005,Business and administration,186,78,108
Associate & diploma degree,2005,Law,4,0,4
Associate & diploma degree,2005,Life science,0,0,0
Associate & diploma degree,2005,Physical science,0,0,0
Associate & diploma degree,2005,Mathematics and statistics,0,0,0
Associate & diploma degree,2005,Computing,2,2,0
Associate & diploma degree,2005,"Science, not specified",0,0,0
Associate & diploma degree,2005,Engineering and engineering trades,0,0,0
Associate & diploma degree,2005,Manufacturing and processing,0,0,0
Associate & diploma degree,2005,Architecture and building,0,0,0
Associate & diploma degree,2005,"Certified trades, not specified",0,0,0
Associate & diploma degree,2005,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2005,Veterinary,0,0,0
Associate & diploma degree,2005,Health,0,0,0
Associate & diploma degree,2005,Social services,0,0,0
Associate & diploma degree,2005,Personal services,12,1,11
Associate & diploma degree,2005,Transport services,0,0,0
Associate & diploma degree,2005,Environmental protection,0,0,0
Associate & diploma degree,2005,Security services,0,0,0
Associate & diploma degree,2005,Unknown,0,0,0
Associate & diploma degree,2006,Total,210,71,139
Associate & diploma degree,2006,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2006,Literacy and numeracy,0,0,0
Associate & diploma degree,2006,Personal skills,0,0,0
Associate & diploma degree,2006,Teacher training and educational science,0,0,0
Associate & diploma degree,2006,Arts,3,0,3
Associate & diploma degree,2006,Humanities,36,9,27
Associate & diploma degree,2006,Social and behavioural science,0,0,0
Associate & diploma degree,2006,Journalism and information,0,0,0
Associate & diploma degree,2006,Business and administration,159,58,101
Associate & diploma degree,2006,Law,2,0,2
Associate & diploma degree,2006,Life science,0,0,0
Associate & diploma degree,2006,Physical science,0,0,0
Associate & diploma degree,2006,Mathematics and statistics,0,0,0
Associate & diploma degree,2006,Computing,2,2,0
Associate & diploma degree,2006,"Science, not specified",0,0,0
Associate & diploma degree,2006,Engineering and engineering trades,0,0,0
Associate & diploma degree,2006,Manufacturing and processing,0,0,0
Associate & diploma degree,2006,Architecture and building,0,0,0
Associate & diploma degree,2006,"Certified trades, not specified",0,0,0
Associate & diploma degree,2006,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2006,Veterinary,0,0,0
Associate & diploma degree,2006,Health,0,0,0
Associate & diploma degree,2006,Social services,0,0,0
Associate & diploma degree,2006,Personal services,8,2,6
Associate & diploma degree,2006,Transport services,0,0,0
Associate & diploma degree,2006,Environmental protection,0,0,0
Associate & diploma degree,2006,Security services,0,0,0
Associate & diploma degree,2006,Unknown,0,0,0
Associate & diploma degree,2007,Total,153,41,112
Associate & diploma degree,2007,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2007,Literacy and numeracy,0,0,0
Associate & diploma degree,2007,Personal skills,0,0,0
Associate & diploma degree,2007,Teacher training and educational science,0,0,0
Associate & diploma degree,2007,Arts,5,2,3
Associate & diploma degree,2007,Humanities,27,4,23
Associate & diploma degree,2007,Social and behavioural science,0,0,0
Associate & diploma degree,2007,Journalism and information,0,0,0
Associate & diploma degree,2007,Business and administration,111,34,77
Associate & diploma degree,2007,Law,0,0,0
Associate & diploma degree,2007,Life science,0,0,0
Associate & diploma degree,2007,Physical science,0,0,0
Associate & diploma degree,2007,Mathematics and statistics,0,0,0
Associate & diploma degree,2007,Computing,0,0,0
Associate & diploma degree,2007,"Science, not specified",0,0,0
Associate & diploma degree,2007,Engineering and engineering trades,0,0,0
Associate & diploma degree,2007,Manufacturing and processing,0,0,0
Associate & diploma degree,2007,Architecture and building,0,0,0
Associate & diploma degree,2007,"Certified trades, not specified",0,0,0
Associate & diploma degree,2007,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2007,Veterinary,0,0,0
Associate & diploma degree,2007,Health,0,0,0
Associate & diploma degree,2007,Social services,0,0,0
Associate & diploma degree,2007,Personal services,10,1,9
Associate & diploma degree,2007,Transport services,0,0,0
Associate & diploma degree,2007,Environmental protection,0,0,0
Associate & diploma degree,2007,Security services,0,0,0
Associate & diploma degree,2007,Unknown,0,0,0
Associate & diploma degree,2008,Total,147,41,106
Associate & diploma degree,2008,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2008,Literacy and numeracy,0,0,0
Associate & diploma degree,2008,Personal skills,0,0,0
Associate & diploma degree,2008,Teacher training and educational science,0,0,0
Associate & diploma degree,2008,Arts,2,0,2
Associate & diploma degree,2008,Humanities,48,10,38
Associate & diploma degree,2008,Social and behavioural science,0,0,0
Associate & diploma degree,2008,Journalism and information,0,0,0
Associate & diploma degree,2008,Business and administration,91,29,62
Associate & diploma degree,2008,Law,0,0,0
Associate & diploma degree,2008,Life science,0,0,0
Associate & diploma degree,2008,Physical science,0,0,0
Associate & diploma degree,2008,Mathematics and statistics,0,0,0
Associate & diploma degree,2008,Computing,1,1,0
Associate & diploma degree,2008,"Science, not specified",0,0,0
Associate & diploma degree,2008,Engineering and engineering trades,0,0,0
Associate & diploma degree,2008,Manufacturing and processing,0,0,0
Associate & diploma degree,2008,Architecture and building,0,0,0
Associate & diploma degree,2008,"Certified trades, not specified",0,0,0
Associate & diploma degree,2008,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2008,Veterinary,0,0,0
Associate & diploma degree,2008,Health,0,0,0
Associate & diploma degree,2008,Social services,0,0,0
Associate & diploma degree,2008,Personal services,5,1,4
Associate & diploma degree,2008,Transport services,0,0,0
Associate & diploma degree,2008,Environmental protection,0,0,0
Associate & diploma degree,2008,Security services,0,0,0
Associate & diploma degree,2008,Unknown,0,0,0
Associate & diploma degree,2009,Total,156,57,99
Associate & diploma degree,2009,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2009,Literacy and numeracy,0,0,0
Associate & diploma degree,2009,Personal skills,0,0,0
Associate & diploma degree,2009,Teacher training and educational science,0,0,0
Associate & diploma degree,2009,Arts,2,0,2
Associate & diploma degree,2009,Humanities,51,17,34
Associate & diploma degree,2009,Social and behavioural science,0,0,0
Associate & diploma degree,2009,Journalism and information,0,0,0
Associate & diploma degree,2009,Business and administration,56,16,40
Associate & diploma degree,2009,Law,2,1,1
Associate & diploma degree,2009,Life science,0,0,0
Associate & diploma degree,2009,Physical science,0,0,0
Associate & diploma degree,2009,Mathematics and statistics,0,0,0
Associate & diploma degree,2009,Computing,0,0,0
Associate & diploma degree,2009,"Science, not specified",0,0,0
Associate & diploma degree,2009,Engineering and engineering trades,0,0,0
Associate & diploma degree,2009,Manufacturing and processing,0,0,0
Associate & diploma degree,2009,Architecture and building,0,0,0
Associate & diploma degree,2009,"Certified trades, not specified",0,0,0
Associate & diploma degree,2009,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2009,Veterinary,0,0,0
Associate & diploma degree,2009,Health,0,0,0
Associate & diploma degree,2009,Social services,0,0,0
Associate & diploma degree,2009,Personal services,45,23,22
Associate & diploma degree,2009,Transport services,0,0,0
Associate & diploma degree,2009,Environmental protection,0,0,0
Associate & diploma degree,2009,Security services,0,0,0
Associate & diploma degree,2009,Unknown,0,0,0
Associate & diploma degree,2010,Total,143,60,83
Associate & diploma degree,2010,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2010,Literacy and numeracy,0,0,0
Associate & diploma degree,2010,Personal skills,0,0,0
Associate & diploma degree,2010,Teacher training and educational science,0,0,0
Associate & diploma degree,2010,Arts,1,1,0
Associate & diploma degree,2010,Humanities,60,28,32
Associate & diploma degree,2010,Social and behavioural science,6,2,4
Associate & diploma degree,2010,Journalism and information,0,0,0
Associate & diploma degree,2010,Business and administration,40,13,27
Associate & diploma degree,2010,Law,0,0,0
Associate & diploma degree,2010,Life science,0,0,0
Associate & diploma degree,2010,Physical science,0,0,0
Associate & diploma degree,2010,Mathematics and statistics,0,0,0
Associate & diploma degree,2010,Computing,0,0,0
Associate & diploma degree,2010,"Science, not specified",0,0,0
Associate & diploma degree,2010,Engineering and engineering trades,0,0,0
Associate & diploma degree,2010,Manufacturing and processing,0,0,0
Associate & diploma degree,2010,Architecture and building,0,0,0
Associate & diploma degree,2010,"Certified trades, not specified",0,0,0
Associate & diploma degree,2010,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2010,Veterinary,0,0,0
Associate & diploma degree,2010,Health,0,0,0
Associate & diploma degree,2010,Social services,0,0,0
Associate & diploma degree,2010,Personal services,36,16,20
Associate & diploma degree,2010,Transport services,0,0,0
Associate & diploma degree,2010,Environmental protection,0,0,0
Associate & diploma degree,2010,Security services,0,0,0
Associate & diploma degree,2010,Unknown,0,0,0
Associate & diploma degree,2011,Total,133,59,74
Associate & diploma degree,2011,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2011,Literacy and numeracy,0,0,0
Associate & diploma degree,2011,Personal skills,0,0,0
Associate & diploma degree,2011,Teacher training and educational science,0,0,0
Associate & diploma degree,2011,Arts,1,0,1
Associate & diploma degree,2011,Humanities,73,31,42
Associate & diploma degree,2011,Social and behavioural science,7,2,5
Associate & diploma degree,2011,Journalism and information,0,0,0
Associate & diploma degree,2011,Business and administration,24,11,13
Associate & diploma degree,2011,Law,0,0,0
Associate & diploma degree,2011,Life science,0,0,0
Associate & diploma degree,2011,Physical science,0,0,0
Associate & diploma degree,2011,Mathematics and statistics,0,0,0
Associate & diploma degree,2011,Computing,0,0,0
Associate & diploma degree,2011,"Science, not specified",0,0,0
Associate & diploma degree,2011,Engineering and engineering trades,0,0,0
Associate & diploma degree,2011,Manufacturing and processing,0,0,0
Associate & diploma degree,2011,Architecture and building,0,0,0
Associate & diploma degree,2011,"Certified trades, not specified",0,0,0
Associate & diploma degree,2011,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2011,Veterinary,0,0,0
Associate & diploma degree,2011,Health,0,0,0
Associate & diploma degree,2011,Social services,0,0,0
Associate & diploma degree,2011,Personal services,28,15,13
Associate & diploma degree,2011,Transport services,0,0,0
Associate & diploma degree,2011,Environmental protection,0,0,0
Associate & diploma degree,2011,Security services,0,0,0
Associate & diploma degree,2011,Unknown,0,0,0
Associate & diploma degree,2012,Total,157,60,97
Associate & diploma degree,2012,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2012,Literacy and numeracy,0,0,0
Associate & diploma degree,2012,Personal skills,0,0,0
Associate & diploma degree,2012,Teacher training and educational science,0,0,0
Associate & diploma degree,2012,Arts,1,1,0
Associate & diploma degree,2012,Humanities,94,34,60
Associate & diploma degree,2012,Social and behavioural science,0,0,0
Associate & diploma degree,2012,Journalism and information,0,0,0
Associate & diploma degree,2012,Business and administration,19,7,12
Associate & diploma degree,2012,Law,0,0,0
Associate & diploma degree,2012,Life science,0,0,0
Associate & diploma degree,2012,Physical science,0,0,0
Associate & diploma degree,2012,Mathematics and statistics,0,0,0
Associate & diploma degree,2012,Computing,0,0,0
Associate & diploma degree,2012,"Science, not specified",0,0,0
Associate & diploma degree,2012,Engineering and engineering trades,0,0,0
Associate & diploma degree,2012,Manufacturing and processing,0,0,0
Associate & diploma degree,2012,Architecture and building,0,0,0
Associate & diploma degree,2012,"Certified trades, not specified",0,0,0
Associate & diploma degree,2012,"Agriculture, forestry and fishery",2,2,0
Associate & diploma degree,2012,Veterinary,0,0,0
Associate & diploma degree,2012,Health,0,0,0
Associate & diploma degree,2012,Social services,0,0,0
Associate & diploma degree,2012,Personal services,41,16,25
Associate & diploma degree,2012,Transport services,0,0,0
Associate & diploma degree,2012,Environmental protection,0,0,0
Associate & diploma degree,2012,Security services,0,0,0
Associate & diploma degree,2012,Unknown,0,0,0
Associate & diploma degree,2013,Total,227,80,147
Associate & diploma degree,2013,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2013,Literacy and numeracy,0,0,0
Associate & diploma degree,2013,Personal skills,0,0,0
Associate & diploma degree,2013,Teacher training and educational science,0,0,0
Associate & diploma degree,2013,Arts,0,0,0
Associate & diploma degree,2013,Humanities,128,42,86
Associate & diploma degree,2013,Social and behavioural science,0,0,0
Associate & diploma degree,2013,Journalism and information,0,0,0
Associate & diploma degree,2013,Business and administration,14,3,11
Associate & diploma degree,2013,Law,0,0,0
Associate & diploma degree,2013,Life science,0,0,0
Associate & diploma degree,2013,Physical science,0,0,0
Associate & diploma degree,2013,Mathematics and statistics,0,0,0
Associate & diploma degree,2013,Computing,0,0,0
Associate & diploma degree,2013,"Science, not specified",0,0,0
Associate & diploma degree,2013,Engineering and engineering trades,0,0,0
Associate & diploma degree,2013,Manufacturing and processing,0,0,0
Associate & diploma degree,2013,Architecture and building,0,0,0
Associate & diploma degree,2013,"Certified trades, not specified",0,0,0
Associate & diploma degree,2013,"Agriculture, forestry and fishery",4,2,2
Associate & diploma degree,2013,Veterinary,0,0,0
Associate & diploma degree,2013,Health,0,0,0
Associate & diploma degree,2013,Social services,0,0,0
Associate & diploma degree,2013,Personal services,81,33,48
Associate & diploma degree,2013,Transport services,0,0,0
Associate & diploma degree,2013,Environmental protection,0,0,0
Associate & diploma degree,2013,Security services,0,0,0
Associate & diploma degree,2013,Unknown,0,0,0
Associate & diploma degree,2014,Total,176,60,116
Associate & diploma degree,2014,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2014,Literacy and numeracy,0,0,0
Associate & diploma degree,2014,Personal skills,0,0,0
Associate & diploma degree,2014,Teacher training and educational science,0,0,0
Associate & diploma degree,2014,Arts,0,0,0
Associate & diploma degree,2014,Humanities,133,43,90
Associate & diploma degree,2014,Social and behavioural science,0,0,0
Associate & diploma degree,2014,Journalism and information,0,0,0
Associate & diploma degree,2014,Business and administration,6,0,6
Associate & diploma degree,2014,Law,0,0,0
Associate & diploma degree,2014,Life science,0,0,0
Associate & diploma degree,2014,Physical science,0,0,0
Associate & diploma degree,2014,Mathematics and statistics,0,0,0
Associate & diploma degree,2014,Computing,0,0,0
Associate & diploma degree,2014,"Science, not specified",0,0,0
Associate & diploma degree,2014,Engineering and engineering trades,0,0,0
Associate & diploma degree,2014,Manufacturing and processing,0,0,0
Associate & diploma degree,2014,Architecture and building,0,0,0
Associate & diploma degree,2014,"Certified trades, not specified",0,0,0
Associate & diploma degree,2014,"Agriculture, forestry and fishery",2,1,1
Associate & diploma degree,2014,Veterinary,0,0,0
Associate & diploma degree,2014,Health,0,0,0
Associate & diploma degree,2014,Social services,0,0,0
Associate & diploma degree,2014,Personal services,35,16,19
Associate & diploma degree,2014,Transport services,0,0,0
Associate & diploma degree,2014,Environmental protection,0,0,0
Associate & diploma degree,2014,Security services,0,0,0
Associate & diploma degree,2014,Unknown,0,0,0
Associate & diploma degree,2015,Total,196,61,135
Associate & diploma degree,2015,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2015,Literacy and numeracy,0,0,0
Associate & diploma degree,2015,Personal skills,0,0,0
Associate & diploma degree,2015,Teacher training and educational science,0,0,0
Associate & diploma degree,2015,Arts,0,0,0
Associate & diploma degree,2015,Humanities,147,43,104
Associate & diploma degree,2015,Social and behavioural science,0,0,0
Associate & diploma degree,2015,Journalism and information,0,0,0
Associate & diploma degree,2015,Business and administration,3,0,3
Associate & diploma degree,2015,Law,0,0,0
Associate & diploma degree,2015,Life science,0,0,0
Associate & diploma degree,2015,Physical science,0,0,0
Associate & diploma degree,2015,Mathematics and statistics,0,0,0
Associate & diploma degree,2015,Computing,0,0,0
Associate & diploma degree,2015,"Science, not specified",0,0,0
Associate & diploma degree,2015,Engineering and engineering trades,0,0,0
Associate & diploma degree,2015,Manufacturing and processing,0,0,0
Associate & diploma degree,2015,Architecture and building,0,0,0
Associate & diploma degree,2015,"Certified trades, not specified",0,0,0
Associate & diploma degree,2015,"Agriculture, forestry and fishery",1,0,1
Associate & diploma degree,2015,Veterinary,0,0,0
Associate & diploma degree,2015,Health,0,0,0
Associate & diploma degree,2015,Social services,0,0,0
Associate & diploma degree,2015,Personal services,45,18,27
Associate & diploma degree,2015,Transport services,0,0,0
Associate & diploma degree,2015,Environmental protection,0,0,0
Associate & diploma degree,2015,Security services,0,0,0
Associate & diploma degree,2015,Unknown,0,0,0
Associate & diploma degree,2016,Total,232,94,138
Associate & diploma degree,2016,"Basic/broad, general programmes",0,0,0
Associate & diploma degree,2016,Literacy and numeracy,0,0,0
Associate & diploma degree,2016,Personal skills,0,0,0
Associate & diploma degree,2016,Teacher training and educational science,0,0,0
Associate & diploma degree,2016,Arts,1,0,1
Associate & diploma degree,2016,Humanities,182,72,110
Associate & diploma degree,2016,Social and behavioural science,0,0,0
Associate & diploma degree,2016,Journalism and information,0,0,0
Associate & diploma degree,2016,Business and administration,10,7,3
Associate & diploma degree,2016,Law,0,0,0
Associate & diploma degree,2016,Life science,0,0,0
Associate & diploma degree,2016,Physical science,0,0,0
Associate & diploma degree,2016,Mathematics and statistics,0,0,0
Associate & diploma degree,2016,Computing,0,0,0
Associate & diploma degree,2016,"Science, not specified",0,0,0
Associate & diploma degree,2016,Engineering and engineering trades,0,0,0
Associate & diploma degree,2016,Manufacturing and processing,0,0,0
Associate & diploma degree,2016,Architecture and building,0,0,0
Associate & diploma degree,2016,"Certified trades, not specified",0,0,0
Associate & diploma degree,2016,"Agriculture, forestry and fishery",0,0,0
Associate & diploma degree,2016,Veterinary,0,0,0
Associate & diploma degree,2016,Health,0,0,0
Associate & diploma degree,2016,Social services,0,0,0
Associate & diploma degree,2016,Personal services,39,15,24
Associate & diploma degree,2016,Transport services,0,0,0
Associate & diploma degree,2016,Environmental protection,0,0,0
Associate & diploma degree,2016,Security services,0,0,0
