Sex,age_region,Education,Year,Percent
Males,Capital region 16-74 years,Basic education,2007,0.292
Males,Capital region 16-74 years,Upper secondary education,2007,0.428
Males,Capital region 16-74 years,Tertiary education,2007,0.277
Males,Capital region 16-74 years,Education unknown,2007,0.003
Males,Other regions 16-74 years,Basic education,2007,0.469
Males,Other regions 16-74 years,Upper secondary education,2007,0.403
Males,Other regions 16-74 years,Tertiary education,2007,0.122
Males,Other regions 16-74 years,Education unknown,2007,0.006
Males,Capital region 25-64 years,Basic education,2007,0.206
Males,Capital region 25-64 years,Upper secondary education,2007,0.444
Males,Capital region 25-64 years,Tertiary education,2007,0.348
Males,Capital region 25-64 years,Education unknown,2007,0.002
Males,Other regions 25-64 years,Basic education,2007,0.394
Males,Other regions 25-64 years,Upper secondary education,2007,0.451
Males,Other regions 25-64 years,Tertiary education,2007,0.151
Males,Other regions 25-64 years,Education unknown,2007,0.005
Females,25 to 64 years,Basic education,2007,0.348
Females,25 to 64 years,Upper secondary education,2007,0.312
Females,25 to 64 years,Tertiary education,2007,0.336
Females,25 to 64 years,Education unknown,2007,0.004
Females,20 to 24 years,Basic education,2007,0.369
Females,20 to 24 years,Upper secondary education,2007,0.597
Females,20 to 24 years,Tertiary education,2007,0.033
Females,20 to 24 years,Education unknown,2007,0.0
Females,25 to 29 years,Basic education,2007,0.28
Females,25 to 29 years,Upper secondary education,2007,0.357
Females,25 to 29 years,Tertiary education,2007,0.361
Females,25 to 29 years,Education unknown,2007,0.002
Females,30 to 49 years,Basic education,2007,0.302
Females,30 to 49 years,Upper secondary education,2007,0.308
Females,30 to 49 years,Tertiary education,2007,0.387
Females,30 to 49 years,Education unknown,2007,0.003
Females,50 to 64 years,Basic education,2007,0.455
Females,50 to 64 years,Upper secondary education,2007,0.302
Females,50 to 64 years,Tertiary education,2007,0.238
Females,50 to 64 years,Education unknown,2007,0.005
Females,65 to 74 years,Basic education,2007,0.652
Females,65 to 74 years,Upper secondary education,2007,0.22
Females,65 to 74 years,Tertiary education,2007,0.118
Females,65 to 74 years,Education unknown,2007,0.01
Females,Capital region 16-74 years,Basic education,2007,0.357
Females,Capital region 16-74 years,Upper secondary education,2007,0.331
Females,Capital region 16-74 years,Tertiary education,2007,0.309
Females,Capital region 16-74 years,Education unknown,2007,0.003
Females,Other regions 16-74 years,Basic education,2007,0.561
Females,Other regions 16-74 years,Upper secondary education,2007,0.267
Females,Other regions 16-74 years,Tertiary education,2007,0.167
Females,Other regions 16-74 years,Education unknown,2007,0.005
Females,Capital region 25-64 years,Basic education,2007,0.261
Females,Capital region 25-64 years,Upper secondary education,2007,0.331
Females,Capital region 25-64 years,Tertiary education,2007,0.405
Females,Capital region 25-64 years,Education unknown,2007,0.003
Females,Other regions 25-64 years,Basic education,2007,0.502
Females,Other regions 25-64 years,Upper secondary education,2007,0.279
Females,Other regions 25-64 years,Tertiary education,2007,0.215
Females,Other regions 25-64 years,Education unknown,2007,0.004
Total,25 to 64 years,Basic education,2008,0.309
Total,25 to 64 years,Upper secondary education,2008,0.374
Total,25 to 64 years,Tertiary education,2008,0.315
Total,25 to 64 years,Education unknown,2008,0.001
Total,20 to 24 years,Basic education,2008,0.471
Total,20 to 24 years,Upper secondary education,2008,0.495
Total,20 to 24 years,Tertiary education,2008,0.033
Total,20 to 24 years,Education unknown,2008,0.0
Total,25 to 29 years,Basic education,2008,0.296
Total,25 to 29 years,Upper secondary education,2008,0.417
Total,25 to 29 years,Tertiary education,2008,0.287
Total,25 to 29 years,Education unknown,2008,0.0
Total,30 to 49 years,Basic education,2008,0.281
Total,30 to 49 years,Upper secondary education,2008,0.355
Total,30 to 49 years,Tertiary education,2008,0.363
Total,30 to 49 years,Education unknown,2008,0.001
Total,50 to 64 years,Basic education,2008,0.363
Total,50 to 64 years,Upper secondary education,2008,0.386
Total,50 to 64 years,Tertiary education,2008,0.249
Total,50 to 64 years,Education unknown,2008,0.002
Total,65 to 74 years,Basic education,2008,0.478
Total,65 to 74 years,Upper secondary education,2008,0.368
Total,65 to 74 years,Tertiary education,2008,0.143
Total,65 to 74 years,Education unknown,2008,0.011
Total,Capital region 16-74 years,Basic education,2008,0.331
Total,Capital region 16-74 years,Upper secondary education,2008,0.365
Total,Capital region 16-74 years,Tertiary education,2008,0.302
Total,Capital region 16-74 years,Education unknown,2008,0.002
Total,Other regions 16-74 years,Basic education,2008,0.512
Total,Other regions 16-74 years,Upper secondary education,2008,0.34
Total,Other regions 16-74 years,Tertiary education,2008,0.146
Total,Other regions 16-74 years,Education unknown,2008,0.002
Total,Capital region 25-64 years,Basic education,2008,0.241
Total,Capital region 25-64 years,Upper secondary education,2008,0.372
Total,Capital region 25-64 years,Tertiary education,2008,0.385
Total,Capital region 25-64 years,Education unknown,2008,0.001
Total,Other regions 25-64 years,Basic education,2008,0.434
Total,Other regions 25-64 years,Upper secondary education,2008,0.378
Total,Other regions 25-64 years,Tertiary education,2008,0.187
Total,Other regions 25-64 years,Education unknown,2008,0.002
Males,25 to 64 years,Basic education,2008,0.278
Males,25 to 64 years,Upper secondary education,2008,0.434
Males,25 to 64 years,Tertiary education,2008,0.286
Males,25 to 64 years,Education unknown,2008,0.002
Males,20 to 24 years,Basic education,2008,0.52
Males,20 to 24 years,Upper secondary education,2008,0.465
Males,20 to 24 years,Tertiary education,2008,0.015
Males,20 to 24 years,Education unknown,2008,0.0
Males,25 to 29 years,Basic education,2008,0.325
Males,25 to 29 years,Upper secondary education,2008,0.458
Males,25 to 29 years,Tertiary education,2008,0.217
Males,25 to 29 years,Education unknown,2008,0.0
Males,30 to 49 years,Basic education,2008,0.28
Males,30 to 49 years,Upper secondary education,2008,0.404
Males,30 to 49 years,Tertiary education,2008,0.315
Males,30 to 49 years,Education unknown,2008,0.002
Males,50 to 64 years,Basic education,2008,0.254
Males,50 to 64 years,Upper secondary education,2008,0.474
Males,50 to 64 years,Tertiary education,2008,0.27
Males,50 to 64 years,Education unknown,2008,0.002
Males,65 to 74 years,Basic education,2008,0.303
Males,65 to 74 years,Upper secondary education,2008,0.505
Males,65 to 74 years,Tertiary education,2008,0.177
Males,65 to 74 years,Education unknown,2008,0.014
Males,Capital region 16-74 years,Basic education,2008,0.308
Males,Capital region 16-74 years,Upper secondary education,2008,0.404
Males,Capital region 16-74 years,Tertiary education,2008,0.286
Males,Capital region 16-74 years,Education unknown,2008,0.003
Males,Other regions 16-74 years,Basic education,2008,0.466
Males,Other regions 16-74 years,Upper secondary education,2008,0.419
Males,Other regions 16-74 years,Tertiary education,2008,0.113
Males,Other regions 16-74 years,Education unknown,2008,0.001
Males,Capital region 25-64 years,Basic education,2008,0.225
Males,Capital region 25-64 years,Upper secondary education,2008,0.415
Males,Capital region 25-64 years,Tertiary education,2008,0.359
Males,Capital region 25-64 years,Education unknown,2008,0.002
Males,Other regions 25-64 years,Basic education,2008,0.382
Males,Other regions 25-64 years,Upper secondary education,2008,0.471
Males,Other regions 25-64 years,Tertiary education,2008,0.146
Males,Other regions 25-64 years,Education unknown,2008,0.001
Females,25 to 64 years,Basic education,2008,0.343
Females,25 to 64 years,Upper secondary education,2008,0.309
Females,25 to 64 years,Tertiary education,2008,0.347
Females,25 to 64 years,Education unknown,2008,0.001
Females,20 to 24 years,Basic education,2008,0.418
Females,20 to 24 years,Upper secondary education,2008,0.528
Females,20 to 24 years,Tertiary education,2008,0.054
Females,20 to 24 years,Education unknown,2008,0.0
Females,25 to 29 years,Basic education,2008,0.264
Females,25 to 29 years,Upper secondary education,2008,0.371
Females,25 to 29 years,Tertiary education,2008,0.365
Females,25 to 29 years,Education unknown,2008,0.0
Females,30 to 49 years,Basic education,2008,0.282
Females,30 to 49 years,Upper secondary education,2008,0.303
Females,30 to 49 years,Tertiary education,2008,0.414
Females,30 to 49 years,Education unknown,2008,0.001
Females,50 to 64 years,Basic education,2008,0.478
Females,50 to 64 years,Upper secondary education,2008,0.292
Females,50 to 64 years,Tertiary education,2008,0.227
Females,50 to 64 years,Education unknown,2008,0.002
Females,65 to 74 years,Basic education,2008,0.643
Females,65 to 74 years,Upper secondary education,2008,0.238
Females,65 to 74 years,Tertiary education,2008,0.11
Females,65 to 74 years,Education unknown,2008,0.008
Females,Capital region 16-74 years,Basic education,2008,0.357
Females,Capital region 16-74 years,Upper secondary education,2008,0.322
Females,Capital region 16-74 years,Tertiary education,2008,0.32
Females,Capital region 16-74 years,Education unknown,2008,0.001
Females,Other regions 16-74 years,Basic education,2008,0.558
Females,Other regions 16-74 years,Upper secondary education,2008,0.26
Females,Other regions 16-74 years,Tertiary education,2008,0.178
Females,Other regions 16-74 years,Education unknown,2008,0.003
Females,Capital region 25-64 years,Basic education,2008,0.26
Females,Capital region 25-64 years,Upper secondary education,2008,0.324
Females,Capital region 25-64 years,Tertiary education,2008,0.416
Females,Capital region 25-64 years,Education unknown,2008,0.0
Females,Other regions 25-64 years,Basic education,2008,0.486
Females,Other regions 25-64 years,Upper secondary education,2008,0.284
Females,Other regions 25-64 years,Tertiary education,2008,0.228
Females,Other regions 25-64 years,Education unknown,2008,0.003
Total,25 to 64 years,Basic education,2009,0.3
Total,25 to 64 years,Upper secondary education,2009,0.37
Total,25 to 64 years,Tertiary education,2009,0.329
Total,25 to 64 years,Education unknown,2009,0.001
Total,20 to 24 years,Basic education,2009,0.459
Total,20 to 24 years,Upper secondary education,2009,0.513
Total,20 to 24 years,Tertiary education,2009,0.028
Total,20 to 24 years,Education unknown,2009,0.0
Total,25 to 29 years,Basic education,2009,0.296
Total,25 to 29 years,Upper secondary education,2009,0.402
Total,25 to 29 years,Tertiary education,2009,0.301
Total,25 to 29 years,Education unknown,2009,0.001
Total,30 to 49 years,Basic education,2009,0.27
Total,30 to 49 years,Upper secondary education,2009,0.353
Total,30 to 49 years,Tertiary education,2009,0.376
Total,30 to 49 years,Education unknown,2009,0.001
Total,50 to 64 years,Basic education,2009,0.349
Total,50 to 64 years,Upper secondary education,2009,0.385
Total,50 to 64 years,Tertiary education,2009,0.265
Total,50 to 64 years,Education unknown,2009,0.001
Total,65 to 74 years,Basic education,2009,0.488
Total,65 to 74 years,Upper secondary education,2009,0.377
Total,65 to 74 years,Tertiary education,2009,0.132
Total,65 to 74 years,Education unknown,2009,0.003
Total,Capital region 16-74 years,Basic education,2009,0.328
Total,Capital region 16-74 years,Upper secondary education,2009,0.365
Total,Capital region 16-74 years,Tertiary education,2009,0.306
Total,Capital region 16-74 years,Education unknown,2009,0.001
Total,Other regions 16-74 years,Basic education,2009,0.498
Total,Other regions 16-74 years,Upper secondary education,2009,0.341
Total,Other regions 16-74 years,Tertiary education,2009,0.16
Total,Other regions 16-74 years,Education unknown,2009,0.001
Total,Capital region 25-64 years,Basic education,2009,0.237
Total,Capital region 25-64 years,Upper secondary education,2009,0.369
Total,Capital region 25-64 years,Tertiary education,2009,0.393
Total,Capital region 25-64 years,Education unknown,2009,0.001
Total,Other regions 25-64 years,Basic education,2009,0.416
Total,Other regions 25-64 years,Upper secondary education,2009,0.373
Total,Other regions 25-64 years,Tertiary education,2009,0.211
Total,Other regions 25-64 years,Education unknown,2009,0.001
Males,25 to 64 years,Basic education,2009,0.278
Males,25 to 64 years,Upper secondary education,2009,0.428
Males,25 to 64 years,Tertiary education,2009,0.292
Males,25 to 64 years,Education unknown,2009,0.002
Males,20 to 24 years,Basic education,2009,0.5
Males,20 to 24 years,Upper secondary education,2009,0.471
Males,20 to 24 years,Tertiary education,2009,0.028
Males,20 to 24 years,Education unknown,2009,0.0
Males,25 to 29 years,Basic education,2009,0.353
Males,25 to 29 years,Upper secondary education,2009,0.421
Males,25 to 29 years,Tertiary education,2009,0.224
Males,25 to 29 years,Education unknown,2009,0.002
Males,30 to 49 years,Basic education,2009,0.277
Males,30 to 49 years,Upper secondary education,2009,0.402
Males,30 to 49 years,Tertiary education,2009,0.319
Males,30 to 49 years,Education unknown,2009,0.002
Males,50 to 64 years,Basic education,2009,0.248
Males,50 to 64 years,Upper secondary education,2009,0.472
Males,50 to 64 years,Tertiary education,2009,0.279
Males,50 to 64 years,Education unknown,2009,0.001
Males,65 to 74 years,Basic education,2009,0.32
Males,65 to 74 years,Upper secondary education,2009,0.526
Males,65 to 74 years,Tertiary education,2009,0.153
Males,65 to 74 years,Education unknown,2009,0.002
Males,Capital region 16-74 years,Basic education,2009,0.307
Males,Capital region 16-74 years,Upper secondary education,2009,0.407
Males,Capital region 16-74 years,Tertiary education,2009,0.285
Males,Capital region 16-74 years,Education unknown,2009,0.001
Males,Other regions 16-74 years,Basic education,2009,0.464
Males,Other regions 16-74 years,Upper secondary education,2009,0.403
Males,Other regions 16-74 years,Tertiary education,2009,0.132
Males,Other regions 16-74 years,Education unknown,2009,0.001
Males,Capital region 25-64 years,Basic education,2009,0.218
Males,Capital region 25-64 years,Upper secondary education,2009,0.421
Males,Capital region 25-64 years,Tertiary education,2009,0.359
Males,Capital region 25-64 years,Education unknown,2009,0.001
Males,Other regions 25-64 years,Basic education,2009,0.385
Males,Other regions 25-64 years,Upper secondary education,2009,0.439
Males,Other regions 25-64 years,Tertiary education,2009,0.174
Males,Other regions 25-64 years,Education unknown,2009,0.002
Females,25 to 64 years,Basic education,2009,0.323
Females,25 to 64 years,Upper secondary education,2009,0.31
Females,25 to 64 years,Tertiary education,2009,0.367
Females,25 to 64 years,Education unknown,2009,0.0
Females,20 to 24 years,Basic education,2009,0.416
Females,20 to 24 years,Upper secondary education,2009,0.557
Females,20 to 24 years,Tertiary education,2009,0.027
Females,20 to 24 years,Education unknown,2009,0.0
Females,25 to 29 years,Basic education,2009,0.237
Females,25 to 29 years,Upper secondary education,2009,0.382
Females,25 to 29 years,Tertiary education,2009,0.381
Females,25 to 29 years,Education unknown,2009,0.0
Females,30 to 49 years,Basic education,2009,0.264
Females,30 to 49 years,Upper secondary education,2009,0.301
Females,30 to 49 years,Tertiary education,2009,0.435
Females,30 to 49 years,Education unknown,2009,0.0
Females,50 to 64 years,Basic education,2009,0.454
Females,50 to 64 years,Upper secondary education,2009,0.294
Females,50 to 64 years,Tertiary education,2009,0.251
Females,50 to 64 years,Education unknown,2009,0.001
Females,65 to 74 years,Basic education,2009,0.647
Females,65 to 74 years,Upper secondary education,2009,0.237
Females,65 to 74 years,Tertiary education,2009,0.112
Females,65 to 74 years,Education unknown,2009,0.005
Females,Capital region 16-74 years,Basic education,2009,0.349
Females,Capital region 16-74 years,Upper secondary education,2009,0.322
Females,Capital region 16-74 years,Tertiary education,2009,0.328
Females,Capital region 16-74 years,Education unknown,2009,0.001
Females,Other regions 16-74 years,Basic education,2009,0.536
Females,Other regions 16-74 years,Upper secondary education,2009,0.273
Females,Other regions 16-74 years,Tertiary education,2009,0.19
Females,Other regions 16-74 years,Education unknown,2009,0.0
Females,Capital region 25-64 years,Basic education,2009,0.257
Females,Capital region 25-64 years,Upper secondary education,2009,0.316
Females,Capital region 25-64 years,Tertiary education,2009,0.427
Females,Capital region 25-64 years,Education unknown,2009,0.0
Females,Other regions 25-64 years,Basic education,2009,0.45
Females,Other regions 25-64 years,Upper secondary education,2009,0.299
Females,Other regions 25-64 years,Tertiary education,2009,0.251
Females,Other regions 25-64 years,Education unknown,2009,0.0
Total,25 to 64 years,Basic education,2010,0.293
Total,25 to 64 years,Upper secondary education,2010,0.381
Total,25 to 64 years,Tertiary education,2010,0.326
Total,25 to 64 years,Education unknown,2010,0.0
Total,20 to 24 years,Basic education,2010,0.462
Total,20 to 24 years,Upper secondary education,2010,0.514
Total,20 to 24 years,Tertiary education,2010,0.024
Total,20 to 24 years,Education unknown,2010,0.0
Total,25 to 29 years,Basic education,2010,0.278
Total,25 to 29 years,Upper secondary education,2010,0.405
Total,25 to 29 years,Tertiary education,2010,0.317
Total,25 to 29 years,Education unknown,2010,0.0
Total,30 to 49 years,Basic education,2010,0.257
Total,30 to 49 years,Upper secondary education,2010,0.368
Total,30 to 49 years,Tertiary education,2010,0.375
Total,30 to 49 years,Education unknown,2010,0.0
Total,50 to 64 years,Basic education,2010,0.354
Total,50 to 64 years,Upper secondary education,2010,0.391
Total,50 to 64 years,Tertiary education,2010,0.255
Total,50 to 64 years,Education unknown,2010,0.0
Total,65 to 74 years,Basic education,2010,0.496
Total,65 to 74 years,Upper secondary education,2010,0.37
Total,65 to 74 years,Tertiary education,2010,0.133
Total,65 to 74 years,Education unknown,2010,0.001
Total,Capital region 16-74 years,Basic education,2010,0.33
Total,Capital region 16-74 years,Upper secondary education,2010,0.369
Total,Capital region 16-74 years,Tertiary education,2010,0.301
Total,Capital region 16-74 years,Education unknown,2010,0.0
Total,Other regions 16-74 years,Basic education,2010,0.484
Total,Other regions 16-74 years,Upper secondary education,2010,0.354
Total,Other regions 16-74 years,Tertiary education,2010,0.162
Total,Other regions 16-74 years,Education unknown,2010,0.0
Total,Capital region 25-64 years,Basic education,2010,0.233
Total,Capital region 25-64 years,Upper secondary education,2010,0.377
Total,Capital region 25-64 years,Tertiary education,2010,0.39
Total,Capital region 25-64 years,Education unknown,2010,0.0
Total,Other regions 25-64 years,Basic education,2010,0.403
Total,Other regions 25-64 years,Upper secondary education,2010,0.387
Total,Other regions 25-64 years,Tertiary education,2010,0.211
Total,Other regions 25-64 years,Education unknown,2010,0.0
Males,25 to 64 years,Basic education,2010,0.273
Males,25 to 64 years,Upper secondary education,2010,0.451
Males,25 to 64 years,Tertiary education,2010,0.276
Males,25 to 64 years,Education unknown,2010,0.0
Males,20 to 24 years,Basic education,2010,0.469
Males,20 to 24 years,Upper secondary education,2010,0.507
Males,20 to 24 years,Tertiary education,2010,0.024
Males,20 to 24 years,Education unknown,2010,0.0
Males,25 to 29 years,Basic education,2010,0.321
Males,25 to 29 years,Upper secondary education,2010,0.455
Males,25 to 29 years,Tertiary education,2010,0.225
Males,25 to 29 years,Education unknown,2010,0.0
Males,30 to 49 years,Basic education,2010,0.264
Males,30 to 49 years,Upper secondary education,2010,0.424
Males,30 to 49 years,Tertiary education,2010,0.311
Males,30 to 49 years,Education unknown,2010,0.0
Males,50 to 64 years,Basic education,2010,0.267
Males,50 to 64 years,Upper secondary education,2010,0.493
Males,50 to 64 years,Tertiary education,2010,0.241
Males,50 to 64 years,Education unknown,2010,0.0
Males,65 to 74 years,Basic education,2010,0.32
Males,65 to 74 years,Upper secondary education,2010,0.518
Males,65 to 74 years,Tertiary education,2010,0.162
Males,65 to 74 years,Education unknown,2010,0.0
Males,Capital region 16-74 years,Basic education,2010,0.305
Males,Capital region 16-74 years,Upper secondary education,2010,0.427
Males,Capital region 16-74 years,Tertiary education,2010,0.268
Males,Capital region 16-74 years,Education unknown,2010,0.0
Males,Other regions 16-74 years,Basic education,2010,0.444
Males,Other regions 16-74 years,Upper secondary education,2010,0.425
Males,Other regions 16-74 years,Tertiary education,2010,0.131
Males,Other regions 16-74 years,Education unknown,2010,0.0
Males,Capital region 25-64 years,Basic education,2010,0.219
Males,Capital region 25-64 years,Upper secondary education,2010,0.443
Males,Capital region 25-64 years,Tertiary education,2010,0.338
Males,Capital region 25-64 years,Education unknown,2010,0.0
Males,Other regions 25-64 years,Basic education,2010,0.364
Males,Other regions 25-64 years,Upper secondary education,2010,0.467
Males,Other regions 25-64 years,Tertiary education,2010,0.169
Males,Other regions 25-64 years,Education unknown,2010,0.0
Females,25 to 64 years,Basic education,2010,0.313
Females,25 to 64 years,Upper secondary education,2010,0.308
Females,25 to 64 years,Tertiary education,2010,0.378
Females,25 to 64 years,Education unknown,2010,0.0
Females,20 to 24 years,Basic education,2010,0.454
Females,20 to 24 years,Upper secondary education,2010,0.522
Females,20 to 24 years,Tertiary education,2010,0.024
Females,20 to 24 years,Education unknown,2010,0.0
Females,25 to 29 years,Basic education,2010,0.236
Females,25 to 29 years,Upper secondary education,2010,0.355
Females,25 to 29 years,Tertiary education,2010,0.41
Females,25 to 29 years,Education unknown,2010,0.0
Females,30 to 49 years,Basic education,2010,0.25
Females,30 to 49 years,Upper secondary education,2010,0.311
Females,30 to 49 years,Tertiary education,2010,0.439
Females,30 to 49 years,Education unknown,2010,0.0
Females,50 to 64 years,Basic education,2010,0.444
Females,50 to 64 years,Upper secondary education,2010,0.285
Females,50 to 64 years,Tertiary education,2010,0.27
Females,50 to 64 years,Education unknown,2010,0.0
Females,65 to 74 years,Basic education,2010,0.663
Females,65 to 74 years,Upper secondary education,2010,0.231
Females,65 to 74 years,Tertiary education,2010,0.105
Females,65 to 74 years,Education unknown,2010,0.002
Females,Capital region 16-74 years,Basic education,2010,0.353
Females,Capital region 16-74 years,Upper secondary education,2010,0.314
Females,Capital region 16-74 years,Tertiary education,2010,0.333
Females,Capital region 16-74 years,Education unknown,2010,0.0
Females,Other regions 16-74 years,Basic education,2010,0.53
Females,Other regions 16-74 years,Upper secondary education,2010,0.274
Females,Other regions 16-74 years,Tertiary education,2010,0.196
Females,Other regions 16-74 years,Education unknown,2010,0.0
Females,Capital region 25-64 years,Basic education,2010,0.246
Females,Capital region 25-64 years,Upper secondary education,2010,0.314
Females,Capital region 25-64 years,Tertiary education,2010,0.44
Females,Capital region 25-64 years,Education unknown,2010,0.0
Females,Other regions 25-64 years,Basic education,2010,0.446
Females,Other regions 25-64 years,Upper secondary education,2010,0.297
Females,Other regions 25-64 years,Tertiary education,2010,0.257
Females,Other regions 25-64 years,Education unknown,2010,0.0
Total,25 to 64 years,Basic education,2011,0.292
Total,25 to 64 years,Upper secondary education,2011,0.37
Total,25 to 64 years,Tertiary education,2011,0.338
Total,25 to 64 years,Education unknown,2011,0.001
Total,20 to 24 years,Basic education,2011,0.436
Total,20 to 24 years,Upper secondary education,2011,0.534
Total,20 to 24 years,Tertiary education,2011,0.03
Total,20 to 24 years,Education unknown,2011,0.0
Total,25 to 29 years,Basic education,2011,0.263
Total,25 to 29 years,Upper secondary education,2011,0.399
Total,25 to 29 years,Tertiary education,2011,0.338
Total,25 to 29 years,Education unknown,2011,0.0
Total,30 to 49 years,Basic education,2011,0.263
Total,30 to 49 years,Upper secondary education,2011,0.347
Total,30 to 49 years,Tertiary education,2011,0.39
Total,30 to 49 years,Education unknown,2011,0.001
Total,50 to 64 years,Basic education,2011,0.347
Total,50 to 64 years,Upper secondary education,2011,0.393
Total,50 to 64 years,Tertiary education,2011,0.259
Total,50 to 64 years,Education unknown,2011,0.001
Total,65 to 74 years,Basic education,2011,0.496
Total,65 to 74 years,Upper secondary education,2011,0.37
Total,65 to 74 years,Tertiary education,2011,0.134
Total,65 to 74 years,Education unknown,2011,0.001
Total,Capital region 16-74 years,Basic education,2011,0.332
Total,Capital region 16-74 years,Upper secondary education,2011,0.358
Total,Capital region 16-74 years,Tertiary education,2011,0.309
Total,Capital region 16-74 years,Education unknown,2011,0.001
Total,Other regions 16-74 years,Basic education,2011,0.472
Total,Other regions 16-74 years,Upper secondary education,2011,0.361
Total,Other regions 16-74 years,Tertiary education,2011,0.168
Total,Other regions 16-74 years,Education unknown,2011,0.0
Total,Capital region 25-64 years,Basic education,2011,0.243
Total,Capital region 25-64 years,Upper secondary education,2011,0.351
Total,Capital region 25-64 years,Tertiary education,2011,0.404
Total,Capital region 25-64 years,Education unknown,2011,0.001
Total,Other regions 25-64 years,Basic education,2011,0.38
Total,Other regions 25-64 years,Upper secondary education,2011,0.404
Total,Other regions 25-64 years,Tertiary education,2011,0.215
Total,Other regions 25-64 years,Education unknown,2011,0.0
Males,25 to 64 years,Basic education,2011,0.266
Males,25 to 64 years,Upper secondary education,2011,0.452
Males,25 to 64 years,Tertiary education,2011,0.281
Males,25 to 64 years,Education unknown,2011,0.0
Males,20 to 24 years,Basic education,2011,0.452
Males,20 to 24 years,Upper secondary education,2011,0.52
Males,20 to 24 years,Tertiary education,2011,0.028
Males,20 to 24 years,Education unknown,2011,0.0
Males,25 to 29 years,Basic education,2011,0.292
Males,25 to 29 years,Upper secondary education,2011,0.457
Males,25 to 29 years,Tertiary education,2011,0.251
Males,25 to 29 years,Education unknown,2011,0.0
Males,30 to 49 years,Basic education,2011,0.271
Males,30 to 49 years,Upper secondary education,2011,0.416
Males,30 to 49 years,Tertiary education,2011,0.312
Males,30 to 49 years,Education unknown,2011,0.001
Males,50 to 64 years,Basic education,2011,0.249
Males,50 to 64 years,Upper secondary education,2011,0.504
Males,50 to 64 years,Tertiary education,2011,0.247
Males,50 to 64 years,Education unknown,2011,0.0
Males,65 to 74 years,Basic education,2011,0.321
Males,65 to 74 years,Upper secondary education,2011,0.525
Males,65 to 74 years,Tertiary education,2011,0.152
Males,65 to 74 years,Education unknown,2011,0.002
Males,Capital region 16-74 years,Basic education,2011,0.304
Males,Capital region 16-74 years,Upper secondary education,2011,0.422
Males,Capital region 16-74 years,Tertiary education,2011,0.274
Males,Capital region 16-74 years,Education unknown,2011,0.001
Males,Other regions 16-74 years,Basic education,2011,0.432
Males,Other regions 16-74 years,Upper secondary education,2011,0.443
Males,Other regions 16-74 years,Tertiary education,2011,0.125
Males,Other regions 16-74 years,Education unknown,2011,0.0
Males,Capital region 25-64 years,Basic education,2011,0.228
Males,Capital region 25-64 years,Upper secondary education,2011,0.419
Males,Capital region 25-64 years,Tertiary education,2011,0.352
Males,Capital region 25-64 years,Education unknown,2011,0.001
Males,Other regions 25-64 years,Basic education,2011,0.333
Males,Other regions 25-64 years,Upper secondary education,2011,0.509
Males,Other regions 25-64 years,Tertiary education,2011,0.158
Males,Other regions 25-64 years,Education unknown,2011,0.0
Females,25 to 64 years,Basic education,2011,0.317
Females,25 to 64 years,Upper secondary education,2011,0.287
Females,25 to 64 years,Tertiary education,2011,0.395
Females,25 to 64 years,Education unknown,2011,0.001
Females,20 to 24 years,Basic education,2011,0.421
Females,20 to 24 years,Upper secondary education,2011,0.548
Females,20 to 24 years,Tertiary education,2011,0.031
Females,20 to 24 years,Education unknown,2011,0.0
Females,25 to 29 years,Basic education,2011,0.233
Females,25 to 29 years,Upper secondary education,2011,0.341
Females,25 to 29 years,Tertiary education,2011,0.426
Females,25 to 29 years,Education unknown,2011,0.0
Females,30 to 49 years,Basic education,2011,0.255
Females,30 to 49 years,Upper secondary education,2011,0.277
Females,30 to 49 years,Tertiary education,2011,0.468
Females,30 to 49 years,Education unknown,2011,0.0
Females,50 to 64 years,Basic education,2011,0.446
Females,50 to 64 years,Upper secondary education,2011,0.282
Females,50 to 64 years,Tertiary education,2011,0.27
Females,50 to 64 years,Education unknown,2011,0.002
Females,65 to 74 years,Basic education,2011,0.664
Females,65 to 74 years,Upper secondary education,2011,0.22
Females,65 to 74 years,Tertiary education,2011,0.116
Females,65 to 74 years,Education unknown,2011,0.0
Females,Capital region 16-74 years,Basic education,2011,0.36
Females,Capital region 16-74 years,Upper secondary education,2011,0.295
Females,Capital region 16-74 years,Tertiary education,2011,0.344
Females,Capital region 16-74 years,Education unknown,2011,0.001
Females,Other regions 16-74 years,Basic education,2011,0.515
Females,Other regions 16-74 years,Upper secondary education,2011,0.27
Females,Other regions 16-74 years,Tertiary education,2011,0.215
Females,Other regions 16-74 years,Education unknown,2011,0.0
Females,Capital region 25-64 years,Basic education,2011,0.258
Females,Capital region 25-64 years,Upper secondary education,2011,0.284
Females,Capital region 25-64 years,Tertiary education,2011,0.456
Females,Capital region 25-64 years,Education unknown,2011,0.001
Females,Other regions 25-64 years,Basic education,2011,0.431
Females,Other regions 25-64 years,Upper secondary education,2011,0.292
Females,Other regions 25-64 years,Tertiary education,2011,0.277
Females,Other regions 25-64 years,Education unknown,2011,0.0
Total,25 to 64 years,Basic education,2012,0.292
Total,25 to 64 years,Upper secondary education,2012,0.357
Total,25 to 64 years,Tertiary education,2012,0.35
Total,25 to 64 years,Education unknown,2012,0.001
Total,20 to 24 years,Basic education,2012,0.421
Total,20 to 24 years,Upper secondary education,2012,0.546
Total,20 to 24 years,Tertiary education,2012,0.033
