"Citizenship","2002M01","2002M02","2002M03","2002M04","2002M05","2002M06","2002M07","2002M08","2002M09","2002M10","2002M11","2002M12","2003M01","2003M02","2003M03","2003M04","2003M05","2003M06","2003M07","2003M08","2003M09","2003M10","2003M11","2003M12","2004M01","2004M02","2004M03","2004M04","2004M05","2004M06","2004M07","2004M08","2004M09","2004M10","2004M11","2004M12","2005M01","2005M02","2005M03","2005M04","2005M05","2005M06","2005M07","2005M08","2005M09","2005M10","2005M11","2005M12","2006M01","2006M02","2006M03","2006M04","2006M05","2006M06","2006M07","2006M08","2006M09","2006M10","2006M11","2006M12","2007M01","2007M02","2007M03","2007M04","2007M05","2007M06","2007M07","2007M08","2007M09","2007M10","2007M11","2007M12","2008M01","2008M02","2008M03","2008M04","2008M05","2008M06","2008M07","2008M08","2008M09","2008M10","2008M11","2008M12","2009M01","2009M02","2009M03","2009M04","2009M05","2009M06","2009M07","2009M08","2009M09","2009M10","2009M11","2009M12","2010M01","2010M02","2010M03","2010M04","2010M05","2010M06","2010M07","2010M08","2010M09","2010M10","2010M11","2010M12","2011M01","2011M02","2011M03","2011M04","2011M05","2011M06","2011M07","2011M08","2011M09","2011M10","2011M11","2011M12","2012M01","2012M02","2012M03","2012M04","2012M05","2012M06","2012M07","2012M08","2012M09","2012M10","2012M11","2012M12","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06","2019M07","2019M08","2019M09","2019M10","2019M11","2019M12","2020M01","2020M02","2020M03","2020M04","2020M05","2020M06","2020M07"
"China",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116,245,381,1779,1873,1732,1321,1150,522,414,226,133,145,320,647,1000,965,684,425,555,359,301,150,116,164,242,362,822,730,1122,599,532,235,294,226,180,162,189,269,800,787,868,624,486,297,306,183,217,239,420,651,1389,1544,1323,1115,637,373,693,449,343,376,630,798,2093,2408,2417,1651,1080,532,1259,738,779,796,491,896,2705,2628,3064,1797,1110,595,1998,1331,1158,991,1053,1246,3794,4312,4403,2022,2016,858,2853,2149,2107,1862,1690,2294,6961,7483,8101,4364,4382,1464,4786,3322,4452,3382,2005,2475,7850,8382,9938,6118,6474,2935,9448,7278,8407,5204,3560,3827,8530,9617,12273,6447,7756,2916,10188,6526,8587,4169,2458,3891,8465,9589,12219,8243,8663,3453,13232,7728,9829,4433,2623,4260,9557,11366,12828,7883,10898,4698,13148,12804,8058,2510,..,..,..,136
"Norway",..,..,1459,1771,2078,2849,2438,2528,2711,1624,1349,1102,1075,1616,2064,1982,2031,2501,2573,3015,2331,2631,1703,895,1161,2174,2334,2339,2639,2855,2939,2658,2549,2981,1372,745,1139,1630,1561,2096,2260,2455,2986,3074,2826,2312,1351,851,967,1426,1936,1929,2973,2880,3197,3311,3434,3123,2056,1308,1414,1629,2504,2432,3439,4378,4817,4279,3291,3113,2213,1270,1660,1907,1994,3001,3012,4117,4352,3584,3897,3520,2392,1686,1431,1746,2383,2757,3843,3967,4818,4149,4341,3480,2433,1137,1489,1618,2494,2066,3141,4276,4781,4822,4074,3577,2189,1135,1506,1799,2289,3008,4560,5294,5552,5393,5260,3747,2099,1295,1718,1949,3144,3889,4795,5850,6686,5956,7486,5008,3065,1988,2003,2418,3556,4203,5771,6386,6268,6076,6733,4708,2804,1781,1982,2509,3489,4908,5587,6281,6698,5871,5929,5406,3276,1711,1933,2551,3135,4915,5903,5640,6053,5154,5522,6248,2945,1403,1940,2238,2996,4476,6475,5643,6276,5591,5114,5838,2804,1621,1922,2114,3009,4611,5437,5330,6439,4880,4919,5061,2595,1641,1943,2334,2919,4393,5218,4279,5684,4693,4267,4058,2337,1610,2095,1968,2965,3794,4194,4799,5223,4143,4379,2710,1502,1361,1638,2126,751,..,..,242,2306
"Poland",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,624,1619,1197,2080,2907,2105,1300,1121,764,5303,808,725,2077,1292,2052,3120,3772,2638,1703,1445,1254,3341,686,536,682,969,1142,2194,2502,1686,832,787,535,1789,503,397,658,632,772,2317,2511,1875,738,801,522,1527,521,475,421,939,1392,2136,2839,2035,953,633,492,1403,470,341,544,911,1359,2313,2957,2091,1193,754,528,1475,486,490,682,629,1202,2771,2944,2053,1396,774,570,1838,678,524,551,1098,1686,3605,3863,2498,1795,926,771,1964,773,599,880,958,2408,3919,4915,3645,2663,2187,1451,2681,1171,1153,1490,2055,3326,5210,6101,4525,3819,3412,2867,4484,2555,2873,3697,4150,5017,7026,8618,7092,6661,6338,5278,6994,5511,5958,6845,7218,8890,9480,10168,9132,8094,7277,5427,7463,5250,5758,6126,7320,8236,9432,10249,8758,8445,9018,6356,8777,8372,3053,4983,..,..,299,3181
"Russia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165,99,55,47,111,129,272,378,79,177,184,59,237,81,94,130,185,254,547,444,242,216,95,72,315,66,153,203,522,455,752,1215,372,413,185,73,355,245,230,338,503,710,1514,1729,629,246,298,191,600,165,348,289,590,908,1501,2031,666,375,339,152,328,158,192,175,406,539,898,989,475,364,176,177,220,132,142,200,475,803,1104,1372,633,467,487,285,425,367,479,561,965,1203,2082,2531,1462,798,617,329,639,564,762,653,1428,1612,2055,3105,1891,784,487,302,429,453,607,621,1713,2289,3186,3569,1837,823,714,335,339,558,574,..,..,..,141
"Singapore",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1218,622,649,1065,1223,1236,1988,606,680,1096,731,572,1268,632,633,746,1067,1201,1340,411,506,1613,994,479,1210,528,625,699,1390,833,1347,226,415,352,..,..,..,10
"Spain",..,..,77,145,152,364,810,1524,341,69,56,107,125,65,105,120,303,615,1006,1988,481,134,68,116,155,83,74,186,166,438,1287,2395,537,141,66,85,106,96,188,122,288,438,1563,2601,556,248,118,112,188,95,91,201,231,557,1824,3445,716,275,193,183,191,86,199,237,515,684,1986,3887,1133,220,159,158,166,172,299,173,409,875,1892,4623,1054,457,147,171,221,116,172,380,366,893,3021,6499,1167,540,207,189,201,175,284,509,327,761,3023,5257,865,377,199,259,301,258,410,505,830,999,3017,5501,1239,485,187,239,352,206,346,436,974,1006,2971,5547,1841,931,280,388,415,321,373,680,864,1598,2975,6060,2025,583,606,517,500,363,566,873,1045,1801,3804,7161,2609,1039,640,531,657,438,711,1442,1429,2136,5101,9007,3395,1591,743,516,782,573,1663,980,1538,2887,6882,11010,5153,2652,2423,2640,2502,2463,3667,3172,2618,4259,8187,13089,7614,3828,3265,3307,3071,3587,4281,4398,3815,4601,8174,12854,9508,5083,3553,2664,2879,3150,4432,3775,2864,4239,7050,12969,7321,6045,2445,1971,1864,2541,1819,..,..,..,497
"South Korea",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1004,1491,2287,1019,2427,1348,1614,1842,1447,1130,881,975,1131,1786,2254,1517,1435,1180,1444,1652,1555,1383,670,537,987,1441,2331,1017,1277,1529,1971,2287,1841,320,..,..,..,15
"Switzerland",..,..,170,103,143,708,1884,1965,322,89,56,79,104,71,126,91,142,650,2095,2275,324,125,50,68,151,71,93,119,190,618,3161,1965,298,148,59,91,318,100,76,145,276,498,2561,1870,406,191,69,90,118,82,103,165,212,731,1963,1848,349,170,135,89,276,91,120,129,247,841,2283,2029,498,198,91,108,195,103,98,151,272,738,2340,2214,598,214,100,113,268,123,114,230,341,1030,2694,2826,582,198,84,156,229,186,157,175,305,1013,3158,2829,584,306,125,96,315,152,170,186,325,946,3659,2957,841,336,139,129,252,169,230,325,360,1461,3918,3696,1025,1021,207,174,345,427,375,398,472,1721,4235,4239,1209,405,281,200,376,388,383,594,884,2250,5140,4742,1948,1131,764,715,1116,1118,1035,1100,1354,3038,6460,5516,2760,1665,483,290,554,949,1158,1244,1591,3213,7256,6090,2879,2508,660,580,937,1331,1306,2021,1686,3335,6437,6237,3063,2463,746,604,938,1196,1126,1791,1784,2986,5484,5231,3168,2760,1079,1019,1314,1268,1306,1712,1631,2842,5052,4620,2624,1362,1144,824,1539,1627,716,..,..,348,3161
"Sweden",..,..,1241,2404,2330,2645,2629,3206,2190,1820,1410,1242,973,1217,2004,2227,2132,2380,2739,3560,2665,2602,1812,900,1096,1422,1837,2727,2588,2741,3798,3091,2693,2636,1720,696,1090,928,1478,2385,2799,2806,3586,3799,2502,2531,1803,895,837,873,1143,1884,3128,3093,3901,3658,2867,2984,1801,1196,1465,1189,1838,1867,2911,4056,5129,4968,3367,3397,2025,1144,1544,1468,1570,1856,3094,4354,4646,4123,3337,2946,1857,1464,1440,1166,1720,2733,3544,3521,4562,4111,3290,2511,1849,974,1525,1247,1614,1773,2362,3092,4018,4152,2727,2359,1878,1197,2033,1185,2015,2381,2953,4018,4893,4536,3423,2440,1766,1192,1440,1035,1680,2651,3509,3995,6257,4926,4139,2648,2146,1175,1480,1142,2079,2647,3683,4461,5298,5069,3899,2527,1955,1251,1760,1292,1938,3234,4264,5405,6328,5856,4251,2865,2314,1485,2027,1628,2292,3289,5181,4505,6191,5851,4513,3670,2642,1307,1738,1720,2652,3187,6069,6750,9073,7435,5791,4745,3507,1848,2567,2027,2683,4638,6129,7788,8670,7101,5457,4025,3154,1990,2296,1914,2745,4622,5448,5535,7298,6058,4962,3521,3193,1724,2030,1727,2203,3436,4136,5623,5895,5012,3755,2632,2244,1159,1447,1562,576,..,..,111,553
"Taiwan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3781,3532,2436,2642,5671,2039,1364,1615,3006,3257,2140,1244,2780,2560,1877,2789,3378,2192,1635,1500,2257,3203,1607,1191,2306,2408,2149,2392,2767,1731,1421,..,..,..,..,..,..,..
"Germany",..,..,1264,947,1535,4113,7652,9060,2547,811,503,654,784,683,1001,1009,1571,5142,9576,9959,4544,1251,608,679,873,715,1246,1239,2099,4666,10691,10861,3420,1132,890,707,986,777,1268,1171,2504,4714,8623,9927,4347,1206,894,970,1207,796,1137,1410,1941,5030,8952,10368,4094,1635,880,1039,1058,886,1314,1390,2365,5347,10438,11140,3191,1382,995,1050,1162,1094,1568,1468,3098,5708,11047,10612,5025,1865,1201,1272,1482,1212,1778,2017,2996,7317,11619,14330,5375,1726,1108,919,1374,1263,1530,1565,2816,8412,13306,14414,5200,2294,1191,1012,1538,1310,2133,2496,3064,9584,12498,14001,5891,2230,1122,948,1272,1079,2015,2571,4045,9659,15461,16633,6418,2703,1922,1401,2101,2278,3117,2786,5163,12139,15027,18457,7669,3198,2367,1512,2329,2140,3410,3508,4822,14035,18059,19330,9983,3306,2941,2052,2971,3415,5067,3722,6771,14458,20047,23236,12717,5784,3117,2079,3268,3733,6099,4318,9641,17433,25203,26872,16849,9480,5864,4029,6002,6542,9916,9299,10727,21607,25620,27933,17624,10128,6307,4108,6168,6885,9174,8012,11921,16363,20595,21830,16310,11164,6280,4453,6641,6893,10702,7625,9087,16918,18968,21262,14317,8216,7153,4371,6593,8369,4614,..,..,1182,9220
"Other countries",..,..,1221,1674,1917,4530,5334,5519,2586,1844,1162,1745,1863,966,1609,2105,1862,3714,6216,6618,3129,2702,1975,1737,1447,1306,1960,2441,3520,5555,7979,7467,3960,3082,2207,2203,1506,1564,2345,2260,3850,6284,9998,8569,5207,4345,2600,4366,2011,1778,2016,4035,5001,8172,11708,10225,6753,5268,4057,7137,3569,2775,3064,3245,5386,8567,11743,11446,4915,5490,4153,4526,3309,2281,3713,3548,5763,10369,14780,14795,5920,5233,4633,3633,2929,2064,2589,3247,4352,8796,14600,13308,5205,3851,2600,2885,2449,2223,3078,3166,3611,7972,13218,12782,5878,4228,2555,2609,2488,2231,2783,3532,4293,8569,14812,13098,6397,4722,2599,3066,3088,2630,3350,3815,5726,9842,17772,15140,7543,5418,4291,4146,4022,3811,4861,6205,6461,12182,21475,19835,10169,7769,5368,5685,5383,5236,8275,7707,9682,16771,22883,25986,12684,10090,7979,8970,8579,7674,11669,10914,14851,25149,30796,29597,20204,15510,12295,12657,12265,13481,18716,17011,18702,27629,36230,33831,32147,26173,23723,25988,23239,23902,28696,26247,23585,14296,16593,17855,18129,15493,13330,13426,12678,12250,16275,14059,14445,17205,18453,19334,19186,18731,15039,13930,11675,11962,17107,13454,13090,17287,19681,20405,24865,16830,12099,13578,8760,9316,3223,..,..,1469,4973
