"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Total annual income","Standard deviation - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- General education at the upper secondary level","Women","75 years and over",439,1290,590,549,715,1055,1472,3526,1311,1894,2031,11049,5486,15659,3158,4260,7916,40547,7743,10868,4855,3583,3257,64316,5005,4003,4410,4758,15724
"Total annual income","Standard deviation - total","Tertiary education","Total","Total",1456,1601,1648,1615,1628,1648,1758,1882,2081,2366,2846,4179,5637,8400,6296,10190,18088,32654,12656,16919,5167,5659,7202,7130,8942,7955,9851,10979,8093
"Total annual income","Standard deviation - total","Tertiary education","Total","16 - 24 years",494,508,514,463,524,521,615,624,755,928,1226,1109,1390,3910,1087,1265,1273,1697,1734,1323,1224,1430,1631,1633,1488,1673,1812,2154,2082
"Total annual income","Standard deviation - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Total","75 years and over",2499,2890,2403,3565,2296,2688,2930,2948,3045,2327,2539,4736,3687,11144,8540,8613,10650,64119,12197,10158,6010,11675,6200,8214,9012,11806,11700,11733,20360
"Total annual income","Standard deviation - total","Tertiary education","Men","Total",1624,1770,1859,1809,1879,1892,1999,2110,2323,2721,3166,5124,7139,9038,7905,11020,14318,34759,16529,12758,6328,6712,6499,7990,11028,10176,13096,11382,10157
"Total annual income","Standard deviation - total","Tertiary education","Men","16 - 24 years",598,589,609,536,545,636,784,748,805,1109,1435,1219,1651,1974,1228,1273,1430,2023,1963,1494,1402,1651,1929,1841,1689,1871,1999,2444,2278
"Total annual income","Standard deviation - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Men","75 years and over",1866,1463,1222,1245,1210,2136,1643,1828,1842,2513,2576,5309,3991,12105,9703,6898,10796,76069,13862,11904,6842,11359,7255,9773,10914,12955,14311,13951,23632
"Total annual income","Standard deviation - total","Tertiary education","Women","Total",815,980,989,1021,947,992,1107,1260,1447,1552,2151,2723,3510,7662,4156,9274,20630,30732,8062,19507,3770,4431,7516,6197,6810,5561,6317,10520,5959
"Total annual income","Standard deviation - total","Tertiary education","Women","16 - 24 years",387,412,409,386,499,380,407,499,685,670,892,970,1057,4961,968,1262,1123,1368,1554,1201,1074,1244,1345,1457,1324,1494,1652,1947,1954
"Total annual income","Standard deviation - total","Tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Tertiary education","Women","75 years and over",4562,6291,5549,8583,4745,4158,5670,5389,5549,979,2291,1786,2161,7492,3811,11791,10241,13776,6865,3823,3422,12221,2879,3456,3173,9375,4804,6875,14018
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","Total",868,945,935,934,923,959,1034,1307,1421,1546,1818,3094,2931,3947,2809,4815,4022,14960,5422,4445,3232,3495,7734,4622,4937,4989,7936,11958,5026
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","Total",1145,1212,1221,1211,1150,1172,1268,1380,1588,1854,2098,4546,4070,2522,2644,3866,3768,6139,5946,5042,3313,3732,3626,4771,4890,6138,10812,7689,5637
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","Total",546,627,617,642,688,721,749,1139,1174,1159,1449,1487,1773,4561,2815,5278,4090,18637,4936,3881,3036,3144,9582,4346,4812,3674,4521,14257,4206
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Short-cycle tertiary education","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","Total",1020,1173,1197,1151,1213,1237,1347,1512,1697,1977,2548,3264,5071,7482,6628,11070,22145,29992,13865,20118,4917,4965,7562,6144,7944,6146,10759,11237,7302
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","Total",1162,1311,1332,1346,1461,1450,1554,1781,1964,2314,2750,3528,6372,7816,9320,12149,15217,24162,20601,8994,6497,6737,6095,7051,9532,7618,15557,11558,10071
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","Total",616,801,850,727,754,826,920,986,1196,1407,2154,2877,3867,7182,3970,10260,25306,32830,7509,24187,3554,3362,8150,5393,6733,4922,6351,10939,4789
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Bachelor�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","Total",1926,2050,2221,2128,2174,2203,2330,2390,2620,3047,3615,6209,8083,11296,7141,10637,13788,41476,12840,14579,5671,5824,6574,8604,8921,9915,8729,10826,9123
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","Total",1994,2122,2332,2223,2282,2313,2473,2515,2770,3232,3833,7203,9567,12529,7697,11462,16498,47519,14276,18021,6381,6339,7297,9028,9775,12408,10633,11970,10377
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","Total",1190,1284,1337,1337,1363,1398,1417,1626,1794,2148,2713,2935,3406,8355,5782,8885,7497,30566,10303,8152,4388,4895,5415,7938,7779,6597,6292,9525,7705
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","- Master�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","Total",1630,2108,2031,1945,2107,2211,2073,2189,2360,2848,3048,3851,3533,5825,5424,7485,8337,59525,13256,13751,7875,11741,7726,12452,25012,15086,9115,10779,12139
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","Total",1599,2156,2050,2001,2157,2263,2050,2203,2416,2958,3189,4100,3631,6299,5873,8297,9067,63003,13068,15861,8840,10169,8167,12639,30609,17797,9366,12433,14402
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","Total",1672,1458,1645,1174,1444,1560,1963,1836,1526,1711,1876,2102,2817,3397,3049,3456,5449,48789,13616,5769,4523,14613,6334,11892,5524,7911,8305,6833,6819
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Standard deviation - total","Doctoral or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Income from work","Mean - total","Total","Total","Total",923,1006,1006,1006,1021,1066,1156,1237,1382,1508,1641,1821,1930,1995,2114,2325,2569,2854,3000,2790,2830,3043,3239,3434,3616,3930,4291,4563,4813
"Income from work","Mean - total","Total","Total","16 - 24 years",589,632,603,580,583,609,664,716,798,877,981,1034,1007,996,1041,1148,1270,1385,1397,1152,1190,1327,1457,1573,1676,1845,2087,2284,2414
"Income from work","Mean - total","Total","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Total","75 years and over",48,53,52,50,44,42,44,46,56,54,58,59,59,60,65,61,68,74,79,74,77,79,83,87,97,105,113,118,135
"Income from work","Mean - total","Total","Men","Total",1284,1394,1383,1377,1393,1451,1572,1682,1870,2026,2193,2405,2518,2575,2727,2992,3300,3661,3782,3422,3489,3773,4020,4243,4418,4784,5178,5454,5736
"Income from work","Mean - total","Total","Men","16 - 24 years",727,777,729,697,700,730,801,863,960,1055,1176,1225,1175,1146,1203,1345,1490,1605,1580,1252,1300,1444,1588,1707,1799,1988,2247,2463,2618
"Income from work","Mean - total","Total","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Men","75 years and over",93,103,100,96,84,82,86,88,105,102,108,108,108,108,116,110,122,134,129,120,130,132,138,145,168,182,199,205,241
"Income from work","Mean - total","Total","Women","Total",567,626,636,642,658,691,751,806,912,1011,1113,1262,1365,1437,1524,1685,1863,2072,2238,2174,2186,2335,2483,2650,2837,3100,3426,3690,3902
"Income from work","Mean - total","Total","Women","16 - 24 years",445,482,472,459,460,484,522,562,629,694,782,840,834,839,871,943,1043,1157,1206,1047,1075,1205,1320,1433,1547,1697,1920,2098,2202
"Income from work","Mean - total","Total","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Total","Women","75 years and over",16,19,19,18,16,14,14,18,22,20,22,23,24,25,29,25,28,30,43,40,38,39,42,44,44,46,47,50,51
"Income from work","Mean - total","Basic education","Total","Total",660,718,709,701,706,736,790,839,924,997,1082,1194,1244,1268,1344,1467,1616,1755,1839,1704,1751,1912,2036,2146,2228,2418,2632,2771,2924
"Income from work","Mean - total","Basic education","Total","16 - 24 years",573,617,579,554,554,575,622,669,745,818,918,965,932,917,958,1062,1177,1270,1256,1022,1048,1163,1272,1368,1429,1567,1768,1940,2021
"Income from work","Mean - total","Basic education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Total","75 years and over",34,36,34,32,27,25,26,28,30,26,27,26,24,25,26,24,29,30,38,39,40,40,43,44,47,52,52,61,66
"Income from work","Mean - total","Basic education","Men","Total",946,1022,993,982,990,1033,1113,1186,1304,1406,1518,1661,1717,1724,1822,1997,2211,2390,2483,2239,2329,2585,2783,2931,3011,3271,3543,3726,3953
"Income from work","Mean - total","Basic education","Men","16 - 24 years",712,762,704,670,674,696,759,820,904,991,1106,1151,1101,1067,1121,1259,1394,1488,1443,1133,1166,1288,1423,1525,1590,1747,1971,2175,2296
"Income from work","Mean - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Men","75 years and over",72,75,70,65,57,51,53,56,58,51,54,51,45,45,42,42,56,57,62,56,64,65,71,74,82,100,99,127,152
"Income from work","Mean - total","Basic education","Women","Total",462,508,510,505,506,527,562,593,655,708,772,859,900,930,985,1064,1158,1257,1318,1263,1268,1348,1405,1472,1541,1659,1806,1891,1952
"Income from work","Mean - total","Basic education","Women","16 - 24 years",416,453,435,419,414,435,465,497,563,621,705,756,739,741,762,825,922,1012,1030,890,906,1010,1087,1173,1226,1346,1520,1650,1675
"Income from work","Mean - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Basic education","Women","75 years and over",15,18,17,16,13,12,13,15,18,15,16,16,15,17,19,16,19,20,28,32,31,30,32,32,34,34,35,36,34
"Income from work","Mean - total","Upper secondary education","Total","Total",1123,1214,1211,1200,1206,1254,1356,1447,1593,1713,1847,2016,2109,2141,2242,2436,2668,2904,3039,2805,2864,3062,3224,3382,3540,3832,4189,4398,4620
"Income from work","Mean - total","Upper secondary education","Total","16 - 24 years",625,669,658,639,639,678,750,816,904,987,1098,1157,1136,1136,1183,1300,1438,1580,1648,1397,1442,1582,1715,1849,2024,2262,2553,2743,2891
"Income from work","Mean - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Total","75 years and over",89,104,107,104,85,76,79,81,100,100,109,107,105,101,111,99,98,104,108,102,101,99,100,111,125,135,155,142,163
"Income from work","Mean - total","Upper secondary education","Men","Total",1416,1529,1525,1509,1514,1571,1696,1806,1990,2130,2284,2486,2581,2603,2732,2960,3237,3506,3644,3336,3431,3686,3891,4073,4233,4582,4976,5201,5477
"Income from work","Mean - total","Upper secondary education","Men","16 - 24 years",769,821,800,769,764,812,903,969,1097,1197,1330,1388,1329,1325,1389,1542,1713,1868,1899,1533,1593,1744,1877,2012,2174,2427,2739,2946,3116
"Income from work","Mean - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Income from work","Mean - total","Upper secondary education","Men","75 years and over",114,133,135,130,106,96,102,102,121,121,127,123,122,117,130,116,116,123,129,119,124,120,122,132,154,166,196,178,207
