"Year","Economic activity","Occupational group","Sex","Earnings and working hours","Mean","10%","20%","25% (1st quartile)","30%","40%","50% (median)","60%","70%","75% (3rd quartile)","80%","90%","Observations","Weighted bservations"
"2014","Education (P)","Elementary occupations (9)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Elementary occupations (9)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Elementary occupations (9)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","General, machine and specialized workers","Total","Total earnings",310,247,260,266,270,275,289,302,330,341,359,387,100,110
"2014","Education (P)","General, machine and specialized workers","Total","Hours paid",181.7,166.4,173.3,173.3,173.5,174.3,177.9,181.3,187.2,190.9,193.3,200.2,100.0,110.0
"2014","Education (P)","General, machine and specialized workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","General, machine and specialized workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","General, machine and specialized workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Education (P)","General, machine and specialized workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Total","Total","Total earnings",574,308,357,381,404,446,492,537,608,649,710,940,5080,5990
"2014","Human health and social work activities (Q)","Total","Total","Hours paid",192.1,170.7,173.3,174.8,177.8,182.6,185.8,190.3,196.7,201.3,206.5,222.6,5080.0,5990.0
"2014","Human health and social work activities (Q)","Total","Men","Total earnings",725,343,407,433,452,500,547,620,773,910,1044,1395,1350,1530
"2014","Human health and social work activities (Q)","Total","Men","Hours paid",202.7,173.3,180.1,183.3,185.1,189.7,194.6,202.5,210.2,216.4,223.2,243.4,1350.0,1530.0
"2014","Human health and social work activities (Q)","Total","Women","Total earnings",523,303,347,368,388,432,471,521,574,614,656,800,3730,4460
"2014","Human health and social work activities (Q)","Total","Women","Hours paid",188.5,169.1,173.3,173.5,175.5,180.6,183.8,186.8,192.7,196.0,200.7,215.0,3730.0,4460.0
"2014","Human health and social work activities (Q)","Managers (1)","Total","Total earnings",844,474,524,558,605,651,727,831,956,1008,1123,1401,630,780
"2014","Human health and social work activities (Q)","Managers (1)","Total","Hours paid",199.4,173.3,173.4,177.3,183.3,187.3,192.9,198.3,208.3,214.9,216.9,237.2,630.0,780.0
"2014","Human health and social work activities (Q)","Managers (1)","Men","Total earnings",990,485,515,600,649,731,912,1086,1216,1329,1395,1604,240,300
"2014","Human health and social work activities (Q)","Managers (1)","Men","Hours paid",204.5,173.3,173.4,182.6,185.3,188.6,193.3,207.2,215.4,223.3,231.3,247.7,240.0,300.0
"2014","Human health and social work activities (Q)","Managers (1)","Women","Total earnings",751,459,524,546,594,623,663,747,849,916,956,1109,390,470
"2014","Human health and social work activities (Q)","Managers (1)","Women","Hours paid",196.1,173.3,173.4,176.6,180.1,187.1,190.3,195.8,204.1,208.3,215.3,223.3,390.0,470.0
"2014","Human health and social work activities (Q)","Professionals (2)","Total","Total earnings",691,427,476,496,519,552,598,648,724,769,827,1063,2070,2450
"2014","Human health and social work activities (Q)","Professionals (2)","Total","Hours paid",195.3,171.0,173.3,175.3,178.9,183.3,185.5,192.1,200.8,205.9,212.7,233.8,2070.0,2450.0
"2014","Human health and social work activities (Q)","Professionals (2)","Men","Total earnings",971,477,545,577,619,731,858,999,1140,1269,1369,1675,450,500
"2014","Human health and social work activities (Q)","Professionals (2)","Men","Hours paid",210.1,176.8,183.7,183.9,185.4,191.2,198.7,206.5,221.6,227.0,239.7,263.1,450.0,500.0
"2014","Human health and social work activities (Q)","Professionals (2)","Women","Total earnings",619,420,466,486,504,534,569,615,669,703,738,852,1620,1950
"2014","Human health and social work activities (Q)","Professionals (2)","Women","Hours paid",191.6,169.6,173.3,173.4,176.0,181.2,184.1,188.6,196.0,201.4,207.4,223.1,1620.0,1950.0
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Total","Total earnings",439,327,354,367,379,408,430,449,475,489,512,556,660,820
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Total","Hours paid",185.5,168.5,173.3,173.8,175.9,180.3,182.5,185.3,190.8,193.7,196.3,205.6,660.0,820.0
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Men","Total earnings",492,366,398,412,432,449,483,514,554,578,591,621,90,120
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Men","Hours paid",193.9,173.3,174.2,178.1,179.3,184.0,192.1,194.5,200.3,204.0,207.4,220.9,90.0,120.0
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Women","Total earnings",430,327,349,358,372,400,424,442,466,476,494,536,560,700
"2014","Human health and social work activities (Q)","Technicians and associate professionals (3)","Women","Hours paid",184.1,167.2,173.3,173.6,175.4,179.7,181.9,184.2,188.3,191.4,194.9,202.9,560.0,700.0
"2014","Human health and social work activities (Q)","Clerks (4)","Total","Total earnings",364,271,294,304,312,333,348,365,386,404,420,466,320,390
"2014","Human health and social work activities (Q)","Clerks (4)","Total","Hours paid",186.7,168.6,173.3,173.3,173.9,179.3,183.2,187.0,190.8,193.3,196.2,211.5,320.0,390.0
"2014","Human health and social work activities (Q)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Total","Total earnings",384,276,296,304,316,344,370,397,429,443,461,514,1030,1270
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Total","Hours paid",187.8,169.8,173.7,175.9,178.2,182.6,186.3,188.3,193.4,196.3,199.7,209.1,1030.0,1270.0
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Men","Total earnings",445,322,357,372,385,410,441,467,497,508,520,571,350,420
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Men","Hours paid",196.6,173.4,181.1,183.3,186.3,189.8,193.7,197.4,203.7,206.3,209.8,221.4,350.0,420.0
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Women","Total earnings",354,269,289,295,299,315,339,362,392,405,422,458,680,840
"2014","Human health and social work activities (Q)","Service workers and shop and market sales workers (5)","Women","Hours paid",183.5,167.5,173.3,173.7,175.4,179.5,183.1,186.3,187.3,189.8,192.9,202.8,680.0,840.0
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft and related trades workers (7)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Plant and machine operators and assemblers (8)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Total","Total earnings",328,241,264,280,288,311,322,337,355,361,375,430,300,230
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Total","Hours paid",186.6,161.2,171.4,173.3,174.1,177.3,184.2,187.7,192.4,194.3,198.2,213.5,300.0,230.0
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Men","Total earnings",329,227,252,262,262,284,320,336,364,377,412,439,120,80
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Men","Hours paid",187.3,158.2,165.1,170.7,171.4,175.1,185.9,189.1,193.2,197.0,203.3,224.3,120.0,80.0
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Women","Total earnings",328,245,284,291,299,314,324,339,351,358,366,399,170,150
"2014","Human health and social work activities (Q)","Elementary occupations (9)","Women","Hours paid",186.2,166.4,173.3,174.1,174.8,179.9,183.9,186.6,191.6,193.2,197.0,210.6,170.0,150.0
"2014","Human health and social work activities (Q)","Craft workers","Total","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft workers","Total","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Total","Total earnings",363,250,278,287,301,320,337,356,377,406,431,527,340,280
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Total","Hours paid",190.7,164.3,173.3,174.1,174.9,182.1,186.0,191.9,198.2,202.7,208.0,224.3,340.0,280.0
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Men","Total earnings",405,250,264,276,313,336,376,422,458,504,556,637,160,130
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Men","Hours paid",196.4,161.1,171.4,174.1,177.0,186.0,194.1,203.0,210.2,219.0,223.2,229.3,160.0,130.0
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Women","Total earnings",328,245,284,291,299,314,324,339,351,358,369,399,170,150
"2014","Human health and social work activities (Q)","General, machine and specialized workers","Women","Hours paid",186.1,166.7,173.3,173.9,174.8,179.2,183.7,186.6,191.6,192.8,197.0,210.6,170.0,150.0
"2015","Total","Total","Total","Total earnings",612,349,409,433,454,494,536,586,654,697,751,920,38970,56350
"2015","Total","Total","Total","Hours paid",184.5,162.5,170.9,172.9,173.3,173.5,177.4,182.9,189.2,193.3,197.9,212.9,38970.0,56350.0
"2015","Total","Total","Men","Total earnings",675,383,442,468,492,537,586,643,719,767,823,1005,19350,30150
"2015","Total","Total","Men","Hours paid",188.8,162.5,171.7,173.3,173.3,175.1,182.1,189.0,196.2,201.3,206.7,221.0,19350.0,30150.0
"2015","Total","Total","Women","Total earnings",540,322,375,399,420,457,490,526,577,608,655,798,19610,26200
"2015","Total","Total","Women","Hours paid",179.5,162.5,169.7,171.9,173.3,173.4,174.9,178.1,182.8,184.8,188.2,198.5,19610.0,26200.0
"2015","Total","Managers (1)","Total","Total earnings",1006,550,634,672,707,784,859,946,1038,1113,1223,1663,4160,6470
"2015","Total","Managers (1)","Total","Hours paid",180.4,162.5,168.5,172.6,173.3,173.3,173.3,173.4,181.2,187.3,192.4,207.3,4160.0,6470.0
"2015","Total","Managers (1)","Men","Total earnings",1100,596,682,719,765,839,915,1000,1131,1236,1368,1881,2330,3950
"2015","Total","Managers (1)","Men","Hours paid",179.9,162.5,162.5,168.4,172.2,173.3,173.3,173.4,177.9,185.8,192.9,208.8,2330.0,3950.0
"2015","Total","Managers (1)","Women","Total earnings",858,525,583,615,644,698,778,852,947,995,1044,1256,1820,2520
"2015","Total","Managers (1)","Women","Hours paid",181.1,164.4,173.3,173.3,173.3,173.3,173.4,176.2,183.6,188.3,191.5,202.6,1820.0,2520.0
"2015","Total","Professionals (2)","Total","Total earnings",656,437,474,490,505,542,586,643,712,750,794,937,12770,16360
"2015","Total","Professionals (2)","Total","Hours paid",181.8,165.2,172.9,173.3,173.3,173.6,176.1,179.6,184.1,187.3,191.3,203.3,12770.0,16360.0
"2015","Total","Professionals (2)","Men","Total earnings",763,476,530,560,590,642,701,757,819,861,914,1089,4810,5960
"2015","Total","Professionals (2)","Men","Hours paid",183.4,162.5,172.6,173.3,173.3,173.4,174.6,181.2,188.0,192.2,196.3,209.8,4810.0,5960.0
"2015","Total","Professionals (2)","Women","Total earnings",595,426,458,471,485,508,540,578,634,669,707,823,7950,10390
"2015","Total","Professionals (2)","Women","Hours paid",180.9,166.9,172.9,173.3,173.4,174.3,176.6,179.4,183.1,185.0,188.3,198.7,7950.0,10390.0
"2015","Total","Technicians and associate professionals (3)","Total","Total earnings",622,387,438,454,473,506,550,596,661,699,745,907,5630,7490
"2015","Total","Technicians and associate professionals (3)","Total","Hours paid",179.9,162.5,164.9,167.7,170.7,173.3,173.4,176.1,183.3,187.3,191.6,206.2,5630.0,7490.0
"2015","Total","Technicians and associate professionals (3)","Men","Total earnings",723,439,492,516,541,588,635,699,773,817,869,1123,2960,3830
"2015","Total","Technicians and associate professionals (3)","Men","Hours paid",183.0,162.5,165.5,168.6,171.6,173.3,173.4,180.5,189.2,193.2,198.3,213.3,2960.0,3830.0
"2015","Total","Technicians and associate professionals (3)","Women","Total earnings",517,364,402,418,436,459,484,512,551,569,601,687,2670,3660
"2015","Total","Technicians and associate professionals (3)","Women","Hours paid",176.6,162.5,164.1,167.3,170.5,173.3,173.3,174.4,178.8,181.5,185.1,194.8,2670.0,3660.0
"2015","Total","Clerks (4)","Total","Total earnings",458,321,360,376,393,419,444,472,505,523,548,602,2920,4190
"2015","Total","Clerks (4)","Total","Hours paid",176.3,162.5,162.7,165.5,167.9,172.1,173.4,175.2,179.3,181.9,185.0,195.5,2920.0,4190.0
"2015","Total","Clerks (4)","Men","Total earnings",491,326,375,398,414,441,469,505,541,564,588,685,610,840
"2015","Total","Clerks (4)","Men","Hours paid",182.4,162.5,167.2,169.7,172.0,173.3,175.4,180.4,186.7,192.6,195.9,209.7,610.0,840.0
"2015","Total","Clerks (4)","Women","Total earnings",449,320,356,372,387,415,437,464,497,516,533,596,2310,3350
"2015","Total","Clerks (4)","Women","Hours paid",174.8,162.5,162.5,164.7,167.3,171.5,173.3,174.6,177.6,180.3,182.9,191.3,2310.0,3350.0
"2015","Total","Service workers and shop and market sales workers (5)","Total","Total earnings",439,293,318,330,342,373,408,444,492,519,552,625,6240,8870
"2015","Total","Service workers and shop and market sales workers (5)","Total","Hours paid",184.1,163.0,169.3,171.5,173.3,174.9,179.5,184.2,188.9,193.2,197.4,210.5,6240.0,8870.0
"2015","Total","Service workers and shop and market sales workers (5)","Men","Total earnings",505,334,372,394,411,450,491,531,570,584,609,699,2720,4490
"2015","Total","Service workers and shop and market sales workers (5)","Men","Hours paid",189.4,163.0,172.7,173.3,174.8,180.4,185.7,191.0,198.3,202.3,206.0,218.0,2720.0,4490.0
"2015","Total","Service workers and shop and market sales workers (5)","Women","Total earnings",372,283,298,304,312,327,346,373,403,417,436,491,3510,4380
"2015","Total","Service workers and shop and market sales workers (5)","Women","Hours paid",178.6,163.2,168.0,169.4,171.2,173.3,174.8,178.3,183.5,184.7,186.6,196.0,3510.0,4380.0
"2015","Total","Craft and related trades workers (7)","Total","Total earnings",588,384,440,456,475,516,553,601,665,694,736,840,2510,5380
"2015","Total","Craft and related trades workers (7)","Total","Hours paid",192.7,168.1,173.3,174.0,175.7,182.4,188.6,194.9,202.2,206.3,210.3,226.0,2510.0,5380.0
"2015","Total","Craft and related trades workers (7)","Men","Total earnings",611,412,460,480,500,536,577,626,679,717,759,854,2160,4750
"2015","Total","Craft and related trades workers (7)","Men","Hours paid",193.2,167.7,173.3,174.1,176.6,183.4,189.6,195.4,202.8,206.8,210.9,226.5,2160.0,4750.0
"2015","Total","Craft and related trades workers (7)","Women","Total earnings",417,285,329,344,356,379,401,426,456,474,489,551,350,630
"2015","Total","Craft and related trades workers (7)","Women","Hours paid",189.2,170.0,173.3,173.4,174.4,176.3,182.7,188.0,195.8,200.8,204.7,219.2,350.0,630.0
"2015","Total","Plant and machine operators and assemblers (8)","Total","Total earnings",518,357,406,425,445,485,515,544,579,596,616,676,2290,4010
"2015","Total","Plant and machine operators and assemblers (8)","Total","Hours paid",200.0,170.3,174.2,177.5,181.0,185.5,192.9,200.9,210.6,217.0,224.6,243.7,2290.0,4010.0
"2015","Total","Plant and machine operators and assemblers (8)","Men","Total earnings",525,365,416,435,455,491,522,549,585,602,621,684,2030,3640
"2015","Total","Plant and machine operators and assemblers (8)","Men","Hours paid",201.7,170.6,175.0,178.7,181.9,186.6,194.7,203.1,214.0,219.5,226.1,245.8,2030.0,3640.0
"2015","Total","Plant and machine operators and assemblers (8)","Women","Total earnings",451,310,352,368,376,401,423,472,518,536,550,602,260,370
"2015","Total","Plant and machine operators and assemblers (8)","Women","Hours paid",183.9,166.3,171.8,173.3,174.5,177.2,182.3,185.7,187.9,189.5,191.8,200.8,260.0,370.0
"2015","Total","Elementary occupations (9)","Total","Total earnings",431,308,339,353,366,388,414,441,475,494,514,576,2420,3580
"2015","Total","Elementary occupations (9)","Total","Hours paid",194.7,169.8,174.5,177.2,179.4,184.7,190.5,196.1,202.8,206.7,212.5,226.2,2420.0,3580.0
"2015","Total","Elementary occupations (9)","Men","Total earnings",449,326,356,371,382,405,432,461,494,509,531,591,1700,2680
"2015","Total","Elementary occupations (9)","Men","Hours paid",197.8,171.4,177.2,179.2,182.1,188.4,193.7,199.5,206.7,210.9,216.2,229.9,1700.0,2680.0
"2015","Total","Elementary occupations (9)","Women","Total earnings",380,283,305,315,327,347,366,385,409,422,448,503,710,900
"2015","Total","Elementary occupations (9)","Women","Hours paid",185.5,166.3,172.4,173.3,174.1,177.3,181.3,185.5,190.3,194.4,197.6,209.1,710.0,900.0
"2015","Total","Craft workers","Total","Total earnings",633,441,480,502,523,556,595,649,706,742,775,881,1670,3830
"2015","Total","Craft workers","Total","Hours paid",191.3,167.5,173.3,173.5,175.3,181.8,187.9,193.3,200.2,204.6,209.2,220.8,1670.0,3830.0
"2015","Total","Craft workers","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Total","Craft workers","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Total","Craft workers","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Total","Craft workers","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Total","General, machine and specialized workers","Total","Total earnings",477,323,364,380,396,427,461,498,535,556,581,649,5550,9140
"2015","Total","General, machine and specialized workers","Total","Hours paid",197.3,170.0,174.1,176.8,179.6,184.7,191.6,197.9,206.4,211.7,217.8,234.6,5550.0,9140.0
"2015","Total","General, machine and specialized workers","Men","Total earnings",496,338,383,400,417,450,485,516,552,575,598,666,4260,7320
"2015","Total","General, machine and specialized workers","Men","Hours paid",199.9,170.8,175.7,178.7,182.0,187.8,194.2,201.7,210.1,215.9,221.8,238.3,4260.0,7320.0
"2015","Total","General, machine and specialized workers","Women","Total earnings",400,287,315,329,342,364,383,406,435,457,478,538,1290,1820
"2015","Total","General, machine and specialized workers","Women","Hours paid",186.7,167.4,172.9,173.3,174.3,177.2,182.0,186.4,191.1,195.4,199.5,213.9,1290.0,1820.0
"2015","Manufacturing (C)","Total","Total","Total earnings",597,361,406,428,449,497,540,588,645,682,729,860,5240,9350
"2015","Manufacturing (C)","Total","Total","Hours paid",185.3,162.5,166.3,170.9,172.9,173.4,177.2,182.9,190.3,195.6,201.8,221.0,5240.0,9350.0
"2015","Manufacturing (C)","Total","Men","Total earnings",618,376,423,447,473,523,564,609,668,705,752,880,3760,7210
"2015","Manufacturing (C)","Total","Men","Hours paid",187.1,162.5,167.3,171.2,173.3,173.5,178.9,184.8,193.9,199.1,205.3,225.1,3760.0,7210.0
"2015","Manufacturing (C)","Total","Women","Total earnings",526,342,375,388,401,431,468,505,551,584,628,774,1480,2140
"2015","Manufacturing (C)","Total","Women","Hours paid",179.1,162.5,165.0,168.7,171.4,173.3,173.4,176.7,182.5,185.3,189.3,201.6,1480.0,2140.0
"2015","Manufacturing (C)","Managers (1)","Total","Total earnings",1103,609,718,744,777,855,935,1016,1140,1239,1360,1823,440,810
"2015","Manufacturing (C)","Managers (1)","Total","Hours paid",169.0,156.0,162.5,162.5,162.5,165.0,171.5,173.3,173.3,173.3,173.3,173.4,440.0,810.0
"2015","Manufacturing (C)","Managers (1)","Men","Total earnings",1123,632,723,752,777,864,957,1016,1162,1249,1373,1930,340,650
"2015","Manufacturing (C)","Managers (1)","Men","Hours paid",168.9,156.0,162.5,162.5,162.5,162.5,169.7,173.3,173.3,173.3,173.3,173.4,340.0,650.0
"2015","Manufacturing (C)","Managers (1)","Women","Total earnings",1023,588,702,727,774,823,885,984,1113,1149,1243,1373,100,160
"2015","Manufacturing (C)","Managers (1)","Women","Hours paid",169.4,157.0,162.5,162.5,164.8,165.0,173.2,173.3,173.3,173.4,173.4,173.4,100.0,160.0
"2015","Manufacturing (C)","Professionals (2)","Total","Total earnings",788,555,610,636,663,716,760,807,866,898,936,1030,550,660
"2015","Manufacturing (C)","Professionals (2)","Total","Hours paid",170.6,156.0,162.5,162.5,162.5,165.4,172.6,173.3,173.4,173.4,173.4,179.3,550.0,660.0
"2015","Manufacturing (C)","Professionals (2)","Men","Total earnings",831,600,651,682,714,758,810,852,902,936,976,1072,300,410
"2015","Manufacturing (C)","Professionals (2)","Men","Hours paid",170.5,156.0,162.5,162.5,162.5,164.6,168.7,173.2,173.3,173.3,173.4,186.9,300.0,410.0
"2015","Manufacturing (C)","Professionals (2)","Women","Total earnings",719,531,574,605,613,655,698,729,790,801,861,957,240,260
"2015","Manufacturing (C)","Professionals (2)","Women","Hours paid",170.8,161.3,162.5,165.0,166.4,172.5,173.2,173.4,173.4,173.4,173.4,175.7,240.0,260.0
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Total","Total earnings",628,433,479,490,511,565,599,647,702,723,748,856,440,670
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Total","Hours paid",174.6,162.3,162.5,164.3,166.3,171.9,173.3,173.3,173.4,173.6,175.5,192.8,440.0,670.0
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Men","Total earnings",682,447,540,565,582,611,671,709,747,779,820,926,280,430
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Men","Hours paid",176.4,162.5,162.5,165.7,168.5,173.3,173.3,173.3,173.4,174.7,179.7,198.9,280.0,430.0
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Women","Total earnings",533,400,441,452,476,490,511,538,579,598,628,686,160,240
"2015","Manufacturing (C)","Technicians and associate professionals (3)","Women","Hours paid",171.6,161.4,162.5,162.5,165.0,170.3,173.0,173.3,173.3,173.4,173.6,181.0,160.0,240.0
"2015","Manufacturing (C)","Clerks (4)","Total","Total earnings",498,352,393,402,416,443,478,506,540,558,592,690,210,430
"2015","Manufacturing (C)","Clerks (4)","Total","Hours paid",171.0,158.1,162.5,162.5,162.5,163.9,170.0,173.3,173.4,174.6,176.9,184.9,210.0,430.0
"2015","Manufacturing (C)","Clerks (4)","Men","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Manufacturing (C)","Clerks (4)","Men","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Manufacturing (C)","Clerks (4)","Women","Total earnings",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Manufacturing (C)","Clerks (4)","Women","Hours paid",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Total earnings",472,342,384,396,407,425,454,489,509,525,563,620,180,470
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Total","Hours paid",177.7,162.5,164.6,167.2,170.7,171.8,173.6,175.9,180.3,182.4,185.2,203.5,180.0,470.0
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Total earnings",481,343,383,401,410,436,480,500,525,563,571,629,130,340
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Men","Hours paid",178.1,162.5,165.0,167.2,171.2,173.2,173.6,176.0,178.4,182.4,187.1,204.8,130.0,340.0
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Total earnings",446,339,385,393,399,411,419,443,479,489,493,532,50,130
"2015","Manufacturing (C)","Service workers and shop and market sales workers (5)","Women","Hours paid",176.7,162.3,164.3,165.1,166.7,171.4,173.3,175.7,180.5,182.5,184.6,193.1,50.0,130.0
"2015","Manufacturing (C)","Craft and related trades workers (7)","Total","Total earnings",569,379,422,442,462,507,547,590,644,675,711,805,1310,2780
"2015","Manufacturing (C)","Craft and related trades workers (7)","Total","Hours paid",191.8,164.4,172.2,173.3,174.3,179.7,185.1,192.2,200.8,205.6,212.0,228.1,1310.0,2780.0
"2015","Manufacturing (C)","Craft and related trades workers (7)","Men","Total earnings",590,396,442,466,486,535,569,616,668,696,738,818,1010,2360
"2015","Manufacturing (C)","Craft and related trades workers (7)","Men","Hours paid",191.1,163.1,171.2,173.3,173.6,178.5,183.8,191.1,199.9,205.3,211.6,228.6,1010.0,2360.0
"2015","Manufacturing (C)","Craft and related trades workers (7)","Women","Total earnings",448,346,372,378,385,404,431,452,479,489,510,565,290,420
"2015","Manufacturing (C)","Craft and related trades workers (7)","Women","Hours paid",195.7,172.6,175.0,177.4,180.9,184.7,190.2,198.0,203.7,209.1,212.8,227.6,290.0,420.0
"2015","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Total earnings",522,360,403,418,438,484,521,548,585,602,622,683,1410,2450
"2015","Manufacturing (C)","Plant and machine operators and assemblers (8)","Total","Hours paid",191.9,166.5,172.3,173.3,175.6,181.0,184.6,189.8,197.6,203.6,210.2,231.2,1410.0,2450.0
"2015","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Total earnings",533,368,413,433,454,495,529,560,594,608,628,692,1180,2130
"2015","Manufacturing (C)","Plant and machine operators and assemblers (8)","Men","Hours paid",193.6,167.0,172.3,173.4,176.4,181.6,185.3,192.8,201.3,207.5,214.6,234.9,1180.0,2130.0
"2015","Manufacturing (C)","Plant and machine operators and assemblers (8)","Women","Total earnings",451,320,357,368,379,401,422,472,517,536,544,597,220,320
