Year,Sex,Age,Education,Income and taxes,Unit,Value
1995,Women,Total,Upper secondary education: general,Taxes,Number - total,10575000.0
1995,Women,16 - 24 years,Upper secondary education: general,Taxes,Number - total,4489000.0
1995,Women,75 years and over,Upper secondary education: general,Taxes,Number - total,28000.0
1995,Total,Total,Tertiary education,Taxes,Number - total,24508000.0
1995,Total,16 - 24 years,Tertiary education,Taxes,Number - total,490000.0
1995,Total,75 years and over,Tertiary education,Taxes,Number - total,357000.0
1995,Men,Total,Tertiary education,Taxes,Number - total,12675000.0
1995,Men,16 - 24 years,Tertiary education,Taxes,Number - total,221000.0
1995,Men,75 years and over,Tertiary education,Taxes,Number - total,282000.0
1995,Women,Total,Tertiary education,Taxes,Number - total,11833000.0
1995,Women,16 - 24 years,Tertiary education,Taxes,Number - total,269000.0
1995,Women,75 years and over,Tertiary education,Taxes,Number - total,75000.0
1995,Total,Total,Short-cycle tertiary education,Taxes,Number - total,3934000.0
1995,Men,Total,Short-cycle tertiary education,Taxes,Number - total,1309000.0
1995,Women,Total,Short-cycle tertiary education,Taxes,Number - total,2625000.0
1995,Total,Total,Bachelor's or equivalent level,Taxes,Number - total,11859000.0
1995,Men,Total,Bachelor's or equivalent level,Taxes,Number - total,5134000.0
1995,Women,Total,Bachelor's or equivalent level,Taxes,Number - total,6725000.0
1995,Total,Total,Master's or equivalent level,Taxes,Number - total,5821000.0
1995,Men,Total,Master's or equivalent level,Taxes,Number - total,4272000.0
1995,Women,Total,Master's or equivalent level,Taxes,Number - total,1549000.0
1995,Total,Total,Doctoral or equivalent level,Taxes,Number - total,811000.0
1995,Men,Total,Doctoral or equivalent level,Taxes,Number - total,683000.0
1995,Women,Total,Doctoral or equivalent level,Taxes,Number - total,128000.0
1995,Total,Total,Total,Taxes,Standard deviation - total,423000.0
1995,Total,16 - 24 years,Total,Taxes,Standard deviation - total,140000.0
1995,Total,75 years and over,Total,Taxes,Standard deviation - total,399000.0
1995,Men,Total,Total,Taxes,Standard deviation - total,531000.0
1995,Men,16 - 24 years,Total,Taxes,Standard deviation - total,178000.0
1995,Men,75 years and over,Total,Taxes,Standard deviation - total,599000.0
1995,Women,Total,Total,Taxes,Standard deviation - total,214000.0
1995,Women,16 - 24 years,Total,Taxes,Standard deviation - total,72000.0
1995,Women,75 years and over,Total,Taxes,Standard deviation - total,140000.0
1995,Total,Total,Basic education,Taxes,Standard deviation - total,258000.0
1995,Total,16 - 24 years,Basic education,Taxes,Standard deviation - total,137000.0
1995,Total,75 years and over,Basic education,Taxes,Standard deviation - total,117000.0
1995,Men,Total,Basic education,Taxes,Standard deviation - total,342000.0
1995,Men,16 - 24 years,Basic education,Taxes,Standard deviation - total,174000.0
1995,Men,75 years and over,Basic education,Taxes,Standard deviation - total,149000.0
1995,Women,Total,Basic education,Taxes,Standard deviation - total,151000.0
1995,Women,16 - 24 years,Basic education,Taxes,Standard deviation - total,60000.0
1995,Women,75 years and over,Basic education,Taxes,Standard deviation - total,98000.0
1995,Total,Total,Upper secondary education,Taxes,Standard deviation - total,439000.0
1995,Total,16 - 24 years,Upper secondary education,Taxes,Standard deviation - total,145000.0
1995,Total,75 years and over,Upper secondary education,Taxes,Standard deviation - total,822000.0
1995,Men,Total,Upper secondary education,Taxes,Standard deviation - total,509000.0
1995,Men,16 - 24 years,Upper secondary education,Taxes,Standard deviation - total,187000.0
1995,Men,75 years and over,Upper secondary education,Taxes,Standard deviation - total,959000.0
1995,Women,Total,Upper secondary education,Taxes,Standard deviation - total,216000.0
1995,Women,16 - 24 years,Upper secondary education,Taxes,Standard deviation - total,88000.0
1995,Women,75 years and over,Upper secondary education,Taxes,Standard deviation - total,306000.0
1995,Total,Total,Upper secondary education: vocational,Taxes,Standard deviation - total,476000.0
1995,Total,16 - 24 years,Upper secondary education: vocational,Taxes,Standard deviation - total,210000.0
1995,Total,75 years and over,Upper secondary education: vocational,Taxes,Standard deviation - total,830000.0
1995,Men,Total,Upper secondary education: vocational,Taxes,Standard deviation - total,527000.0
1995,Men,16 - 24 years,Upper secondary education: vocational,Taxes,Standard deviation - total,245000.0
1995,Men,75 years and over,Upper secondary education: vocational,Taxes,Standard deviation - total,967000.0
1995,Women,Total,Upper secondary education: vocational,Taxes,Standard deviation - total,230000.0
1995,Women,16 - 24 years,Upper secondary education: vocational,Taxes,Standard deviation - total,103000.0
1995,Women,75 years and over,Upper secondary education: vocational,Taxes,Standard deviation - total,302000.0
1995,Total,Total,Upper secondary education: general,Taxes,Standard deviation - total,294000.0
1995,Total,16 - 24 years,Upper secondary education: general,Taxes,Standard deviation - total,107000.0
1995,Total,75 years and over,Upper secondary education: general,Taxes,Standard deviation - total,397000.0
1995,Men,Total,Upper secondary education: general,Taxes,Standard deviation - total,389000.0
1995,Men,16 - 24 years,Upper secondary education: general,Taxes,Standard deviation - total,132000.0
1995,Men,75 years and over,Upper secondary education: general,Taxes,Standard deviation - total,409000.0
1995,Women,Total,Upper secondary education: general,Taxes,Standard deviation - total,192000.0
1995,Women,16 - 24 years,Upper secondary education: general,Taxes,Standard deviation - total,84000.0
1995,Women,75 years and over,Upper secondary education: general,Taxes,Standard deviation - total,387000.0
1995,Total,Total,Tertiary education,Taxes,Standard deviation - total,657000.0
1995,Total,16 - 24 years,Tertiary education,Taxes,Standard deviation - total,149000.0
1995,Total,75 years and over,Tertiary education,Taxes,Standard deviation - total,661000.0
1995,Men,Total,Tertiary education,Taxes,Standard deviation - total,788000.0
1995,Men,16 - 24 years,Tertiary education,Taxes,Standard deviation - total,190000.0
1995,Men,75 years and over,Tertiary education,Taxes,Standard deviation - total,715000.0
1995,Women,Total,Tertiary education,Taxes,Standard deviation - total,334000.0
1995,Women,16 - 24 years,Tertiary education,Taxes,Standard deviation - total,92000.0
1995,Women,75 years and over,Tertiary education,Taxes,Standard deviation - total,350000.0
1995,Total,Total,Short-cycle tertiary education,Taxes,Standard deviation - total,364000.0
1995,Men,Total,Short-cycle tertiary education,Taxes,Standard deviation - total,480000.0
1995,Women,Total,Short-cycle tertiary education,Taxes,Standard deviation - total,249000.0
1995,Total,Total,Bachelor's or equivalent level,Taxes,Standard deviation - total,483000.0
1995,Men,Total,Bachelor's or equivalent level,Taxes,Standard deviation - total,604000.0
1995,Women,Total,Bachelor's or equivalent level,Taxes,Standard deviation - total,273000.0
1995,Total,Total,Master's or equivalent level,Taxes,Standard deviation - total,914000.0
1995,Men,Total,Master's or equivalent level,Taxes,Standard deviation - total,980000.0
1995,Women,Total,Master's or equivalent level,Taxes,Standard deviation - total,522000.0
1995,Total,Total,Doctoral or equivalent level,Taxes,Standard deviation - total,876000.0
1995,Men,Total,Doctoral or equivalent level,Taxes,Standard deviation - total,890000.0
1995,Women,Total,Doctoral or equivalent level,Taxes,Standard deviation - total,687000.0
1995,Total,Total,Total,Disposable income,Mean - total,1083000.0
1995,Total,16 - 24 years,Total,Disposable income,Mean - total,615000.0
1995,Total,75 years and over,Total,Disposable income,Mean - total,839000.0
1995,Men,Total,Total,Disposable income,Mean - total,1340000.0
1995,Men,16 - 24 years,Total,Disposable income,Mean - total,690000.0
1995,Men,75 years and over,Total,Disposable income,Mean - total,958000.0
1995,Women,Total,Total,Disposable income,Mean - total,832000.0
1995,Women,16 - 24 years,Total,Disposable income,Mean - total,539000.0
1995,Women,75 years and over,Total,Disposable income,Mean - total,755000.0
1995,Total,Total,Basic education,Disposable income,Mean - total,882000.0
1995,Total,16 - 24 years,Basic education,Disposable income,Mean - total,587000.0
1995,Total,75 years and over,Basic education,Disposable income,Mean - total,771000.0
1995,Men,Total,Basic education,Disposable income,Mean - total,1064000.0
1995,Men,16 - 24 years,Basic education,Disposable income,Mean - total,663000.0
1995,Men,75 years and over,Basic education,Disposable income,Mean - total,850000.0
1995,Women,Total,Basic education,Disposable income,Mean - total,754000.0
1995,Women,16 - 24 years,Basic education,Disposable income,Mean - total,501000.0
1995,Women,75 years and over,Basic education,Disposable income,Mean - total,733000.0
1995,Total,Total,Upper secondary education,Disposable income,Mean - total,1192000.0
1995,Total,16 - 24 years,Upper secondary education,Disposable income,Mean - total,672000.0
1995,Total,75 years and over,Upper secondary education,Disposable income,Mean - total,1002000.0
1995,Men,Total,Upper secondary education,Disposable income,Mean - total,1421000.0
1995,Men,16 - 24 years,Upper secondary education,Disposable income,Mean - total,755000.0
1995,Men,75 years and over,Upper secondary education,Disposable income,Mean - total,1047000.0
1995,Women,Total,Upper secondary education,Disposable income,Mean - total,846000.0
1995,Women,16 - 24 years,Upper secondary education,Disposable income,Mean - total,603000.0
1995,Women,75 years and over,Upper secondary education,Disposable income,Mean - total,893000.0
1995,Total,Total,Upper secondary education: vocational,Disposable income,Mean - total,1330000.0
1995,Total,16 - 24 years,Upper secondary education: vocational,Disposable income,Mean - total,870000.0
1995,Total,75 years and over,Upper secondary education: vocational,Disposable income,Mean - total,995000.0
1995,Men,Total,Upper secondary education: vocational,Disposable income,Mean - total,1514000.0
1995,Men,16 - 24 years,Upper secondary education: vocational,Disposable income,Mean - total,988000.0
1995,Men,75 years and over,Upper secondary education: vocational,Disposable income,Mean - total,1040000.0
1995,Women,Total,Upper secondary education: vocational,Disposable income,Mean - total,918000.0
1995,Women,16 - 24 years,Upper secondary education: vocational,Disposable income,Mean - total,700000.0
1995,Women,75 years and over,Upper secondary education: vocational,Disposable income,Mean - total,884000.0
1995,Total,Total,Upper secondary education: general,Disposable income,Mean - total,861000.0
1995,Total,16 - 24 years,Upper secondary education: general,Disposable income,Mean - total,607000.0
1995,Total,75 years and over,Upper secondary education: general,Disposable income,Mean - total,1272000.0
1995,Men,Total,Upper secondary education: general,Disposable income,Mean - total,1027000.0
1995,Men,16 - 24 years,Upper secondary education: general,Disposable income,Mean - total,644000.0
1995,Men,75 years and over,Upper secondary education: general,Disposable income,Mean - total,1408000.0
1995,Women,Total,Upper secondary education: general,Disposable income,Mean - total,753000.0
1995,Women,16 - 24 years,Upper secondary education: general,Disposable income,Mean - total,581000.0
1995,Women,75 years and over,Upper secondary education: general,Disposable income,Mean - total,1111000.0
1995,Total,Total,Tertiary education,Disposable income,Mean - total,1566000.0
1995,Total,16 - 24 years,Tertiary education,Disposable income,Mean - total,764000.0
1995,Total,75 years and over,Tertiary education,Disposable income,Mean - total,1562000.0
1995,Men,Total,Tertiary education,Disposable income,Mean - total,1939000.0
1995,Men,16 - 24 years,Tertiary education,Disposable income,Mean - total,834000.0
1995,Men,75 years and over,Tertiary education,Disposable income,Mean - total,1605000.0
1995,Women,Total,Tertiary education,Disposable income,Mean - total,1166000.0
1995,Women,16 - 24 years,Tertiary education,Disposable income,Mean - total,706000.0
1995,Women,75 years and over,Tertiary education,Disposable income,Mean - total,1397000.0
1995,Total,Total,Short-cycle tertiary education,Disposable income,Mean - total,1232000.0
1995,Men,Total,Short-cycle tertiary education,Disposable income,Mean - total,1542000.0
1995,Women,Total,Short-cycle tertiary education,Disposable income,Mean - total,1077000.0
1995,Total,Total,Bachelor's or equivalent level,Disposable income,Mean - total,1406000.0
1995,Men,Total,Bachelor's or equivalent level,Disposable income,Mean - total,1749000.0
1995,Women,Total,Bachelor's or equivalent level,Disposable income,Mean - total,1144000.0
1995,Total,Total,Master's or equivalent level,Disposable income,Mean - total,2088000.0
1995,Men,Total,Master's or equivalent level,Disposable income,Mean - total,2326000.0
1995,Women,Total,Master's or equivalent level,Disposable income,Mean - total,1430000.0
1995,Total,Total,Doctoral or equivalent level,Disposable income,Mean - total,2229000.0
1995,Men,Total,Doctoral or equivalent level,Disposable income,Mean - total,2352000.0
1995,Women,Total,Doctoral or equivalent level,Disposable income,Mean - total,1574000.0
1995,Total,Total,Total,Disposable income,Median - total,924000.0
1995,Total,16 - 24 years,Total,Disposable income,Median - total,571000.0
1995,Total,75 years and over,Total,Disposable income,Median - total,770000.0
1995,Men,Total,Total,Disposable income,Median - total,1178000.0
1995,Men,16 - 24 years,Total,Disposable income,Median - total,630000.0
1995,Men,75 years and over,Total,Disposable income,Median - total,820000.0
1995,Women,Total,Total,Disposable income,Median - total,794000.0
1995,Women,16 - 24 years,Total,Disposable income,Median - total,520000.0
1995,Women,75 years and over,Total,Disposable income,Median - total,745000.0
1995,Total,Total,Basic education,Disposable income,Median - total,799000.0
1995,Total,16 - 24 years,Basic education,Disposable income,Median - total,528000.0
1995,Total,75 years and over,Basic education,Disposable income,Median - total,753000.0
1995,Men,Total,Basic education,Disposable income,Median - total,931000.0
1995,Men,16 - 24 years,Basic education,Disposable income,Median - total,597000.0
1995,Men,75 years and over,Basic education,Disposable income,Median - total,783000.0
1995,Women,Total,Basic education,Disposable income,Median - total,749000.0
1995,Women,16 - 24 years,Basic education,Disposable income,Median - total,468000.0
1995,Women,75 years and over,Basic education,Disposable income,Median - total,740000.0
1995,Total,Total,Upper secondary education,Disposable income,Median - total,1048000.0
1995,Total,16 - 24 years,Upper secondary education,Disposable income,Median - total,633000.0
1995,Total,75 years and over,Upper secondary education,Disposable income,Median - total,860000.0
1995,Men,Total,Upper secondary education,Disposable income,Median - total,1285000.0
1995,Men,16 - 24 years,Upper secondary education,Disposable income,Median - total,691000.0
1995,Men,75 years and over,Upper secondary education,Disposable income,Median - total,875000.0
1995,Women,Total,Upper secondary education,Disposable income,Median - total,813000.0
1995,Women,16 - 24 years,Upper secondary education,Disposable income,Median - total,593000.0
1995,Women,75 years and over,Upper secondary education,Disposable income,Median - total,821000.0
1995,Total,Total,Upper secondary education: vocational,Disposable income,Median - total,1181000.0
1995,Total,16 - 24 years,Upper secondary education: vocational,Disposable income,Median - total,802000.0
1995,Total,75 years and over,Upper secondary education: vocational,Disposable income,Median - total,856000.0
1995,Men,Total,Upper secondary education: vocational,Disposable income,Median - total,1359000.0
1995,Men,16 - 24 years,Upper secondary education: vocational,Disposable income,Median - total,922000.0
1995,Men,75 years and over,Upper secondary education: vocational,Disposable income,Median - total,870000.0
1995,Women,Total,Upper secondary education: vocational,Disposable income,Median - total,887000.0
1995,Women,16 - 24 years,Upper secondary education: vocational,Disposable income,Median - total,697000.0
1995,Women,75 years and over,Upper secondary education: vocational,Disposable income,Median - total,814000.0
1995,Total,Total,Upper secondary education: general,Disposable income,Median - total,753000.0
1995,Total,16 - 24 years,Upper secondary education: general,Disposable income,Median - total,580000.0
1995,Total,75 years and over,Upper secondary education: general,Disposable income,Median - total,1070000.0
1995,Men,Total,Upper secondary education: general,Disposable income,Median - total,846000.0
1995,Men,16 - 24 years,Upper secondary education: general,Disposable income,Median - total,603000.0
1995,Men,75 years and over,Upper secondary education: general,Disposable income,Median - total,1118000.0
1995,Women,Total,Upper secondary education: general,Disposable income,Median - total,704000.0
1995,Women,16 - 24 years,Upper secondary education: general,Disposable income,Median - total,565000.0
1995,Women,75 years and over,Upper secondary education: general,Disposable income,Median - total,981000.0
1995,Total,Total,Tertiary education,Disposable income,Median - total,1395000.0
1995,Total,16 - 24 years,Tertiary education,Disposable income,Median - total,744000.0
1995,Total,75 years and over,Tertiary education,Disposable income,Median - total,1226000.0
1995,Men,Total,Tertiary education,Disposable income,Median - total,1780000.0
1995,Men,16 - 24 years,Tertiary education,Disposable income,Median - total,811000.0
1995,Men,75 years and over,Tertiary education,Disposable income,Median - total,1337000.0
1995,Women,Total,Tertiary education,Disposable income,Median - total,1134000.0
1995,Women,16 - 24 years,Tertiary education,Disposable income,Median - total,724000.0
1995,Women,75 years and over,Tertiary education,Disposable income,Median - total,945000.0
1995,Total,Total,Short-cycle tertiary education,Disposable income,Median - total,1169000.0
1995,Men,Total,Short-cycle tertiary education,Disposable income,Median - total,1520000.0
1995,Women,Total,Short-cycle tertiary education,Disposable income,Median - total,1053000.0
1995,Total,Total,Bachelor's or equivalent level,Disposable income,Median - total,1310000.0
1995,Men,Total,Bachelor's or equivalent level,Disposable income,Median - total,1706000.0
1995,Women,Total,Bachelor's or equivalent level,Disposable income,Median - total,1139000.0
1995,Total,Total,Master's or equivalent level,Disposable income,Median - total,1864000.0
1995,Men,Total,Master's or equivalent level,Disposable income,Median - total,2105000.0
1995,Women,Total,Master's or equivalent level,Disposable income,Median - total,1386000.0
1995,Total,Total,Doctoral or equivalent level,Disposable income,Median - total,2002000.0
1995,Men,Total,Doctoral or equivalent level,Disposable income,Median - total,2101000.0
1995,Women,Total,Doctoral or equivalent level,Disposable income,Median - total,1560000.0
1995,Total,Total,Total,Disposable income,Number - total,182027000.0
1995,Total,16 - 24 years,Total,Disposable income,Number - total,34478000.0
1995,Total,75 years and over,Total,Disposable income,Number - total,12451000.0
1995,Men,Total,Total,Disposable income,Number - total,89861000.0
1995,Men,16 - 24 years,Total,Disposable income,Number - total,17545000.0
1995,Men,75 years and over,Total,Disposable income,Number - total,5110000.0
1995,Women,Total,Total,Disposable income,Number - total,92166000.0
1995,Women,16 - 24 years,Total,Disposable income,Number - total,16933000.0
1995,Women,75 years and over,Total,Disposable income,Number - total,7341000.0
1995,Total,Total,Basic education,Disposable income,Number - total,93446000.0
1995,Total,16 - 24 years,Basic education,Disposable income,Number - total,23545000.0
1995,Total,75 years and over,Basic education,Disposable income,Number - total,9638000.0
1995,Men,Total,Basic education,Disposable income,Number - total,38643000.0
1995,Men,16 - 24 years,Basic education,Disposable income,Number - total,12597000.0
1995,Men,75 years and over,Basic education,Disposable income,Number - total,3100000.0
1995,Women,Total,Basic education,Disposable income,Number - total,54803000.0
1995,Women,16 - 24 years,Basic education,Disposable income,Number - total,10948000.0
1995,Women,75 years and over,Basic education,Disposable income,Number - total,6538000.0
1995,Total,Total,Upper secondary education,Disposable income,Number - total,64021000.0
1995,Total,16 - 24 years,Upper secondary education,Disposable income,Number - total,10407000.0
1995,Total,75 years and over,Upper secondary education,Disposable income,Number - total,2452000.0
1995,Men,Total,Upper secondary education,Disposable income,Number - total,38505000.0
1995,Men,16 - 24 years,Upper secondary education,Disposable income,Number - total,4697000.0
1995,Men,75 years and over,Upper secondary education,Disposable income,Number - total,1728000.0
1995,Women,Total,Upper secondary education,Disposable income,Number - total,25516000.0
1995,Women,16 - 24 years,Upper secondary education,Disposable income,Number - total,5710000.0
1995,Women,75 years and over,Upper secondary education,Disposable income,Number - total,724000.0
1995,Total,Total,Upper secondary education: vocational,Disposable income,Number - total,44758000.0
1995,Total,16 - 24 years,Upper secondary education: vocational,Disposable income,Number - total,2391000.0
1995,Total,75 years and over,Upper secondary education: vocational,Disposable income,Number - total,2390000.0
1995,Men,Total,Upper secondary education: vocational,Disposable income,Number - total,30901000.0
1995,Men,16 - 24 years,Upper secondary education: vocational,Disposable income,Number - total,1407000.0
1995,Men,75 years and over,Upper secondary education: vocational,Disposable income,Number - total,1695000.0
1995,Women,Total,Upper secondary education: vocational,Disposable income,Number - total,13857000.0
1995,Women,16 - 24 years,Upper secondary education: vocational,Disposable income,Number - total,984000.0
1995,Women,75 years and over,Upper secondary education: vocational,Disposable income,Number - total,695000.0
1995,Total,Total,Upper secondary education: general,Disposable income,Number - total,17480000.0
1995,Total,16 - 24 years,Upper secondary education: general,Disposable income,Number - total,7564000.0
1995,Total,75 years and over,Upper secondary education: general,Disposable income,Number - total,61000.0
1995,Men,Total,Upper secondary education: general,Disposable income,Number - total,6905000.0
1995,Men,16 - 24 years,Upper secondary education: general,Disposable income,Number - total,3075000.0
1995,Men,75 years and over,Upper secondary education: general,Disposable income,Number - total,33000.0
1995,Women,Total,Upper secondary education: general,Disposable income,Number - total,10575000.0
1995,Women,16 - 24 years,Upper secondary education: general,Disposable income,Number - total,4489000.0
1995,Women,75 years and over,Upper secondary education: general,Disposable income,Number - total,28000.0
1995,Total,Total,Tertiary education,Disposable income,Number - total,24508000.0
1995,Total,16 - 24 years,Tertiary education,Disposable income,Number - total,490000.0
1995,Total,75 years and over,Tertiary education,Disposable income,Number - total,357000.0
1995,Men,Total,Tertiary education,Disposable income,Number - total,12675000.0
1995,Men,16 - 24 years,Tertiary education,Disposable income,Number - total,221000.0
1995,Men,75 years and over,Tertiary education,Disposable income,Number - total,282000.0
1995,Women,Total,Tertiary education,Disposable income,Number - total,11833000.0
1995,Women,16 - 24 years,Tertiary education,Disposable income,Number - total,269000.0
1995,Women,75 years and over,Tertiary education,Disposable income,Number - total,75000.0
1995,Total,Total,Short-cycle tertiary education,Disposable income,Number - total,3934000.0
1995,Men,Total,Short-cycle tertiary education,Disposable income,Number - total,1309000.0
1995,Women,Total,Short-cycle tertiary education,Disposable income,Number - total,2625000.0
1995,Total,Total,Bachelor's or equivalent level,Disposable income,Number - total,11859000.0
1995,Men,Total,Bachelor's or equivalent level,Disposable income,Number - total,5134000.0
1995,Women,Total,Bachelor's or equivalent level,Disposable income,Number - total,6725000.0
1995,Total,Total,Master's or equivalent level,Disposable income,Number - total,5821000.0
1995,Men,Total,Master's or equivalent level,Disposable income,Number - total,4272000.0
1995,Women,Total,Master's or equivalent level,Disposable income,Number - total,1549000.0
1995,Total,Total,Doctoral or equivalent level,Disposable income,Number - total,811000.0
1995,Men,Total,Doctoral or equivalent level,Disposable income,Number - total,683000.0
1995,Women,Total,Doctoral or equivalent level,Disposable income,Number - total,128000.0
1995,Total,Total,Total,Disposable income,Standard deviation - total,820000.0
1995,Total,16 - 24 years,Total,Disposable income,Standard deviation - total,423000.0
1995,Total,75 years and over,Total,Disposable income,Standard deviation - total,918000.0
1995,Men,Total,Total,Disposable income,Standard deviation - total,968000.0
1995,Men,16 - 24 years,Total,Disposable income,Standard deviation - total,493000.0
1995,Men,75 years and over,Total,Disposable income,Standard deviation - total,1219000.0
1995,Women,Total,Total,Disposable income,Standard deviation - total,535000.0
1995,Women,16 - 24 years,Total,Disposable income,Standard deviation - total,317000.0
1995,Women,75 years and over,Total,Disposable income,Standard deviation - total,615000.0
1995,Total,Total,Basic education,Disposable income,Standard deviation - total,606000.0
1995,Total,16 - 24 years,Basic education,Disposable income,Standard deviation - total,432000.0
1995,Total,75 years and over,Basic education,Disposable income,Standard deviation - total,472000.0
1995,Men,Total,Basic education,Disposable income,Standard deviation - total,732000.0
1995,Men,16 - 24 years,Basic education,Disposable income,Standard deviation - total,501000.0
1995,Men,75 years and over,Basic education,Disposable income,Standard deviation - total,484000.0
1995,Women,Total,Basic education,Disposable income,Standard deviation - total,457000.0
1995,Women,16 - 24 years,Basic education,Disposable income,Standard deviation - total,314000.0
1995,Women,75 years and over,Basic education,Disposable income,Standard deviation - total,461000.0
1995,Total,Total,Upper secondary education,Disposable income,Standard deviation - total,868000.0
1995,Total,16 - 24 years,Upper secondary education,Disposable income,Standard deviation - total,395000.0
1995,Total,75 years and over,Upper secondary education,Disposable income,Standard deviation - total,1609000.0
1995,Men,Total,Upper secondary education,Disposable income,Standard deviation - total,969000.0
1995,Men,16 - 24 years,Upper secondary education,Disposable income,Standard deviation - total,465000.0
1995,Men,75 years and over,Upper secondary education,Disposable income,Standard deviation - total,1880000.0
1995,Women,Total,Upper secondary education,Disposable income,Standard deviation - total,523000.0
1995,Women,16 - 24 years,Upper secondary education,Disposable income,Standard deviation - total,309000.0
1995,Women,75 years and over,Upper secondary education,Disposable income,Standard deviation - total,564000.0
1995,Total,Total,Upper secondary education: vocational,Disposable income,Standard deviation - total,919000.0
1995,Total,16 - 24 years,Upper secondary education: vocational,Disposable income,Standard deviation - total,490000.0
1995,Total,75 years and over,Upper secondary education: vocational,Disposable income,Standard deviation - total,1624000.0
1995,Men,Total,Upper secondary education: vocational,Disposable income,Standard deviation - total,998000.0
1995,Men,16 - 24 years,Upper secondary education: vocational,Disposable income,Standard deviation - total,525000.0
1995,Men,75 years and over,Upper secondary education: vocational,Disposable income,Standard deviation - total,1894000.0
1995,Women,Total,Upper secondary education: vocational,Disposable income,Standard deviation - total,512000.0
1995,Women,16 - 24 years,Upper secondary education: vocational,Disposable income,Standard deviation - total,373000.0
1995,Women,75 years and over,Upper secondary education: vocational,Disposable income,Standard deviation - total,557000.0
1995,Total,Total,Upper secondary education: general,Disposable income,Standard deviation - total,628000.0
1995,Total,16 - 24 years,Upper secondary education: general,Disposable income,Standard deviation - total,334000.0
1995,Total,75 years and over,Upper secondary education: general,Disposable income,Standard deviation - total,769000.0
1995,Men,Total,Upper secondary education: general,Disposable income,Standard deviation - total,728000.0
1995,Men,16 - 24 years,Upper secondary education: general,Disposable income,Standard deviation - total,388000.0
1995,Men,75 years and over,Upper secondary education: general,Disposable income,Standard deviation - total,804000.0
1995,Women,Total,Upper secondary education: general,Disposable income,Standard deviation - total,526000.0
1995,Women,16 - 24 years,Upper secondary education: general,Disposable income,Standard deviation - total,288000.0
1995,Women,75 years and over,Upper secondary education: general,Disposable income,Standard deviation - total,705000.0
1995,Total,Total,Tertiary education,Disposable income,Standard deviation - total,1097000.0
1995,Total,16 - 24 years,Tertiary education,Disposable income,Standard deviation - total,396000.0
1995,Total,75 years and over,Tertiary education,Disposable income,Standard deviation - total,2190000.0
1995,Men,Total,Tertiary education,Disposable income,Standard deviation - total,1242000.0
1995,Men,16 - 24 years,Tertiary education,Disposable income,Standard deviation - total,469000.0
1995,Men,75 years and over,Tertiary education,Disposable income,Standard deviation - total,1461000.0
1995,Women,Total,Tertiary education,Disposable income,Standard deviation - total,729000.0
1995,Women,16 - 24 years,Tertiary education,Disposable income,Standard deviation - total,312000.0
1995,Women,75 years and over,Tertiary education,Disposable income,Standard deviation - total,3864000.0
1995,Total,Total,Short-cycle tertiary education,Disposable income,Standard deviation - total,643000.0
1995,Men,Total,Short-cycle tertiary education,Disposable income,Standard deviation - total,758000.0
1995,Women,Total,Short-cycle tertiary education,Disposable income,Standard deviation - total,511000.0
1995,Total,Total,Bachelor's or equivalent level,Disposable income,Standard deviation - total,832000.0
1995,Men,Total,Bachelor's or equivalent level,Disposable income,Standard deviation - total,951000.0
1995,Women,Total,Bachelor's or equivalent level,Disposable income,Standard deviation - total,610000.0
1995,Total,Total,Master's or equivalent level,Disposable income,Standard deviation - total,1470000.0
1995,Men,Total,Master's or equivalent level,Disposable income,Standard deviation - total,1548000.0
1995,Women,Total,Master's or equivalent level,Disposable income,Standard deviation - total,961000.0
1995,Total,Total,Doctoral or equivalent level,Disposable income,Standard deviation - total,1446000.0
1995,Men,Total,Doctoral or equivalent level,Disposable income,Standard deviation - total,1489000.0
1995,Women,Total,Doctoral or equivalent level,Disposable income,Standard deviation - total,955000.0
1996,Total,Total,Total,Total annual income,Mean - total,1450000.0
1996,Total,16 - 24 years,Total,Total annual income,Mean - total,733000.0
1996,Total,75 years and over,Total,Total annual income,Mean - total,964000.0
1996,Men,Total,Total,Total annual income,Mean - total,1869000.0
1996,Men,16 - 24 years,Total,Total annual income,Mean - total,853000.0
1996,Men,75 years and over,Total,Total annual income,Mean - total,1118000.0
1996,Women,Total,Total,Total annual income,Mean - total,1042000.0
1996,Women,16 - 24 years,Total,Total annual income,Mean - total,609000.0
1996,Women,75 years and over,Total,Total annual income,Mean - total,857000.0
1996,Total,Total,Basic education,Total annual income,Mean - total,1099000.0
1996,Total,16 - 24 years,Basic education,Total annual income,Mean - total,693000.0
1996,Total,75 years and over,Basic education,Total annual income,Mean - total,861000.0
1996,Men,Total,Basic education,Total annual income,Mean - total,1385000.0
1996,Men,16 - 24 years,Basic education,Total annual income,Mean - total,811000.0
1996,Men,75 years and over,Basic education,Total annual income,Mean - total,946000.0
1996,Women,Total,Basic education,Total annual income,Mean - total,897000.0
1996,Women,16 - 24 years,Basic education,Total annual income,Mean - total,558000.0
1996,Women,75 years and over,Basic education,Total annual income,Mean - total,821000.0
1996,Total,Total,Upper secondary education,Total annual income,Mean - total,1628000.0
1996,Total,16 - 24 years,Upper secondary education,Total annual income,Mean - total,817000.0
1996,Total,75 years and over,Upper secondary education,Total annual income,Mean - total,1199000.0
1996,Men,Total,Upper secondary education,Total annual income,Mean - total,1992000.0
