Year,Sex,Age,Unit,value
1993,Women,25 - 74 years,50%,86700
1993,Women,55 - 74 years,50%,82000
1993,Women,67 years and older,50%,76300
1993,Women,75 years and older,50%,76100
1993,Women,Total,60%,88900
1993,Women,16 - 24 years,60%,56600
1993,Women,16 - 64 years,60%,90900
1993,Women,16 - 74 years,60%,90200
1993,Women,18 - 66 years,60%,93500
1993,Women,25 - 54 years,60%,102100
1993,Women,25 - 64 years,60%,101500
1993,Women,25 - 74 years,60%,98900
1993,Women,55 - 74 years,60%,92100
1993,Women,67 years and older,60%,81800
1993,Women,75 years and older,60%,80100
1993,Women,Total,70%,102800
1993,Women,16 - 24 years,70%,66800
1993,Women,16 - 64 years,70%,106100
1993,Women,16 - 74 years,70%,104800
1993,Women,18 - 66 years,70%,108600
1993,Women,25 - 54 years,70%,118600
1993,Women,25 - 64 years,70%,117400
1993,Women,25 - 74 years,70%,114200
1993,Women,55 - 74 years,70%,104500
1993,Women,67 years and older,70%,90100
1993,Women,75 years and older,70%,86900
1993,Women,Total,80%,122300
1993,Women,16 - 24 years,80%,78000
1993,Women,16 - 64 years,80%,126800
1993,Women,16 - 74 years,80%,125000
1993,Women,18 - 66 years,80%,129000
1993,Women,25 - 54 years,80%,140000
1993,Women,25 - 64 years,80%,138600
1993,Women,25 - 74 years,80%,134900
1993,Women,55 - 74 years,80%,121900
1993,Women,67 years and older,80%,101500
1993,Women,75 years and older,80%,96800
1993,Women,Total,90%,156100
1993,Women,16 - 24 years,90%,95800
1993,Women,16 - 64 years,90%,160700
1993,Women,16 - 74 years,90%,158800
1993,Women,18 - 66 years,90%,162800
1993,Women,25 - 54 years,90%,174700
1993,Women,25 - 64 years,90%,172900
1993,Women,25 - 74 years,90%,169500
1993,Women,55 - 74 years,90%,152300
1993,Women,67 years and older,90%,121500
1993,Women,75 years and older,90%,112100
1993,Women,Total,95%,189900
1993,Women,16 - 24 years,95%,112100
1993,Women,16 - 64 years,95%,194500
1993,Women,16 - 74 years,95%,192500
1993,Women,18 - 66 years,95%,196700
1993,Women,25 - 54 years,95%,208300
1993,Women,25 - 64 years,95%,205900
1993,Women,25 - 74 years,95%,203100
1993,Women,55 - 74 years,95%,185800
1993,Women,67 years and older,95%,147600
1993,Women,75 years and older,95%,132400
1993,Women,Total,99%,281200
1993,Women,16 - 24 years,99%,147000
1993,Women,16 - 64 years,99%,282800
1993,Women,16 - 74 years,99%,283000
1993,Women,18 - 66 years,99%,286300
1993,Women,25 - 54 years,99%,300400
1993,Women,25 - 64 years,99%,299400
1993,Women,25 - 74 years,99%,298200
1993,Women,55 - 74 years,99%,289800
1993,Women,67 years and older,99%,254900
1993,Women,75 years and older,99%,239700
1993,Women,Total,Mean - conditional,86700
1993,Women,16 - 24 years,Mean - conditional,52100
1993,Women,16 - 64 years,Mean - conditional,87600
1993,Women,16 - 74 years,Mean - conditional,87400
1993,Women,18 - 66 years,Mean - conditional,90500
1993,Women,25 - 54 years,Mean - conditional,98200
1993,Women,25 - 64 years,Mean - conditional,97900
1993,Women,25 - 74 years,Mean - conditional,96400
1993,Women,55 - 74 years,Mean - conditional,91600
1993,Women,67 years and older,Mean - conditional,81700
1993,Women,75 years and older,Mean - conditional,78100
1993,Women,Total,Number - conditional,90600
1993,Women,16 - 24 years,Number - conditional,16934
1993,Women,16 - 64 years,Number - conditional,75053
1993,Women,16 - 74 years,Number - conditional,83554
1993,Women,18 - 66 years,Number - conditional,73269
1993,Women,25 - 54 years,Number - conditional,48304
1993,Women,25 - 64 years,Number - conditional,58119
1993,Women,25 - 74 years,Number - conditional,66620
1993,Women,55 - 74 years,Number - conditional,18316
1993,Women,67 years and older,Number - conditional,13670
1993,Women,75 years and older,Number - conditional,7046
1994,Total,Total,10%,30400
1994,Total,16 - 24 years,10%,14700
1994,Total,16 - 64 years,10%,28600
1994,Total,16 - 74 years,10%,30000
1994,Total,18 - 66 years,10%,35500
1994,Total,25 - 54 years,10%,45500
1994,Total,25 - 64 years,10%,45900
1994,Total,25 - 74 years,10%,45600
1994,Total,55 - 74 years,10%,46200
1994,Total,67 years and older,10%,43400
1994,Total,75 years and older,10%,40200
1994,Total,Total,20%,53300
1994,Total,16 - 24 years,20%,25000
1994,Total,16 - 64 years,20%,51900
1994,Total,16 - 74 years,20%,53000
1994,Total,18 - 66 years,20%,58400
1994,Total,25 - 54 years,20%,69800
1994,Total,25 - 64 years,20%,69400
1994,Total,25 - 74 years,20%,67800
1994,Total,55 - 74 years,20%,63600
1994,Total,67 years and older,20%,57400
1994,Total,75 years and older,20%,55900
1994,Total,Total,30%,69000
1994,Total,16 - 24 years,30%,33900
1994,Total,16 - 64 years,30%,69400
1994,Total,16 - 74 years,30%,69600
1994,Total,18 - 66 years,30%,74200
1994,Total,25 - 54 years,30%,87000
1994,Total,25 - 64 years,30%,86100
1994,Total,25 - 74 years,30%,82900
1994,Total,55 - 74 years,30%,75600
1994,Total,67 years and older,30%,67200
1994,Total,75 years and older,30%,65700
1994,Total,Total,40%,82500
1994,Total,16 - 24 years,40%,43400
1994,Total,16 - 64 years,40%,85500
1994,Total,16 - 74 years,40%,84600
1994,Total,18 - 66 years,40%,90300
1994,Total,25 - 54 years,40%,105800
1994,Total,25 - 64 years,40%,104000
1994,Total,25 - 74 years,40%,99300
1994,Total,55 - 74 years,40%,87800
1994,Total,67 years and older,40%,75100
1994,Total,75 years and older,40%,72300
1994,Total,Total,50%,98400
1994,Total,16 - 24 years,50%,54200
1994,Total,16 - 64 years,50%,104100
1994,Total,16 - 74 years,50%,102000
1994,Total,18 - 66 years,50%,109000
1994,Total,25 - 54 years,50%,127000
1994,Total,25 - 64 years,50%,124700
1994,Total,25 - 74 years,50%,118900
1994,Total,55 - 74 years,50%,100700
1994,Total,67 years and older,50%,81500
1994,Total,75 years and older,50%,77900
1994,Total,Total,60%,119100
1994,Total,16 - 24 years,60%,65500
1994,Total,16 - 64 years,60%,126900
1994,Total,16 - 74 years,60%,123800
1994,Total,18 - 66 years,60%,131400
1994,Total,25 - 54 years,60%,151200
1994,Total,25 - 64 years,60%,148300
1994,Total,25 - 74 years,60%,141700
1994,Total,55 - 74 years,60%,117900
1994,Total,67 years and older,60%,90300
1994,Total,75 years and older,60%,83700
1994,Total,Total,70%,146100
1994,Total,16 - 24 years,70%,76200
1994,Total,16 - 64 years,70%,155600
1994,Total,16 - 74 years,70%,151600
1994,Total,18 - 66 years,70%,159700
1994,Total,25 - 54 years,70%,180300
1994,Total,25 - 64 years,70%,177100
1994,Total,25 - 74 years,70%,170500
1994,Total,55 - 74 years,70%,140900
1994,Total,67 years and older,70%,101600
1994,Total,75 years and older,70%,92200
1994,Total,Total,80%,184300
1994,Total,16 - 24 years,80%,93900
1994,Total,16 - 64 years,80%,194200
1994,Total,16 - 74 years,80%,189900
1994,Total,18 - 66 years,80%,198100
1994,Total,25 - 54 years,80%,219000
1994,Total,25 - 64 years,80%,215600
1994,Total,25 - 74 years,80%,208800
1994,Total,55 - 74 years,80%,176600
1994,Total,67 years and older,80%,118900
1994,Total,75 years and older,80%,104900
1994,Total,Total,90%,249800
1994,Total,16 - 24 years,90%,123500
1994,Total,16 - 64 years,90%,259900
1994,Total,16 - 74 years,90%,255400
1994,Total,18 - 66 years,90%,263900
1994,Total,25 - 54 years,90%,285800
1994,Total,25 - 64 years,90%,283200
1994,Total,25 - 74 years,90%,275700
1994,Total,55 - 74 years,90%,238600
1994,Total,67 years and older,90%,157300
1994,Total,75 years and older,90%,124400
1994,Total,Total,95%,320300
1994,Total,16 - 24 years,95%,155100
1994,Total,16 - 64 years,95%,332000
1994,Total,16 - 74 years,95%,326900
1994,Total,18 - 66 years,95%,336500
1994,Total,25 - 54 years,95%,359300
1994,Total,25 - 64 years,95%,357400
1994,Total,25 - 74 years,95%,350500
1994,Total,55 - 74 years,95%,313600
1994,Total,67 years and older,95%,213600
1994,Total,75 years and older,95%,151400
1994,Total,Total,99%,518600
1994,Total,16 - 24 years,99%,253400
1994,Total,16 - 64 years,99%,530000
1994,Total,16 - 74 years,99%,527500
1994,Total,18 - 66 years,99%,537100
1994,Total,25 - 54 years,99%,554100
1994,Total,25 - 64 years,99%,564700
1994,Total,25 - 74 years,99%,557500
1994,Total,55 - 74 years,99%,569000
1994,Total,67 years and older,99%,412600
1994,Total,75 years and older,99%,287100
1994,Total,Total,Mean - conditional,127100
1994,Total,16 - 24 years,Mean - conditional,64600
1994,Total,16 - 64 years,Mean - conditional,131800
1994,Total,16 - 74 years,Mean - conditional,130100
1994,Total,18 - 66 years,Mean - conditional,136700
1994,Total,25 - 54 years,Mean - conditional,152700
1994,Total,25 - 64 years,Mean - conditional,151400
1994,Total,25 - 74 years,Mean - conditional,146800
1994,Total,55 - 74 years,Mean - conditional,130500
1994,Total,67 years and older,Mean - conditional,98500
1994,Total,75 years and older,Mean - conditional,85800
1994,Total,Total,Number - conditional,180799
1994,Total,16 - 24 years,Number - conditional,34279
1994,Total,16 - 64 years,Number - conditional,151978
1994,Total,16 - 74 years,Number - conditional,168626
1994,Total,18 - 66 years,Number - conditional,148329
1994,Total,25 - 54 years,Number - conditional,98445
1994,Total,25 - 64 years,Number - conditional,117699
1994,Total,25 - 74 years,Number - conditional,134347
1994,Total,55 - 74 years,Number - conditional,35902
1994,Total,67 years and older,Number - conditional,25085
1994,Total,75 years and older,Number - conditional,12173
1994,Men,Total,10%,43300
1994,Men,16 - 24 years,10%,15400
1994,Men,16 - 64 years,10%,40000
1994,Men,16 - 74 years,10%,42500
1994,Men,18 - 66 years,10%,51700
1994,Men,25 - 54 years,10%,71200
1994,Men,25 - 64 years,10%,70800
1994,Men,25 - 74 years,10%,69100
1994,Men,55 - 74 years,10%,65700
1994,Men,67 years and older,10%,58300
1994,Men,75 years and older,10%,54400
1994,Men,Total,20%,68900
1994,Men,16 - 24 years,20%,26400
1994,Men,16 - 64 years,20%,68700
1994,Men,16 - 74 years,20%,69500
1994,Men,18 - 66 years,20%,76600
1994,Men,25 - 54 years,20%,100500
1994,Men,25 - 64 years,20%,99100
1994,Men,25 - 74 years,20%,92900
1994,Men,55 - 74 years,20%,81200
1994,Men,67 years and older,20%,68400
1994,Men,75 years and older,20%,64800
1994,Men,Total,30%,87600
1994,Men,16 - 24 years,30%,37100
1994,Men,16 - 64 years,30%,92500
1994,Men,16 - 74 years,30%,91100
1994,Men,18 - 66 years,30%,101400
1994,Men,25 - 54 years,30%,127900
1994,Men,25 - 64 years,30%,125500
1994,Men,25 - 74 years,30%,118200
1994,Men,55 - 74 years,30%,97700
1994,Men,67 years and older,30%,76100
1994,Men,75 years and older,30%,71200
1994,Men,Total,40%,110800
1994,Men,16 - 24 years,40%,48600
1994,Men,16 - 64 years,40%,119500
1994,Men,16 - 74 years,40%,116400
1994,Men,18 - 66 years,40%,126500
1994,Men,25 - 54 years,40%,152700
1994,Men,25 - 64 years,40%,149700
1994,Men,25 - 74 years,40%,141600
1994,Men,55 - 74 years,40%,116000
1994,Men,67 years and older,40%,83700
1994,Men,75 years and older,40%,76800
1994,Men,Total,50%,135600
1994,Men,16 - 24 years,50%,61300
1994,Men,16 - 64 years,50%,145600
1994,Men,16 - 74 years,50%,141400
1994,Men,18 - 66 years,50%,152000
1994,Men,25 - 54 years,50%,177300
1994,Men,25 - 64 years,50%,174300
1994,Men,25 - 74 years,50%,166400
1994,Men,55 - 74 years,50%,135800
1994,Men,67 years and older,50%,93100
1994,Men,75 years and older,50%,83100
1994,Men,Total,60%,163900
1994,Men,16 - 24 years,60%,72500
1994,Men,16 - 64 years,60%,174200
1994,Men,16 - 74 years,60%,169700
1994,Men,18 - 66 years,60%,179700
1994,Men,25 - 54 years,60%,203700
1994,Men,25 - 64 years,60%,200400
1994,Men,25 - 74 years,60%,193100
1994,Men,55 - 74 years,60%,159900
1994,Men,67 years and older,60%,106200
1994,Men,75 years and older,60%,90300
1994,Men,Total,70%,196900
1994,Men,16 - 24 years,70%,89500
1994,Men,16 - 64 years,70%,206600
1994,Men,16 - 74 years,70%,202000
1994,Men,18 - 66 years,70%,211300
1994,Men,25 - 54 years,70%,235300
1994,Men,25 - 64 years,70%,231900
1994,Men,25 - 74 years,70%,224400
1994,Men,55 - 74 years,70%,188900
1994,Men,67 years and older,70%,123100
1994,Men,75 years and older,70%,101700
1994,Men,Total,80%,240200
1994,Men,16 - 24 years,80%,112400
1994,Men,16 - 64 years,80%,250100
1994,Men,16 - 74 years,80%,245500
1994,Men,18 - 66 years,80%,254400
1994,Men,25 - 54 years,80%,277400
1994,Men,25 - 64 years,80%,274500
1994,Men,25 - 74 years,80%,267300
1994,Men,55 - 74 years,80%,229900
1994,Men,67 years and older,80%,149100
1994,Men,75 years and older,80%,118300
1994,Men,Total,90%,313400
1994,Men,16 - 24 years,90%,149000
1994,Men,16 - 64 years,90%,324200
1994,Men,16 - 74 years,90%,319200
1994,Men,18 - 66 years,90%,329200
1994,Men,25 - 54 years,90%,352900
1994,Men,25 - 64 years,90%,351300
1994,Men,25 - 74 years,90%,343700
1994,Men,55 - 74 years,90%,306900
1994,Men,67 years and older,90%,206100
1994,Men,75 years and older,90%,144100
1994,Men,Total,95%,393600
1994,Men,16 - 24 years,95%,186600
1994,Men,16 - 64 years,95%,403500
1994,Men,16 - 74 years,95%,399400
1994,Men,18 - 66 years,95%,408700
1994,Men,25 - 54 years,95%,431600
1994,Men,25 - 64 years,95%,434000
1994,Men,25 - 74 years,95%,426600
1994,Men,55 - 74 years,95%,405000
1994,Men,67 years and older,95%,272900
1994,Men,75 years and older,95%,186400
1994,Men,Total,99%,613200
1994,Men,16 - 24 years,99%,301300
1994,Men,16 - 64 years,99%,620000
1994,Men,16 - 74 years,99%,618000
1994,Men,18 - 66 years,99%,626500
1994,Men,25 - 54 years,99%,648600
1994,Men,25 - 64 years,99%,666200
1994,Men,25 - 74 years,99%,660200
1994,Men,55 - 74 years,99%,706300
1994,Men,67 years and older,99%,538500
1994,Men,75 years and older,99%,386200
1994,Men,Total,Mean - conditional,164800
1994,Men,16 - 24 years,Mean - conditional,75100
1994,Men,16 - 64 years,Mean - conditional,171000
1994,Men,16 - 74 years,Mean - conditional,168600
1994,Men,18 - 66 years,Mean - conditional,177800
1994,Men,25 - 54 years,Mean - conditional,200800
1994,Men,25 - 64 years,Mean - conditional,199400
1994,Men,25 - 74 years,Mean - conditional,193100
1994,Men,55 - 74 years,Mean - conditional,171300
1994,Men,67 years and older,Mean - conditional,121900
1994,Men,75 years and older,Mean - conditional,99700
1994,Men,Total,Number - conditional,89313
1994,Men,16 - 24 years,Number - conditional,17471
1994,Men,16 - 64 years,Number - conditional,76393
1994,Men,16 - 74 years,Number - conditional,84333
1994,Men,18 - 66 years,Number - conditional,74491
1994,Men,25 - 54 years,Number - conditional,49413
1994,Men,25 - 64 years,Number - conditional,58922
1994,Men,25 - 74 years,Number - conditional,66862
1994,Men,55 - 74 years,Number - conditional,17449
1994,Men,67 years and older,Number - conditional,11078
1994,Men,75 years and older,Number - conditional,4980
1994,Women,Total,10%,23500
1994,Women,16 - 24 years,10%,14100
1994,Women,16 - 64 years,10%,22200
1994,Women,16 - 74 years,10%,23200
1994,Women,18 - 66 years,10%,26400
1994,Women,25 - 54 years,10%,29100
1994,Women,25 - 64 years,10%,30100
1994,Women,25 - 74 years,10%,30900
1994,Women,55 - 74 years,10%,34900
1994,Women,67 years and older,10%,34300
1994,Women,75 years and older,10%,29200
1994,Women,Total,20%,43000
1994,Women,16 - 24 years,20%,23700
1994,Women,16 - 64 years,20%,40900
1994,Women,16 - 74 years,20%,42100
1994,Women,18 - 66 years,20%,45900
1994,Women,25 - 54 years,20%,53800
1994,Women,25 - 64 years,20%,54000
1994,Women,25 - 74 years,20%,53000
1994,Women,55 - 74 years,20%,51400
1994,Women,67 years and older,20%,49400
1994,Women,75 years and older,20%,49200
1994,Women,Total,30%,57400
1994,Women,16 - 24 years,30%,31500
1994,Women,16 - 64 years,30%,56900
1994,Women,16 - 74 years,30%,57100
1994,Women,18 - 66 years,30%,61100
1994,Women,25 - 54 years,30%,69000
1994,Women,25 - 64 years,30%,68700
1994,Women,25 - 74 years,30%,67200
1994,Women,55 - 74 years,30%,63100
1994,Women,67 years and older,30%,58900
1994,Women,75 years and older,30%,59600
1994,Women,Total,40%,69500
1994,Women,16 - 24 years,40%,39400
1994,Women,16 - 64 years,40%,69800
1994,Women,16 - 74 years,40%,69600
1994,Women,18 - 66 years,40%,72900
1994,Women,25 - 54 years,40%,81300
1994,Women,25 - 64 years,40%,80700
1994,Women,25 - 74 years,40%,78600
1994,Women,55 - 74 years,40%,72900
1994,Women,67 years and older,40%,67900
1994,Women,75 years and older,40%,68000
1994,Women,Total,50%,80000
1994,Women,16 - 24 years,50%,48400
1994,Women,16 - 64 years,50%,81800
1994,Women,16 - 74 years,50%,81100
1994,Women,18 - 66 years,50%,84700
1994,Women,25 - 54 years,50%,93900
1994,Women,25 - 64 years,50%,92800
1994,Women,25 - 74 years,50%,90200
1994,Women,55 - 74 years,50%,82500
1994,Women,67 years and older,50%,75800
1994,Women,75 years and older,50%,75600
1994,Women,Total,60%,92000
1994,Women,16 - 24 years,60%,58100
1994,Women,16 - 64 years,60%,95200
1994,Women,16 - 74 years,60%,93800
1994,Women,18 - 66 years,60%,97700
1994,Women,25 - 54 years,60%,108300
1994,Women,25 - 64 years,60%,106700
1994,Women,25 - 74 years,60%,103100
1994,Women,55 - 74 years,60%,92700
1994,Women,67 years and older,60%,81500
1994,Women,75 years and older,60%,79500
1994,Women,Total,70%,106800
1994,Women,16 - 24 years,70%,68200
1994,Women,16 - 64 years,70%,111500
1994,Women,16 - 74 years,70%,109400
1994,Women,18 - 66 years,70%,114000
1994,Women,25 - 54 years,70%,125900
1994,Women,25 - 64 years,70%,124000
1994,Women,25 - 74 years,70%,119800
1994,Women,55 - 74 years,70%,104500
1994,Women,67 years and older,70%,90300
1994,Women,75 years and older,70%,86800
1994,Women,Total,80%,128000
1994,Women,16 - 24 years,80%,79300
1994,Women,16 - 64 years,80%,134100
1994,Women,16 - 74 years,80%,131400
1994,Women,18 - 66 years,80%,136500
1994,Women,25 - 54 years,80%,149000
1994,Women,25 - 64 years,80%,146800
1994,Women,25 - 74 years,80%,142400
1994,Women,55 - 74 years,80%,122500
1994,Women,67 years and older,80%,101100
1994,Women,75 years and older,80%,97000
1994,Women,Total,90%,164300
1994,Women,16 - 24 years,90%,98100
1994,Women,16 - 64 years,90%,170600
1994,Women,16 - 74 years,90%,167700
1994,Women,18 - 66 years,90%,172500
1994,Women,25 - 54 years,90%,184900
1994,Women,25 - 64 years,90%,182500
1994,Women,25 - 74 years,90%,178200
1994,Women,55 - 74 years,90%,155700
1994,Women,67 years and older,90%,119300
1994,Women,75 years and older,90%,112800
1994,Women,Total,95%,199000
1994,Women,16 - 24 years,95%,114900
1994,Women,16 - 64 years,95%,204600
1994,Women,16 - 74 years,95%,202300
1994,Women,18 - 66 years,95%,206700
1994,Women,25 - 54 years,95%,219200
1994,Women,25 - 64 years,95%,216800
1994,Women,25 - 74 years,95%,213500
1994,Women,55 - 74 years,95%,189900
1994,Women,67 years and older,95%,145500
1994,Women,75 years and older,95%,128700
1994,Women,Total,99%,289300
1994,Women,16 - 24 years,99%,154400
1994,Women,16 - 64 years,99%,294100
1994,Women,16 - 74 years,99%,293100
1994,Women,18 - 66 years,99%,296500
1994,Women,25 - 54 years,99%,311700
1994,Women,25 - 64 years,99%,310600
1994,Women,25 - 74 years,99%,308100
1994,Women,55 - 74 years,99%,295500
1994,Women,67 years and older,99%,247500
1994,Women,75 years and older,99%,205700
1994,Women,Total,Mean - conditional,90300
1994,Women,16 - 24 years,Mean - conditional,53700
1994,Women,16 - 64 years,Mean - conditional,92300
1994,Women,16 - 74 years,Mean - conditional,91500
1994,Women,18 - 66 years,Mean - conditional,95300
1994,Women,25 - 54 years,Mean - conditional,104300
1994,Women,25 - 64 years,Mean - conditional,103300
1994,Women,25 - 74 years,Mean - conditional,101000
1994,Women,55 - 74 years,Mean - conditional,91900
1994,Women,67 years and older,Mean - conditional,80000
1994,Women,75 years and older,Mean - conditional,76200
1994,Women,Total,Number - conditional,91486
1994,Women,16 - 24 years,Number - conditional,16808
1994,Women,16 - 64 years,Number - conditional,75585
1994,Women,16 - 74 years,Number - conditional,84293
1994,Women,18 - 66 years,Number - conditional,73838
1994,Women,25 - 54 years,Number - conditional,49032
1994,Women,25 - 64 years,Number - conditional,58777
1994,Women,25 - 74 years,Number - conditional,67485
1994,Women,55 - 74 years,Number - conditional,18453
1994,Women,67 years and older,Number - conditional,14007
1994,Women,75 years and older,Number - conditional,7193
1995,Total,Total,10%,32900
1995,Total,16 - 24 years,10%,15300
1995,Total,16 - 64 years,10%,30900
1995,Total,16 - 74 years,10%,32500
1995,Total,18 - 66 years,10%,39300
1995,Total,25 - 54 years,10%,50400
1995,Total,25 - 64 years,10%,50600
1995,Total,25 - 74 years,10%,50100
1995,Total,55 - 74 years,10%,49300
1995,Total,67 years and older,10%,45700
1995,Total,75 years and older,10%,41500
1995,Total,Total,20%,57200
1995,Total,16 - 24 years,20%,26200
1995,Total,16 - 64 years,20%,56000
1995,Total,16 - 74 years,20%,57100
1995,Total,18 - 66 years,20%,63100
1995,Total,25 - 54 years,20%,73900
1995,Total,25 - 64 years,20%,73400
1995,Total,25 - 74 years,20%,71500
1995,Total,55 - 74 years,20%,66700
1995,Total,67 years and older,20%,59900
1995,Total,75 years and older,20%,58200
1995,Total,Total,30%,72700
1995,Total,16 - 24 years,30%,36000
1995,Total,16 - 64 years,30%,73300
1995,Total,16 - 74 years,30%,73300
1995,Total,18 - 66 years,30%,78900
1995,Total,25 - 54 years,30%,92500
1995,Total,25 - 64 years,30%,91400
1995,Total,25 - 74 years,30%,87700
1995,Total,55 - 74 years,30%,79000
1995,Total,67 years and older,30%,69900
1995,Total,75 years and older,30%,68000
1995,Total,Total,40%,86900
1995,Total,16 - 24 years,40%,46400
1995,Total,16 - 64 years,40%,90300
1995,Total,16 - 74 years,40%,89200
1995,Total,18 - 66 years,40%,95900
1995,Total,25 - 54 years,40%,112300
1995,Total,25 - 64 years,40%,110500
1995,Total,25 - 74 years,40%,105000
1995,Total,55 - 74 years,40%,91500
1995,Total,67 years and older,40%,77900
1995,Total,75 years and older,40%,75300
1995,Total,Total,50%,103700
1995,Total,16 - 24 years,50%,57900
1995,Total,16 - 64 years,50%,110200
1995,Total,16 - 74 years,50%,107700
1995,Total,18 - 66 years,50%,115400
1995,Total,25 - 54 years,50%,134200
1995,Total,25 - 64 years,50%,131700
1995,Total,25 - 74 years,50%,125400
1995,Total,55 - 74 years,50%,105500
1995,Total,67 years and older,50%,84800
1995,Total,75 years and older,50%,80500
1995,Total,Total,60%,125300
1995,Total,16 - 24 years,60%,68900
1995,Total,16 - 64 years,60%,133800
1995,Total,16 - 74 years,60%,130400
1995,Total,18 - 66 years,60%,139000
1995,Total,25 - 54 years,60%,159500
1995,Total,25 - 64 years,60%,156700
1995,Total,25 - 74 years,60%,149700
1995,Total,55 - 74 years,60%,123700
1995,Total,67 years and older,60%,93800
1995,Total,75 years and older,60%,87100
1995,Total,Total,70%,154000
1995,Total,16 - 24 years,70%,80600
1995,Total,16 - 64 years,70%,163800
1995,Total,16 - 74 years,70%,159800
1995,Total,18 - 66 years,70%,168400
1995,Total,25 - 54 years,70%,189400
1995,Total,25 - 64 years,70%,186400
1995,Total,25 - 74 years,70%,179000
1995,Total,55 - 74 years,70%,148900
1995,Total,67 years and older,70%,105900
1995,Total,75 years and older,70%,96100
1995,Total,Total,80%,193300
1995,Total,16 - 24 years,80%,98400
1995,Total,16 - 64 years,80%,204000
1995,Total,16 - 74 years,80%,199400
1995,Total,18 - 66 years,80%,208400
1995,Total,25 - 54 years,80%,230400
1995,Total,25 - 64 years,80%,226900
1995,Total,25 - 74 years,80%,219400
1995,Total,55 - 74 years,80%,184400
1995,Total,67 years and older,80%,124000
1995,Total,75 years and older,80%,109800
1995,Total,Total,90%,261900
1995,Total,16 - 24 years,90%,128700
1995,Total,16 - 64 years,90%,273200
1995,Total,16 - 74 years,90%,267900
1995,Total,18 - 66 years,90%,277400
1995,Total,25 - 54 years,90%,301500
1995,Total,25 - 64 years,90%,298500
1995,Total,25 - 74 years,90%,290100
1995,Total,55 - 74 years,90%,248800
1995,Total,67 years and older,90%,166100
1995,Total,75 years and older,90%,130700
1995,Total,Total,95%,337600
1995,Total,16 - 24 years,95%,161000
1995,Total,16 - 64 years,95%,349300
1995,Total,16 - 74 years,95%,344000
1995,Total,18 - 66 years,95%,354400
1995,Total,25 - 54 years,95%,377800
1995,Total,25 - 64 years,95%,376300
1995,Total,25 - 74 years,95%,368400
1995,Total,55 - 74 years,95%,329500
1995,Total,67 years and older,95%,221800
1995,Total,75 years and older,95%,158300
1995,Total,Total,99%,543000
1995,Total,16 - 24 years,99%,267400
1995,Total,16 - 64 years,99%,552900
1995,Total,16 - 74 years,99%,549700
1995,Total,18 - 66 years,99%,561200
1995,Total,25 - 54 years,99%,580600
1995,Total,25 - 64 years,99%,590700
1995,Total,25 - 74 years,99%,584500
1995,Total,55 - 74 years,99%,598200
1995,Total,67 years and older,99%,437300
1995,Total,75 years and older,99%,323200
1995,Total,Total,Mean - conditional,133900
1995,Total,16 - 24 years,Mean - conditional,67600
1995,Total,16 - 64 years,Mean - conditional,139000
1995,Total,16 - 74 years,Mean - conditional,137100
1995,Total,18 - 66 years,Mean - conditional,144500
1995,Total,25 - 54 years,Mean - conditional,161400
1995,Total,25 - 64 years,Mean - conditional,159900
1995,Total,25 - 74 years,Mean - conditional,154800
1995,Total,55 - 74 years,Mean - conditional,136600
1995,Total,67 years and older,Mean - conditional,103200
1995,Total,75 years and older,Mean - conditional,90500
1995,Total,Total,Number - conditional,182115
1995,Total,16 - 24 years,Number - conditional,34480
1995,Total,16 - 64 years,Number - conditional,152632
1995,Total,16 - 74 years,Number - conditional,169664
1995,Total,18 - 66 years,Number - conditional,148738
1995,Total,25 - 54 years,Number - conditional,99152
1995,Total,25 - 64 years,Number - conditional,118152
1995,Total,25 - 74 years,Number - conditional,135184
1995,Total,55 - 74 years,Number - conditional,36032
1995,Total,67 years and older,Number - conditional,25518
1995,Total,75 years and older,Number - conditional,12451
1995,Men,Total,10%,46200
1995,Men,16 - 24 years,10%,16100
1995,Men,16 - 64 years,10%,42700
1995,Men,16 - 74 years,10%,45500
1995,Men,18 - 66 years,10%,56000
1995,Men,25 - 54 years,10%,73600
1995,Men,25 - 64 years,10%,73200
1995,Men,25 - 74 years,10%,71600
1995,Men,55 - 74 years,10%,68200
1995,Men,67 years and older,10%,60500
1995,Men,75 years and older,10%,56300
1995,Men,Total,20%,71500
1995,Men,16 - 24 years,20%,27600
1995,Men,16 - 64 years,20%,71100
1995,Men,16 - 74 years,20%,72000
1995,Men,18 - 66 years,20%,80200
1995,Men,25 - 54 years,20%,105000
1995,Men,25 - 64 years,20%,103200
1995,Men,25 - 74 years,20%,96500
1995,Men,55 - 74 years,20%,83900
1995,Men,67 years and older,20%,71200
1995,Men,75 years and older,20%,67000
1995,Men,Total,30%,90900
1995,Men,16 - 24 years,30%,38800
1995,Men,16 - 64 years,30%,96300
1995,Men,16 - 74 years,30%,94900
1995,Men,18 - 66 years,30%,106500
1995,Men,25 - 54 years,30%,133700
1995,Men,25 - 64 years,30%,131300
1995,Men,25 - 74 years,30%,123100
1995,Men,55 - 74 years,30%,100900
1995,Men,67 years and older,30%,79100
1995,Men,75 years and older,30%,73800
1995,Men,Total,40%,115500
1995,Men,16 - 24 years,40%,51200
1995,Men,16 - 64 years,40%,124700
1995,Men,16 - 74 years,40%,121100
1995,Men,18 - 66 years,40%,132900
1995,Men,25 - 54 years,40%,160200
