Year,Quarter,Region,Sex,Age,employment_description,Rate
2016,Q2,Capital region,Total,25-64,employment,0.886
2016,Q2,Capital region,Males,16-74,employment,0.863
2016,Q2,Capital region,Males,16-24,employment,0.837
2016,Q2,Capital region,Males,25-54,employment,0.927
2016,Q2,Capital region,Males,55-74,employment,0.734
2016,Q2,Capital region,Males,16-64,employment,0.906
2016,Q2,Capital region,Males,25-64,employment,0.924
2016,Q2,Capital region,Females,16-74,employment,0.774
2016,Q2,Capital region,Females,16-24,employment,0.822
2016,Q2,Capital region,Females,25-54,employment,0.863
2016,Q2,Capital region,Females,55-74,employment,0.566
2016,Q2,Capital region,Females,16-64,employment,0.841
2016,Q2,Capital region,Females,25-64,employment,0.846
2016,Q2,Outside Capital region,Total,16-74,employment,0.817
2016,Q2,Outside Capital region,Total,16-24,employment,0.785
2016,Q2,Outside Capital region,Total,25-54,employment,0.896
2016,Q2,Outside Capital region,Total,55-74,employment,0.696
2016,Q2,Outside Capital region,Total,16-64,employment,0.867
2016,Q2,Outside Capital region,Total,25-64,employment,0.883
2016,Q2,Outside Capital region,Males,16-74,employment,0.854
2016,Q2,Outside Capital region,Males,16-24,employment,0.716
2016,Q2,Outside Capital region,Males,25-54,employment,0.931
2016,Q2,Outside Capital region,Males,55-74,employment,0.798
2016,Q2,Outside Capital region,Males,16-64,employment,0.891
2016,Q2,Outside Capital region,Males,25-64,employment,0.928
2016,Q2,Outside Capital region,Females,16-74,employment,0.779
2016,Q2,Outside Capital region,Females,16-24,employment,0.867
2016,Q2,Outside Capital region,Females,25-54,employment,0.864
2016,Q2,Outside Capital region,Females,55-74,employment,0.577
2016,Q2,Outside Capital region,Females,16-64,employment,0.842
2016,Q2,Outside Capital region,Females,25-64,employment,0.838
2016,Q3,Total,Total,16-74,employment,0.823
2016,Q3,Total,Total,16-24,employment,0.825
2016,Q3,Total,Total,25-54,employment,0.899
2016,Q3,Total,Total,55-74,employment,0.669
2016,Q3,Total,Total,16-64,employment,0.877
2016,Q3,Total,Total,25-64,employment,0.889
2016,Q3,Total,Males,16-74,employment,0.862
2016,Q3,Total,Males,16-24,employment,0.827
2016,Q3,Total,Males,25-54,employment,0.932
2016,Q3,Total,Males,55-74,employment,0.741
2016,Q3,Total,Males,16-64,employment,0.908
2016,Q3,Total,Males,25-64,employment,0.928
2016,Q3,Total,Females,16-74,employment,0.782
2016,Q3,Total,Females,16-24,employment,0.822
2016,Q3,Total,Females,25-54,employment,0.865
2016,Q3,Total,Females,55-74,employment,0.597
2016,Q3,Total,Females,16-64,employment,0.843
2016,Q3,Total,Females,25-64,employment,0.848
2016,Q3,Capital region,Total,16-74,employment,0.821
2016,Q3,Capital region,Total,16-24,employment,0.814
2016,Q3,Capital region,Total,25-54,employment,0.897
2016,Q3,Capital region,Total,55-74,employment,0.663
2016,Q3,Capital region,Total,16-64,employment,0.874
2016,Q3,Capital region,Total,25-64,employment,0.89
2016,Q3,Capital region,Males,16-74,employment,0.86
2016,Q3,Capital region,Males,16-24,employment,0.816
2016,Q3,Capital region,Males,25-54,employment,0.937
2016,Q3,Capital region,Males,55-74,employment,0.723
2016,Q3,Capital region,Males,16-64,employment,0.909
2016,Q3,Capital region,Males,25-64,employment,0.933
2016,Q3,Capital region,Females,16-74,employment,0.78
2016,Q3,Capital region,Females,16-24,employment,0.812
2016,Q3,Capital region,Females,25-54,employment,0.855
2016,Q3,Capital region,Females,55-74,employment,0.604
2016,Q3,Capital region,Females,16-64,employment,0.837
2016,Q3,Capital region,Females,25-64,employment,0.844
2016,Q3,Outside Capital region,Total,16-74,employment,0.826
2016,Q3,Outside Capital region,Total,16-24,employment,0.851
2016,Q3,Outside Capital region,Total,25-54,employment,0.903
2016,Q3,Outside Capital region,Total,55-74,employment,0.679
2016,Q3,Outside Capital region,Total,16-64,employment,0.881
2016,Q3,Outside Capital region,Total,25-64,employment,0.887
2016,Q3,Outside Capital region,Males,16-74,employment,0.865
2016,Q3,Outside Capital region,Males,16-24,employment,0.852
2016,Q3,Outside Capital region,Males,25-54,employment,0.924
2016,Q3,Outside Capital region,Males,55-74,employment,0.769
2016,Q3,Outside Capital region,Males,16-64,employment,0.908
2016,Q3,Outside Capital region,Males,25-64,employment,0.919
2016,Q3,Outside Capital region,Females,16-74,employment,0.786
2016,Q3,Outside Capital region,Females,16-24,employment,0.851
2016,Q3,Outside Capital region,Females,25-54,employment,0.882
2016,Q3,Outside Capital region,Females,55-74,employment,0.586
2016,Q3,Outside Capital region,Females,16-64,employment,0.854
2016,Q3,Outside Capital region,Females,25-64,employment,0.854
2016,Q4,Total,Total,16-74,employment,0.809
2016,Q4,Total,Total,16-24,employment,0.737
2016,Q4,Total,Total,25-54,employment,0.905
2016,Q4,Total,Total,55-74,employment,0.662
2016,Q4,Total,Total,16-64,employment,0.859
2016,Q4,Total,Total,25-64,employment,0.888
2016,Q4,Total,Males,16-74,employment,0.845
2016,Q4,Total,Males,16-24,employment,0.735
2016,Q4,Total,Males,25-54,employment,0.936
2016,Q4,Total,Males,55-74,employment,0.732
2016,Q4,Total,Males,16-64,employment,0.885
2016,Q4,Total,Males,25-64,employment,0.921
2016,Q4,Total,Females,16-74,employment,0.772
2016,Q4,Total,Females,16-24,employment,0.739
2016,Q4,Total,Females,25-54,employment,0.874
2016,Q4,Total,Females,55-74,employment,0.591
2016,Q4,Total,Females,16-64,employment,0.833
2016,Q4,Total,Females,25-64,employment,0.854
2016,Q4,Capital region,Total,16-74,employment,0.809
2016,Q4,Capital region,Total,16-24,employment,0.71
2016,Q4,Capital region,Total,25-54,employment,0.907
2016,Q4,Capital region,Total,55-74,employment,0.672
2016,Q4,Capital region,Total,16-64,employment,0.854
2016,Q4,Capital region,Total,25-64,employment,0.89
2016,Q4,Capital region,Males,16-74,employment,0.845
2016,Q4,Capital region,Males,16-24,employment,0.696
2016,Q4,Capital region,Males,25-54,employment,0.941
2016,Q4,Capital region,Males,55-74,employment,0.744
2016,Q4,Capital region,Males,16-64,employment,0.88
2016,Q4,Capital region,Males,25-64,employment,0.929
2016,Q4,Capital region,Females,16-74,employment,0.773
2016,Q4,Capital region,Females,16-24,employment,0.726
2016,Q4,Capital region,Females,25-54,employment,0.872
2016,Q4,Capital region,Females,55-74,employment,0.604
2016,Q4,Capital region,Females,16-64,employment,0.826
2016,Q4,Capital region,Females,25-64,employment,0.851
2016,Q4,Outside Capital region,Total,16-74,employment,0.809
2016,Q4,Outside Capital region,Total,16-24,employment,0.798
2016,Q4,Outside Capital region,Total,25-54,employment,0.903
2016,Q4,Outside Capital region,Total,55-74,employment,0.646
2016,Q4,Outside Capital region,Total,16-64,employment,0.87
2016,Q4,Outside Capital region,Total,25-64,employment,0.884
2016,Q4,Outside Capital region,Males,16-74,employment,0.845
2016,Q4,Outside Capital region,Males,16-24,employment,0.823
2016,Q4,Outside Capital region,Males,25-54,employment,0.926
2016,Q4,Outside Capital region,Males,55-74,employment,0.715
2016,Q4,Outside Capital region,Males,16-64,employment,0.894
2016,Q4,Outside Capital region,Males,25-64,employment,0.908
2016,Q4,Outside Capital region,Females,16-74,employment,0.771
2016,Q4,Outside Capital region,Females,16-24,employment,0.769
2016,Q4,Outside Capital region,Females,25-54,employment,0.879
2016,Q4,Outside Capital region,Females,55-74,employment,0.571
2016,Q4,Outside Capital region,Females,16-64,employment,0.845
2016,Q4,Outside Capital region,Females,25-64,employment,0.859
2017,Q1,Total,Total,16-74,employment,0.804
2017,Q1,Total,Total,16-24,employment,0.73
2017,Q1,Total,Total,25-54,employment,0.893
2017,Q1,Total,Total,55-74,employment,0.672
2017,Q1,Total,Total,16-64,employment,0.853
2017,Q1,Total,Total,25-64,employment,0.881
2017,Q1,Total,Males,16-74,employment,0.838
2017,Q1,Total,Males,16-24,employment,0.699
2017,Q1,Total,Males,25-54,employment,0.92
2017,Q1,Total,Males,55-74,employment,0.757
2017,Q1,Total,Males,16-64,employment,0.873
2017,Q1,Total,Males,25-64,employment,0.915
2017,Q1,Total,Females,16-74,employment,0.768
2017,Q1,Total,Females,16-24,employment,0.763
2017,Q1,Total,Females,25-54,employment,0.864
2017,Q1,Total,Females,55-74,employment,0.587
2017,Q1,Total,Females,16-64,employment,0.831
2017,Q1,Total,Females,25-64,employment,0.847
2017,Q1,Capital region,Total,16-74,employment,0.813
2017,Q1,Capital region,Total,16-24,employment,0.754
2017,Q1,Capital region,Total,25-54,employment,0.905
2017,Q1,Capital region,Total,55-74,employment,0.667
2017,Q1,Capital region,Total,16-64,employment,0.862
2017,Q1,Capital region,Total,25-64,employment,0.891
2017,Q1,Capital region,Males,16-74,employment,0.85
2017,Q1,Capital region,Males,16-24,employment,0.722
2017,Q1,Capital region,Males,25-54,employment,0.935
2017,Q1,Capital region,Males,55-74,employment,0.762
2017,Q1,Capital region,Males,16-64,employment,0.885
2017,Q1,Capital region,Males,25-64,employment,0.929
2017,Q1,Capital region,Females,16-74,employment,0.775
2017,Q1,Capital region,Females,16-24,employment,0.788
2017,Q1,Capital region,Females,25-54,employment,0.873
2017,Q1,Capital region,Females,55-74,employment,0.579
2017,Q1,Capital region,Females,16-64,employment,0.839
2017,Q1,Capital region,Females,25-64,employment,0.852
2017,Q1,Outside Capital region,Total,16-74,employment,0.786
2017,Q1,Outside Capital region,Total,16-24,employment,0.671
2017,Q1,Outside Capital region,Total,25-54,employment,0.871
2017,Q1,Outside Capital region,Total,55-74,employment,0.68
2017,Q1,Outside Capital region,Total,16-64,employment,0.834
2017,Q1,Outside Capital region,Total,25-64,employment,0.864
2017,Q1,Outside Capital region,Males,16-74,employment,0.815
2017,Q1,Outside Capital region,Males,16-24,employment,0.642
2017,Q1,Outside Capital region,Males,25-54,employment,0.893
2017,Q1,Outside Capital region,Males,55-74,employment,0.75
2017,Q1,Outside Capital region,Males,16-64,employment,0.852
2017,Q1,Outside Capital region,Males,25-64,employment,0.89
2017,Q1,Outside Capital region,Females,16-74,employment,0.756
2017,Q1,Outside Capital region,Females,16-24,employment,0.701
2017,Q1,Outside Capital region,Females,25-54,employment,0.849
2017,Q1,Outside Capital region,Females,55-74,employment,0.6
2017,Q1,Outside Capital region,Females,16-64,employment,0.816
2017,Q1,Outside Capital region,Females,25-64,employment,0.837
2017,Q2,Total,Total,16-74,employment,0.815
2017,Q2,Total,Total,16-24,employment,0.817
2017,Q2,Total,Total,25-54,employment,0.904
2017,Q2,Total,Total,55-74,employment,0.639
2017,Q2,Total,Total,16-64,employment,0.876
2017,Q2,Total,Total,25-64,employment,0.89
2017,Q2,Total,Males,16-74,employment,0.858
2017,Q2,Total,Males,16-24,employment,0.815
2017,Q2,Total,Males,25-54,employment,0.936
2017,Q2,Total,Males,55-74,employment,0.728
2017,Q2,Total,Males,16-64,employment,0.905
2017,Q2,Total,Males,25-64,employment,0.926
2017,Q2,Total,Females,16-74,employment,0.77
2017,Q2,Total,Females,16-24,employment,0.818
2017,Q2,Total,Females,25-54,employment,0.871
2017,Q2,Total,Females,55-74,employment,0.548
2017,Q2,Total,Females,16-64,employment,0.845
2017,Q2,Total,Females,25-64,employment,0.852
2017,Q2,Capital region,Total,16-74,employment,0.817
2017,Q2,Capital region,Total,16-24,employment,0.805
2017,Q2,Capital region,Total,25-54,employment,0.913
2017,Q2,Capital region,Total,55-74,employment,0.627
2017,Q2,Capital region,Total,16-64,employment,0.879
2017,Q2,Capital region,Total,25-64,employment,0.898
2017,Q2,Capital region,Males,16-74,employment,0.864
2017,Q2,Capital region,Males,16-24,employment,0.797
2017,Q2,Capital region,Males,25-54,employment,0.948
2017,Q2,Capital region,Males,55-74,employment,0.725
2017,Q2,Capital region,Males,16-64,employment,0.909
2017,Q2,Capital region,Males,25-64,employment,0.938
2017,Q2,Capital region,Females,16-74,employment,0.77
2017,Q2,Capital region,Females,16-24,employment,0.814
2017,Q2,Capital region,Females,25-54,employment,0.875
2017,Q2,Capital region,Females,55-74,employment,0.536
2017,Q2,Capital region,Females,16-64,employment,0.847
2017,Q2,Capital region,Females,25-64,employment,0.856
2017,Q2,Outside Capital region,Total,16-74,employment,0.811
2017,Q2,Outside Capital region,Total,16-24,employment,0.841
2017,Q2,Outside Capital region,Total,25-54,employment,0.89
2017,Q2,Outside Capital region,Total,55-74,employment,0.656
2017,Q2,Outside Capital region,Total,16-64,employment,0.87
2017,Q2,Outside Capital region,Total,25-64,employment,0.876
2017,Q2,Outside Capital region,Males,16-74,employment,0.849
2017,Q2,Outside Capital region,Males,16-24,employment,0.852
2017,Q2,Outside Capital region,Males,25-54,employment,0.916
2017,Q2,Outside Capital region,Males,55-74,employment,0.733
2017,Q2,Outside Capital region,Males,16-64,employment,0.896
2017,Q2,Outside Capital region,Males,25-64,employment,0.905
2017,Q2,Outside Capital region,Females,16-74,employment,0.77
2017,Q2,Outside Capital region,Females,16-24,employment,0.828
2017,Q2,Outside Capital region,Females,25-54,employment,0.863
2017,Q2,Outside Capital region,Females,55-74,employment,0.57
2017,Q2,Outside Capital region,Females,16-64,employment,0.843
2017,Q2,Outside Capital region,Females,25-64,employment,0.846
2017,Q3,Total,Total,16-74,employment,0.802
2017,Q3,Total,Total,16-24,employment,0.762
2017,Q3,Total,Total,25-54,employment,0.898
2017,Q3,Total,Total,55-74,employment,0.637
2017,Q3,Total,Total,16-64,employment,0.86
2017,Q3,Total,Total,25-64,employment,0.882
2017,Q3,Total,Males,16-74,employment,0.841
2017,Q3,Total,Males,16-24,employment,0.776
2017,Q3,Total,Males,25-54,employment,0.926
2017,Q3,Total,Males,55-74,employment,0.708
2017,Q3,Total,Males,16-64,employment,0.886
2017,Q3,Total,Males,25-64,employment,0.913
2017,Q3,Total,Females,16-74,employment,0.761
2017,Q3,Total,Females,16-24,employment,0.747
2017,Q3,Total,Females,25-54,employment,0.868
2017,Q3,Total,Females,55-74,employment,0.564
2017,Q3,Total,Females,16-64,employment,0.832
2017,Q3,Total,Females,25-64,employment,0.85
2017,Q3,Capital region,Total,16-74,employment,0.797
2017,Q3,Capital region,Total,16-24,employment,0.772
2017,Q3,Capital region,Total,25-54,employment,0.886
2017,Q3,Capital region,Total,55-74,employment,0.635
2017,Q3,Capital region,Total,16-64,employment,0.854
2017,Q3,Capital region,Total,25-64,employment,0.876
2017,Q3,Capital region,Males,16-74,employment,0.839
2017,Q3,Capital region,Males,16-24,employment,0.771
2017,Q3,Capital region,Males,25-54,employment,0.929
2017,Q3,Capital region,Males,55-74,employment,0.695
2017,Q3,Capital region,Males,16-64,employment,0.886
2017,Q3,Capital region,Males,25-64,employment,0.916
2017,Q3,Capital region,Females,16-74,employment,0.752
2017,Q3,Capital region,Females,16-24,employment,0.772
2017,Q3,Capital region,Females,25-54,employment,0.838
2017,Q3,Capital region,Females,55-74,employment,0.575
2017,Q3,Capital region,Females,16-64,employment,0.819
2017,Q3,Capital region,Females,25-64,employment,0.832
2017,Q3,Outside Capital region,Total,16-74,employment,0.811
2017,Q3,Outside Capital region,Total,16-24,employment,0.741
2017,Q3,Outside Capital region,Total,25-54,employment,0.918
2017,Q3,Outside Capital region,Total,55-74,employment,0.639
2017,Q3,Outside Capital region,Total,16-64,employment,0.869
2017,Q3,Outside Capital region,Total,25-64,employment,0.893
2017,Q3,Outside Capital region,Males,16-74,employment,0.843
2017,Q3,Outside Capital region,Males,16-24,employment,0.785
2017,Q3,Outside Capital region,Males,25-54,employment,0.922
2017,Q3,Outside Capital region,Males,55-74,employment,0.727
2017,Q3,Outside Capital region,Males,16-64,employment,0.886
2017,Q3,Outside Capital region,Males,25-64,employment,0.906
2017,Q3,Outside Capital region,Females,16-74,employment,0.777
2017,Q3,Outside Capital region,Females,16-24,employment,0.684
2017,Q3,Outside Capital region,Females,25-54,employment,0.915
2017,Q3,Outside Capital region,Females,55-74,employment,0.546
2017,Q3,Outside Capital region,Females,16-64,employment,0.852
2017,Q3,Outside Capital region,Females,25-64,employment,0.879
2017,Q4,Total,Total,16-74,employment,0.791
2017,Q4,Total,Total,16-24,employment,0.701
2017,Q4,Total,Total,25-54,employment,0.888
2017,Q4,Total,Total,55-74,employment,0.648
2017,Q4,Total,Total,16-64,employment,0.842
2017,Q4,Total,Total,25-64,employment,0.874
2017,Q4,Total,Males,16-74,employment,0.817
2017,Q4,Total,Males,16-24,employment,0.689
2017,Q4,Total,Males,25-54,employment,0.904
2017,Q4,Total,Males,55-74,employment,0.714
2017,Q4,Total,Males,16-64,employment,0.86
2017,Q4,Total,Males,25-64,employment,0.899
2017,Q4,Total,Females,16-74,employment,0.764
2017,Q4,Total,Females,16-24,employment,0.714
2017,Q4,Total,Females,25-54,employment,0.872
2017,Q4,Total,Females,55-74,employment,0.582
2017,Q4,Total,Females,16-64,employment,0.823
2017,Q4,Total,Females,25-64,employment,0.847
2017,Q4,Capital region,Total,16-74,employment,0.795
2017,Q4,Capital region,Total,16-24,employment,0.699
2017,Q4,Capital region,Total,25-54,employment,0.884
2017,Q4,Capital region,Total,55-74,employment,0.672
2017,Q4,Capital region,Total,16-64,employment,0.841
2017,Q4,Capital region,Total,25-64,employment,0.875
2017,Q4,Capital region,Males,16-74,employment,0.827
2017,Q4,Capital region,Males,16-24,employment,0.686
2017,Q4,Capital region,Males,25-54,employment,0.904
2017,Q4,Capital region,Males,55-74,employment,0.748
2017,Q4,Capital region,Males,16-64,employment,0.864
2017,Q4,Capital region,Males,25-64,employment,0.906
2017,Q4,Capital region,Females,16-74,employment,0.759
2017,Q4,Capital region,Females,16-24,employment,0.713
2017,Q4,Capital region,Females,25-54,employment,0.86
2017,Q4,Capital region,Females,55-74,employment,0.6
2017,Q4,Capital region,Females,16-64,employment,0.815
2017,Q4,Capital region,Females,25-64,employment,0.841
2017,Q4,Outside Capital region,Total,16-74,employment,0.785
2017,Q4,Outside Capital region,Total,16-24,employment,0.706
2017,Q4,Outside Capital region,Total,25-54,employment,0.897
2017,Q4,Outside Capital region,Total,55-74,employment,0.61
2017,Q4,Outside Capital region,Total,16-64,employment,0.845
2017,Q4,Outside Capital region,Total,25-64,employment,0.871
2017,Q4,Outside Capital region,Males,16-74,employment,0.798
2017,Q4,Outside Capital region,Males,16-24,employment,0.696
2017,Q4,Outside Capital region,Males,25-54,employment,0.904
2017,Q4,Outside Capital region,Males,55-74,employment,0.663
2017,Q4,Outside Capital region,Males,16-64,employment,0.854
2017,Q4,Outside Capital region,Males,25-64,employment,0.887
2017,Q4,Outside Capital region,Females,16-74,employment,0.771
2017,Q4,Outside Capital region,Females,16-24,employment,0.718
2017,Q4,Outside Capital region,Females,25-54,employment,0.89
2017,Q4,Outside Capital region,Females,55-74,employment,0.551
2017,Q4,Outside Capital region,Females,16-64,employment,0.836
2017,Q4,Outside Capital region,Females,25-64,employment,0.857
2018,Q1,Total,Total,16-74,employment,0.784
2018,Q1,Total,Total,16-24,employment,0.709
2018,Q1,Total,Total,25-54,employment,0.884
2018,Q1,Total,Total,55-74,employment,0.626
2018,Q1,Total,Total,16-64,employment,0.835
2018,Q1,Total,Total,25-64,employment,0.863
2018,Q1,Total,Males,16-74,employment,0.816
2018,Q1,Total,Males,16-24,employment,0.689
2018,Q1,Total,Males,25-54,employment,0.911
2018,Q1,Total,Males,55-74,employment,0.692
2018,Q1,Total,Males,16-64,employment,0.857
2018,Q1,Total,Males,25-64,employment,0.895
2018,Q1,Total,Females,16-74,employment,0.751
2018,Q1,Total,Females,16-24,employment,0.73
2018,Q1,Total,Females,25-54,employment,0.855
2018,Q1,Total,Females,55-74,employment,0.559
2018,Q1,Total,Females,16-64,employment,0.811
2018,Q1,Total,Females,25-64,employment,0.829
2018,Q1,Capital region,Total,16-74,employment,0.788
2018,Q1,Capital region,Total,16-24,employment,0.707
2018,Q1,Capital region,Total,25-54,employment,0.892
2018,Q1,Capital region,Total,55-74,employment,0.62
2018,Q1,Capital region,Total,16-64,employment,0.837
2018,Q1,Capital region,Total,25-64,employment,0.867
2018,Q1,Capital region,Males,16-74,employment,0.816
2018,Q1,Capital region,Males,16-24,employment,0.681
2018,Q1,Capital region,Males,25-54,employment,0.919
2018,Q1,Capital region,Males,55-74,employment,0.668
2018,Q1,Capital region,Males,16-64,employment,0.856
2018,Q1,Capital region,Males,25-64,employment,0.896
2018,Q1,Capital region,Females,16-74,employment,0.76
2018,Q1,Capital region,Females,16-24,employment,0.732
2018,Q1,Capital region,Females,25-54,employment,0.863
2018,Q1,Capital region,Females,55-74,employment,0.576
2018,Q1,Capital region,Females,16-64,employment,0.818
2018,Q1,Capital region,Females,25-64,employment,0.838
2018,Q1,Outside Capital region,Total,16-74,employment,0.777
2018,Q1,Outside Capital region,Total,16-24,employment,0.713
2018,Q1,Outside Capital region,Total,25-54,employment,0.87
2018,Q1,Outside Capital region,Total,55-74,employment,0.635
2018,Q1,Outside Capital region,Total,16-64,employment,0.83
2018,Q1,Outside Capital region,Total,25-64,employment,0.855
2018,Q1,Outside Capital region,Males,16-74,employment,0.815
2018,Q1,Outside Capital region,Males,16-24,employment,0.704
2018,Q1,Outside Capital region,Males,25-54,employment,0.896
2018,Q1,Outside Capital region,Males,55-74,employment,0.728
2018,Q1,Outside Capital region,Males,16-64,employment,0.858
2018,Q1,Outside Capital region,Males,25-64,employment,0.894
2018,Q1,Outside Capital region,Females,16-74,employment,0.732
2018,Q1,Outside Capital region,Females,16-24,employment,0.726
2018,Q1,Outside Capital region,Females,25-54,employment,0.84
2018,Q1,Outside Capital region,Females,55-74,employment,0.526
2018,Q1,Outside Capital region,Females,16-64,employment,0.798
2018,Q1,Outside Capital region,Females,25-64,employment,0.811
2018,Q2,Total,Total,16-74,employment,0.8
2018,Q2,Total,Total,16-24,employment,0.785
2018,Q2,Total,Total,25-54,employment,0.888
2018,Q2,Total,Total,55-74,employment,0.632
2018,Q2,Total,Total,16-64,employment,0.852
2018,Q2,Total,Total,25-64,employment,0.866
2018,Q2,Total,Males,16-74,employment,0.838
2018,Q2,Total,Males,16-24,employment,0.769
2018,Q2,Total,Males,25-54,employment,0.919
2018,Q2,Total,Males,55-74,employment,0.713
2018,Q2,Total,Males,16-64,employment,0.877
2018,Q2,Total,Males,25-64,employment,0.902
2018,Q2,Total,Females,16-74,employment,0.759
2018,Q2,Total,Females,16-24,employment,0.803
2018,Q2,Total,Females,25-54,employment,0.855
2018,Q2,Total,Females,55-74,employment,0.552
2018,Q2,Total,Females,16-64,employment,0.824
2018,Q2,Total,Females,25-64,employment,0.828
2018,Q2,Capital region,Total,16-74,employment,0.802
2018,Q2,Capital region,Total,16-24,employment,0.797
2018,Q2,Capital region,Total,25-54,employment,0.889
2018,Q2,Capital region,Total,55-74,employment,0.616
2018,Q2,Capital region,Total,16-64,employment,0.855
2018,Q2,Capital region,Total,25-64,employment,0.868
2018,Q2,Capital region,Males,16-74,employment,0.835
2018,Q2,Capital region,Males,16-24,employment,0.761
2018,Q2,Capital region,Males,25-54,employment,0.923
2018,Q2,Capital region,Males,55-74,employment,0.68
2018,Q2,Capital region,Males,16-64,employment,0.875
2018,Q2,Capital region,Males,25-64,employment,0.902
2018,Q2,Capital region,Females,16-74,employment,0.769
2018,Q2,Capital region,Females,16-24,employment,0.836
2018,Q2,Capital region,Females,25-54,employment,0.854
2018,Q2,Capital region,Females,55-74,employment,0.556
2018,Q2,Capital region,Females,16-64,employment,0.833
2018,Q2,Capital region,Females,25-64,employment,0.833
2018,Q2,Outside Capital region,Total,16-74,employment,0.796
2018,Q2,Outside Capital region,Total,16-24,employment,0.763
2018,Q2,Outside Capital region,Total,25-54,employment,0.885
2018,Q2,Outside Capital region,Total,55-74,employment,0.658
2018,Q2,Outside Capital region,Total,16-64,employment,0.846
2018,Q2,Outside Capital region,Total,25-64,employment,0.864
2018,Q2,Outside Capital region,Males,16-74,employment,0.844
2018,Q2,Outside Capital region,Males,16-24,employment,0.785
2018,Q2,Outside Capital region,Males,25-54,employment,0.911
2018,Q2,Outside Capital region,Males,55-74,employment,0.758
2018,Q2,Outside Capital region,Males,16-64,employment,0.881
2018,Q2,Outside Capital region,Males,25-64,employment,0.902
2018,Q2,Outside Capital region,Females,16-74,employment,0.74
2018,Q2,Outside Capital region,Females,16-24,employment,0.738
2018,Q2,Outside Capital region,Females,25-54,employment,0.855
2018,Q2,Outside Capital region,Females,55-74,employment,0.546
2018,Q2,Outside Capital region,Females,16-64,employment,0.806
2018,Q2,Outside Capital region,Females,25-64,employment,0.821
2018,Q3,Total,Total,16-74,employment,0.806
2018,Q3,Total,Total,16-24,employment,0.79
2018,Q3,Total,Total,25-54,employment,0.896
2018,Q3,Total,Total,55-74,employment,0.634
2018,Q3,Total,Total,16-64,employment,0.863
2018,Q3,Total,Total,25-64,employment,0.879
2018,Q3,Total,Males,16-74,employment,0.844
2018,Q3,Total,Males,16-24,employment,0.802
2018,Q3,Total,Males,25-54,employment,0.92
2018,Q3,Total,Males,55-74,employment,0.71
2018,Q3,Total,Males,16-64,employment,0.89
2018,Q3,Total,Males,25-64,employment,0.91
2018,Q3,Total,Females,16-74,employment,0.766
2018,Q3,Total,Females,16-24,employment,0.777
2018,Q3,Total,Females,25-54,employment,0.871
2018,Q3,Total,Females,55-74,employment,0.557
2018,Q3,Total,Females,16-64,employment,0.834
2018,Q3,Total,Females,25-64,employment,0.847
2018,Q3,Capital region,Total,16-74,employment,0.815
2018,Q3,Capital region,Total,16-24,employment,0.79
2018,Q3,Capital region,Total,25-54,employment,0.9
2018,Q3,Capital region,Total,55-74,employment,0.644
2018,Q3,Capital region,Total,16-64,employment,0.869
2018,Q3,Capital region,Total,25-64,employment,0.887
2018,Q3,Capital region,Males,16-74,employment,0.849
2018,Q3,Capital region,Males,16-24,employment,0.797
2018,Q3,Capital region,Males,25-54,employment,0.927
2018,Q3,Capital region,Males,55-74,employment,0.711
2018,Q3,Capital region,Males,16-64,employment,0.895
2018,Q3,Capital region,Males,25-64,employment,0.92
2018,Q3,Capital region,Females,16-74,employment,0.779
2018,Q3,Capital region,Females,16-24,employment,0.782
2018,Q3,Capital region,Females,25-54,employment,0.872
2018,Q3,Capital region,Females,55-74,employment,0.579
2018,Q3,Capital region,Females,16-64,employment,0.841
2018,Q3,Capital region,Females,25-64,employment,0.854
2018,Q3,Outside Capital region,Total,16-74,employment,0.791
2018,Q3,Outside Capital region,Total,16-24,employment,0.791
2018,Q3,Outside Capital region,Total,25-54,employment,0.89
2018,Q3,Outside Capital region,Total,55-74,employment,0.62
2018,Q3,Outside Capital region,Total,16-64,employment,0.853
2018,Q3,Outside Capital region,Total,25-64,employment,0.865
2018,Q3,Outside Capital region,Males,16-74,employment,0.834
2018,Q3,Outside Capital region,Males,16-24,employment,0.814
2018,Q3,Outside Capital region,Males,25-54,employment,0.908
2018,Q3,Outside Capital region,Males,55-74,employment,0.709
2018,Q3,Outside Capital region,Males,16-64,employment,0.88
2018,Q3,Outside Capital region,Males,25-64,employment,0.893
2018,Q3,Outside Capital region,Females,16-74,employment,0.743
2018,Q3,Outside Capital region,Females,16-24,employment,0.766
2018,Q3,Outside Capital region,Females,25-54,employment,0.869
2018,Q3,Outside Capital region,Females,55-74,employment,0.524
2018,Q3,Outside Capital region,Females,16-64,employment,0.821
2018,Q3,Outside Capital region,Females,25-64,employment,0.833
2018,Q4,Total,Total,16-74,employment,0.786
2018,Q4,Total,Total,16-24,employment,0.712
2018,Q4,Total,Total,25-54,employment,0.889
2018,Q4,Total,Total,55-74,employment,0.62
2018,Q4,Total,Total,16-64,employment,0.844
2018,Q4,Total,Total,25-64,employment,0.873
2018,Q4,Total,Males,16-74,employment,0.814
2018,Q4,Total,Males,16-24,employment,0.687
2018,Q4,Total,Males,25-54,employment,0.907
2018,Q4,Total,Males,55-74,employment,0.693
2018,Q4,Total,Males,16-64,employment,0.862
2018,Q4,Total,Males,25-64,employment,0.901
2018,Q4,Total,Females,16-74,employment,0.755
